model,dataset,image,scale,psnr_y,ssim_y,rmse_y,edge_rmse,texture_rmse,flat_rmse,highpass_rmse,fft_low_power,fft_mid_power,fft_high_power
Bicubic,set5,baby.png,x4,32.018670526720584,nan,0.025064928706492164,0.041659530252218246,0.04431687295436859,0.00520790321752429,0.0520709790289402,1.1721712407051953e-08,4.332585164819622e-09,4.6119442852830576e-10
LTE,set5,baby.png,x4,33.810749111976406,nan,0.02039212780722781,0.032640740275382996,0.033184852451086044,0.00425430852919817,0.05045066028833389,3.6513585245543776e-09,3.4869397928876454e-09,4.606409813847904e-10
SC-INR-Adaptive,set5,baby.png,x4,33.80495169696445,nan,0.02040574311840691,0.03269132226705551,0.03323420509696007,0.004259069450199604,0.05050576105713844,3.6122252833537464e-09,3.4996550465654667e-09,4.6219428731170133e-10
