model,dataset,image,lr_scale,observation_scale,omega_param,omega_bound,omega_neg_frac,omega_near_bound_frac,response_neg_frac,omega_x_mean,omega_x_std,omega_x_min,omega_x_q01,omega_x_q05,omega_x_q50,omega_x_q95,omega_x_q99,omega_x_max,omega_y_mean,omega_y_std,omega_y_min,omega_y_q01,omega_y_q05,omega_y_q50,omega_y_q95,omega_y_q99,omega_y_max,omega_mag_mean,omega_mag_std,omega_mag_min,omega_mag_q01,omega_mag_q05,omega_mag_q50,omega_mag_q95,omega_mag_q99,omega_mag_max,response_mean,response_std,response_min,response_q01,response_q05,response_q50,response_q95,response_q99,response_max
SC-INR-NoPhi-Signed,bsd100,101085.png,x4,x4,tanh_signed,2.1,0.3612760305404663,0.0,0.0,0.04272736236453056,0.4335097372531891,-1.7980518341064453,-1.1781798601150513,-0.6904485821723938,0.006223518867045641,1.0010390281677246,1.4729341268539429,1.820244312286377,0.250014990568161,0.37484654784202576,-1.7343963384628296,-0.25620323419570923,-0.10372521728277206,0.12000298500061035,1.1240923404693604,1.4980002641677856,1.902408480644226,0.4757276177406311,0.4079914391040802,3.0582181352656335e-05,0.012460178695619106,0.03225869685411453,0.3604629635810852,1.3717498779296875,1.548540711402893,1.902435541152954,0.9612226486206055,0.056919313967227936,0.6673056483268738,0.7713211178779602,0.8175391554832458,0.986701488494873,0.9998930096626282,0.9999840259552002,1.0
SC-INR-NoPhi-Signed,bsd100,101085.png,x4,x8,tanh_signed,2.1,0.3612760305404663,0.0,0.0,0.04272736236453056,0.4335097372531891,-1.7980518341064453,-1.1781798601150513,-0.6904485821723938,0.006223518867045641,1.0010390281677246,1.4729341268539429,1.820244312286377,0.250014990568161,0.37484654784202576,-1.7343963384628296,-0.25620323419570923,-0.10372521728277206,0.12000298500061035,1.1240923404693604,1.4980002641677856,1.902408480644226,0.4757276177406311,0.4079914391040802,3.0582181352656335e-05,0.012460178695619106,0.03225869685411453,0.3604629635810852,1.3717498779296875,1.548540711402893,1.902435541152954,0.9900070428848267,0.014896655455231667,0.9095392227172852,0.9395134449005127,0.9523399472236633,0.9966640472412109,0.9999732375144958,0.9999960064888,1.0
SC-INR-NoPhi-Signed,bsd100,101085.png,x4,x16,tanh_signed,2.1,0.3612760305404663,0.0,0.0,0.04272736236453056,0.4335097372531891,-1.7980518341064453,-1.1781798601150513,-0.6904485821723938,0.006223518867045641,1.0010390281677246,1.4729341268539429,1.820244312286377,0.250014990568161,0.37484654784202576,-1.7343963384628296,-0.25620323419570923,-0.10372521728277206,0.12000298500061035,1.1240923404693604,1.4980002641677856,1.902408480644226,0.4757276177406311,0.4079914391040802,3.0582181352656335e-05,0.012460178695619106,0.03225869685411453,0.3604629635810852,1.3717498779296875,1.548540711402893,1.902435541152954,0.9974828362464905,0.003767200745642185,0.9769060015678406,0.9846633076667786,0.9879531264305115,0.9991653561592102,0.9999933242797852,0.9999989867210388,1.0
SC-INR-NoPhi-Signed,bsd100,101085.png,x4,x30,tanh_signed,2.1,0.3612760305404663,0.0,0.0,0.04272736236453056,0.4335097372531891,-1.7980518341064453,-1.1781798601150513,-0.6904485821723938,0.006223518867045641,1.0010390281677246,1.4729341268539429,1.820244312286377,0.250014990568161,0.37484654784202576,-1.7343963384628296,-0.25620323419570923,-0.10372521728277206,0.12000298500061035,1.1240923404693604,1.4980002641677856,1.902408480644226,0.4757276177406311,0.4079914391040802,3.0582181352656335e-05,0.012460178695619106,0.03225869685411453,0.3604629635810852,1.3717498779296875,1.548540711402893,1.902435541152954,0.9992826581001282,0.0010745031759142876,0.993398129940033,0.9956230521202087,0.9965643882751465,0.9997625350952148,0.9999980926513672,0.9999997019767761,1.0
SC-INR,bsd100,101085.png,x4,x4,tanh_signed,2.1,0.3962976336479187,2.8483073037932627e-05,0.0,0.03374268114566803,0.43366289138793945,-1.9806164503097534,-1.2812809944152832,-0.5675384402275085,0.0004615849466063082,0.898544192314148,1.4183837175369263,1.8046513795852661,0.2263626903295517,0.4151037037372589,-1.177420735359192,-0.36553511023521423,-0.16042658686637878,0.06486359238624573,1.2479333877563477,1.768864393234253,2.027876853942871,0.4569488763809204,0.4516092836856842,0.0001436803868273273,0.009592817164957523,0.024655906483530998,0.3182534873485565,1.4206042289733887,1.8252477645874023,2.031839609146118,0.9599192142486572,0.06926974654197693,0.6272557973861694,0.6953964829444885,0.8051944375038147,0.9896242618560791,0.9999375343322754,0.9999905824661255,1.0
SC-INR,bsd100,101085.png,x4,x8,tanh_signed,2.1,0.3962976336479187,2.8483073037932627e-05,0.0,0.03374268114566803,0.43366289138793945,-1.9806164503097534,-1.2812809944152832,-0.5675384402275085,0.0004615849466063082,0.898544192314148,1.4183837175369263,1.8046513795852661,0.2263626903295517,0.4151037037372589,-1.177420735359192,-0.36553511023521423,-0.16042658686637878,0.06486359238624573,1.2479333877563477,1.768864393234253,2.027876853942871,0.4569488763809204,0.4516092836856842,0.0001436803868273273,0.009592817164957523,0.024655906483530998,0.3182534873485565,1.4206042289733887,1.8252477645874023,2.031839609146118,0.9895432591438293,0.01852753944694996,0.8972771167755127,0.9168456196784973,0.9489415287971497,0.9973989725112915,0.9999843835830688,0.999997615814209,1.0
SC-INR,bsd100,101085.png,x4,x16,tanh_signed,2.1,0.3962976336479187,2.8483073037932627e-05,0.0,0.03374268114566803,0.43366289138793945,-1.9806164503097534,-1.2812809944152832,-0.5675384402275085,0.0004615849466063082,0.898544192314148,1.4183837175369263,1.8046513795852661,0.2263626903295517,0.4151037037372589,-1.177420735359192,-0.36553511023521423,-0.16042658686637878,0.06486359238624573,1.2479333877563477,1.768864393234253,2.027876853942871,0.4569488763809204,0.4516092836856842,0.0001436803868273273,0.009592817164957523,0.024655906483530998,0.3182534873485565,1.4206042289733887,1.8252477645874023,2.031839609146118,0.9973574280738831,0.004711803514510393,0.9736871123313904,0.9787495732307434,0.9870837330818176,0.9993493556976318,0.9999961256980896,0.9999994039535522,1.0
SC-INR,bsd100,101085.png,x4,x30,tanh_signed,2.1,0.3962976336479187,2.8483073037932627e-05,0.0,0.03374268114566803,0.43366289138793945,-1.9806164503097534,-1.2812809944152832,-0.5675384402275085,0.0004615849466063082,0.898544192314148,1.4183837175369263,1.8046513795852661,0.2263626903295517,0.4151037037372589,-1.177420735359192,-0.36553511023521423,-0.16042658686637878,0.06486359238624573,1.2479333877563477,1.768864393234253,2.027876853942871,0.4569488763809204,0.4516092836856842,0.0001436803868273273,0.009592817164957523,0.024655906483530998,0.3182534873485565,1.4206042289733887,1.8252477645874023,2.031839609146118,0.9992462396621704,0.0013457443565130234,0.9924719929695129,0.9939233660697937,0.9963156580924988,0.9998148679733276,0.999998927116394,0.9999998807907104,1.0
