dataset,image,scale,scale_num,split,crop_id,crop_y,crop_x,crop_size,texture_bin,edge_bin,highpass_bin,flat_control,structured_crop,sc_inr_psnr_y,liif_psnr_y,lte_psnr_y,delta_vs_liif,delta_vs_lte,min_external_delta,mean_external_delta,wins_external,texture_var,edge_mag,highpass_energy
BSD100,101085.png,x16,16,OOD,0,0,0,96,high,mid,high,0,1,22.13378758,21.97434520,21.91087714,0.15944238,0.22291044,0.15944238,0.19117641,1,0.02294359,0.04951069,0.24026698
BSD100,101085.png,x16,16,OOD,1,0,96,96,high,high,high,0,1,20.03330846,19.29223306,19.45743491,0.74107540,0.57587355,0.57587355,0.65847448,1,0.01633640,0.05953060,0.24166037
BSD100,101085.png,x16,16,OOD,10,192,192,96,mid,mid,mid,0,1,21.23354237,21.14208046,21.14957637,0.09146191,0.08396600,0.08396600,0.08771395,1,0.00983397,0.04974576,0.19982180
BSD100,101085.png,x16,16,OOD,11,192,224,96,low,low,low,1,0,22.83496764,22.91069280,22.84953576,-0.07572516,-0.01456812,-0.07572516,-0.04514664,0,0.00494557,0.03753153,0.17722066
BSD100,101085.png,x16,16,OOD,12,288,0,96,mid,mid,mid,0,1,22.65221184,22.41006170,22.05621269,0.24215014,0.59599915,0.24215014,0.41907465,1,0.01237850,0.04913606,0.21571185
BSD100,101085.png,x16,16,OOD,13,288,96,96,high,high,high,0,1,20.19995969,20.16772726,20.17269581,0.03223243,0.02726388,0.02726388,0.02974815,1,0.01738145,0.05860916,0.25687799
BSD100,101085.png,x16,16,OOD,14,288,192,96,mid,high,mid,0,1,21.15536658,21.31849281,21.12854008,-0.16312623,0.02682650,-0.16312623,-0.06814987,0,0.01184109,0.05225948,0.21340916
BSD100,101085.png,x16,16,OOD,15,288,224,96,low,low,mid,1,0,22.07371912,22.14437931,21.95969757,-0.07066019,0.11402155,-0.07066019,0.02168068,0,0.00709358,0.04365575,0.17999771
BSD100,101085.png,x16,16,OOD,16,384,0,96,high,high,high,0,1,19.76918495,19.67019539,19.70117860,0.09898956,0.06800635,0.06800635,0.08349795,1,0.01483216,0.06575226,0.27273917
BSD100,101085.png,x16,16,OOD,17,384,96,96,high,high,high,0,1,18.43099937,18.36285360,18.09646390,0.06814577,0.33453547,0.06814577,0.20134062,1,0.02120509,0.08266193,0.32379830
BSD100,101085.png,x16,16,OOD,18,384,192,96,high,high,high,0,1,20.69368863,20.74894186,20.51387051,-0.05525323,0.17981812,-0.05525323,0.06228244,0,0.01431580,0.05946847,0.26847219
BSD100,101085.png,x16,16,OOD,19,384,224,96,mid,mid,mid,0,1,20.64595155,20.93984792,21.16422319,-0.29389637,-0.51827164,-0.51827164,-0.40608401,0,0.01138039,0.05060562,0.23676418
BSD100,101085.png,x16,16,OOD,2,0,192,96,high,high,mid,0,1,20.21360594,20.17055955,20.10541737,0.04304639,0.10818857,0.04304639,0.07561748,1,0.01239622,0.05382137,0.23020355
BSD100,101085.png,x16,16,OOD,3,0,224,96,low,mid,high,0,1,21.55071510,21.51564535,21.56537456,0.03506975,-0.01465946,-0.01465946,0.01020514,0,0.00790008,0.04877704,0.23951854
BSD100,101085.png,x16,16,OOD,4,96,0,96,low,low,low,1,0,20.59572336,20.55259834,20.45127804,0.04312502,0.14444532,0.04312502,0.09378517,1,0.00697127,0.04218341,0.15801109
BSD100,101085.png,x16,16,OOD,5,96,96,96,mid,low,low,0,0,21.62682884,20.86339180,21.15960430,0.76343704,0.46722454,0.46722454,0.61533079,1,0.00815073,0.04612208,0.16604488
BSD100,101085.png,x16,16,OOD,6,96,192,96,low,low,low,1,0,21.43282260,21.35067286,21.21678676,0.08214974,0.21603584,0.08214974,0.14909279,1,0.00663971,0.04360946,0.17725021
BSD100,101085.png,x16,16,OOD,7,96,224,96,low,low,low,1,0,22.73670302,22.81718832,22.58179448,-0.08048530,0.15490854,-0.08048530,0.03721162,0,0.00435404,0.03698211,0.16420762
BSD100,101085.png,x16,16,OOD,8,192,0,96,low,low,low,1,0,22.09949717,21.85459617,22.00969396,0.24490100,0.08980321,0.08980321,0.16735211,1,0.00781588,0.04345922,0.17862569
BSD100,101085.png,x16,16,OOD,9,192,96,96,mid,mid,low,0,1,21.99618326,22.06190605,22.02615182,-0.06572279,-0.02996856,-0.06572279,-0.04784568,0,0.00845736,0.04735785,0.17148687
BSD100,101085.png,x30,30,OOD,0,0,0,96,high,mid,high,0,1,19.33192079,20.03399447,19.54375387,-0.70207368,-0.21183308,-0.70207368,-0.45695338,0,0.02799408,0.05429443,0.25936329
BSD100,101085.png,x30,30,OOD,1,0,96,96,high,high,high,0,1,15.14005548,15.65482306,14.99460450,-0.51476758,0.14545098,-0.51476758,-0.18465830,0,0.02154296,0.06869422,0.27009118
BSD100,101085.png,x30,30,OOD,10,192,192,96,mid,mid,mid,0,1,19.92696322,20.12622016,19.61565539,-0.19925694,0.31130783,-0.19925694,0.05602545,0,0.01064379,0.04782412,0.19432279
BSD100,101085.png,x30,30,OOD,11,192,204,96,low,low,low,1,0,21.13462792,21.23127840,20.88311689,-0.09665048,0.25151103,-0.09665048,0.07743028,0,0.00625618,0.03917618,0.17307514
BSD100,101085.png,x30,30,OOD,12,288,0,96,high,high,high,0,1,19.19716794,19.47082429,19.03791150,-0.27365635,0.15925644,-0.27365635,-0.05719995,0,0.01507607,0.05431189,0.23591733
BSD100,101085.png,x30,30,OOD,13,288,96,96,high,high,high,0,1,17.23806351,17.94003482,18.17078717,-0.70197131,-0.93272366,-0.93272366,-0.81734748,0,0.02104423,0.06220073,0.26656106
BSD100,101085.png,x30,30,OOD,14,288,192,96,mid,mid,mid,0,1,19.23221793,19.59380024,19.18874985,-0.36158231,0.04346808,-0.36158231,-0.15905711,0,0.01175538,0.05421574,0.21496105
BSD100,101085.png,x30,30,OOD,15,288,204,96,low,low,low,1,0,20.66503984,21.13478444,20.84075568,-0.46974460,-0.17571584,-0.46974460,-0.32273022,0,0.00711028,0.04552854,0.18095165
BSD100,101085.png,x30,30,OOD,16,384,0,96,high,high,high,0,1,18.21747965,18.12935809,18.27000755,0.08812156,-0.05252790,-0.05252790,0.01779683,0,0.01739345,0.07007986,0.28802153
BSD100,101085.png,x30,30,OOD,17,384,96,96,high,high,high,0,1,17.28181756,17.32249191,17.13414657,-0.04067435,0.14767099,-0.04067435,0.05349832,0,0.02287793,0.08668680,0.33185926
BSD100,101085.png,x30,30,OOD,18,384,192,96,high,high,high,0,1,19.93019672,19.75384046,19.33900158,0.17635626,0.59119514,0.17635626,0.38377570,1,0.01371170,0.05632097,0.25342125
BSD100,101085.png,x30,30,OOD,19,384,204,96,mid,low,mid,0,1,21.36562287,21.03951635,20.88438055,0.32610652,0.48124232,0.32610652,0.40367442,1,0.00931354,0.04368662,0.19217667
BSD100,101085.png,x30,30,OOD,2,0,192,96,mid,high,mid,0,1,20.01708726,19.78642288,19.52245417,0.23066438,0.49463309,0.23066438,0.36264873,1,0.01300420,0.05595085,0.22609769
BSD100,101085.png,x30,30,OOD,3,0,204,96,mid,mid,mid,0,1,21.87174164,21.93914307,21.55107899,-0.06740143,0.32066265,-0.06740143,0.12663061,0,0.01116189,0.05194904,0.23221201
BSD100,101085.png,x30,30,OOD,4,96,0,96,low,low,low,1,0,20.35133266,20.37183973,20.39156096,-0.02050707,-0.04022830,-0.04022830,-0.03036768,0,0.00580603,0.03906108,0.14477836
BSD100,101085.png,x30,30,OOD,5,96,96,96,mid,mid,low,0,1,18.45647341,18.00319965,17.42146199,0.45327376,1.03501142,0.45327376,0.74414259,1,0.01085705,0.05401351,0.18341573
BSD100,101085.png,x30,30,OOD,6,96,192,96,low,low,low,1,0,21.42013187,21.46578468,21.00189333,-0.04565281,0.41823854,-0.04565281,0.18629287,0,0.00585040,0.04144327,0.18373103
BSD100,101085.png,x30,30,OOD,7,96,204,96,low,low,low,1,0,22.28739377,22.46083019,22.37595196,-0.17343642,-0.08855819,-0.17343642,-0.13099731,0,0.00374033,0.03364120,0.15170568
BSD100,101085.png,x30,30,OOD,8,192,0,96,low,low,low,1,0,20.84858660,20.62032297,20.93605251,0.22826363,-0.08746591,-0.08746591,0.07039886,0,0.00794281,0.04486835,0.17831768
BSD100,101085.png,x30,30,OOD,9,192,96,96,low,mid,mid,0,1,21.23458034,21.25893288,20.98954988,-0.02435254,0.24503046,-0.02435254,0.11033896,0,0.00901636,0.04880965,0.18671045
BSD100,101085.png,x4,4,ID,0,0,0,96,high,mid,high,0,1,25.26750600,25.29904215,25.35674433,-0.03153615,-0.08923833,-0.08923833,-0.06038724,0,0.01734778,0.04758401,0.22992420
BSD100,101085.png,x4,4,ID,1,0,96,96,high,high,mid,0,1,24.47486610,24.62808523,24.52228519,-0.15321913,-0.04741909,-0.15321913,-0.10031911,0,0.01513106,0.05454551,0.22802970
BSD100,101085.png,x4,4,ID,10,192,192,96,low,low,low,1,0,25.28458888,25.23467844,25.20499246,0.04991044,0.07959642,0.04991044,0.06475343,1,0.00736236,0.04451637,0.17999946
BSD100,101085.png,x4,4,ID,11,192,224,96,mid,low,mid,0,1,25.46930540,25.40101303,25.43907191,0.06829237,0.03023349,0.03023349,0.04926293,1,0.00793445,0.04463645,0.18848582
BSD100,101085.png,x4,4,ID,12,288,0,96,mid,low,mid,0,1,25.65699810,25.69316451,25.70907927,-0.03616641,-0.05208117,-0.05208117,-0.04412379,0,0.00890586,0.04413933,0.19784552
BSD100,101085.png,x4,4,ID,13,288,96,96,high,high,mid,0,1,24.64996647,24.52275929,24.58687903,0.12720718,0.06308744,0.06308744,0.09514731,1,0.01322529,0.05327211,0.22713076
BSD100,101085.png,x4,4,ID,14,288,192,96,mid,mid,mid,0,1,25.27703106,25.21919863,25.31247319,0.05783243,-0.03544213,-0.03544213,0.01119515,0,0.01079428,0.04885397,0.19860336
BSD100,101085.png,x4,4,ID,15,288,224,96,mid,mid,mid,0,1,25.67067030,25.57624734,25.59593634,0.09442296,0.07473396,0.07473396,0.08457846,1,0.00836287,0.04614495,0.19791441
BSD100,101085.png,x4,4,ID,16,384,0,96,high,high,high,0,1,21.99348066,22.02919589,22.02716896,-0.03571523,-0.03368830,-0.03571523,-0.03470176,0,0.01382666,0.06335684,0.26059416
BSD100,101085.png,x4,4,ID,17,384,96,96,high,high,high,0,1,20.14693772,20.12973096,20.15140965,0.01720676,-0.00447193,-0.00447193,0.00636742,0,0.01893844,0.08004919,0.31869096
BSD100,101085.png,x4,4,ID,18,384,192,96,high,high,high,0,1,21.95956833,22.00825892,21.99649166,-0.04869059,-0.03692333,-0.04869059,-0.04280696,0,0.01480509,0.06313986,0.27105859
BSD100,101085.png,x4,4,ID,19,384,224,96,high,high,high,0,1,23.01775027,22.98199478,23.01203921,0.03575549,0.00571106,0.00571106,0.02073327,1,0.01491047,0.06021272,0.25811258
BSD100,101085.png,x4,4,ID,2,0,192,96,mid,mid,high,0,1,23.70874540,23.73188956,23.72294469,-0.02314416,-0.01419929,-0.02314416,-0.01867173,0,0.01145792,0.05282254,0.23535348
BSD100,101085.png,x4,4,ID,3,0,224,96,mid,high,high,0,1,22.68218193,22.70897068,22.68287656,-0.02678875,-0.00069463,-0.02678875,-0.01374169,0,0.01003644,0.05350810,0.24988304
BSD100,101085.png,x4,4,ID,4,96,0,96,low,low,low,1,0,26.46140268,26.37003934,26.46756170,0.09136334,-0.00615902,-0.00615902,0.04260216,0,0.00770869,0.04405865,0.16219579
BSD100,101085.png,x4,4,ID,5,96,96,96,low,low,low,1,0,26.56418459,26.46146759,26.52228123,0.10271700,0.04190336,0.04190336,0.07231018,1,0.00689273,0.04275284,0.15847029
BSD100,101085.png,x4,4,ID,6,96,192,96,low,low,low,1,0,25.41211784,25.32938512,25.30445445,0.08273272,0.10766339,0.08273272,0.09519806,1,0.00653143,0.04333147,0.17373419
BSD100,101085.png,x4,4,ID,7,96,224,96,low,low,low,1,0,26.69082588,26.68835916,26.71034329,0.00246672,-0.01951741,-0.01951741,-0.00852535,0,0.00442784,0.03760938,0.16837373
BSD100,101085.png,x4,4,ID,8,192,0,96,low,mid,low,0,0,25.30707149,25.40679522,25.22485911,-0.09972373,0.08221238,-0.09972373,-0.00875567,0,0.00786371,0.04484363,0.17910616
BSD100,101085.png,x4,4,ID,9,192,96,96,low,mid,low,0,0,25.28916695,25.25975580,25.28173524,0.02941115,0.00743171,0.00743171,0.01842143,1,0.00715364,0.04473734,0.16904677
BSD100,101085.png,x8,8,OOD,0,0,0,96,high,mid,mid,0,1,23.29518983,23.16978187,23.26567820,0.12540796,0.02951163,0.02951163,0.07745980,1,0.01881845,0.04819078,0.23520461
BSD100,101085.png,x8,8,OOD,1,0,96,96,high,high,high,0,1,22.00809932,22.09365937,21.80213791,-0.08556005,0.20596141,-0.08556005,0.06020068,0,0.01568737,0.05639816,0.23553602
BSD100,101085.png,x8,8,OOD,10,192,192,96,mid,mid,mid,0,1,23.15251833,23.14424613,23.22704590,0.00827220,-0.07452757,-0.07452757,-0.03312769,0,0.00836971,0.04666229,0.18573952
BSD100,101085.png,x8,8,OOD,11,192,224,96,low,low,mid,1,0,23.95277161,23.94655216,24.15966104,0.00621945,-0.20688943,-0.20688943,-0.10033499,0,0.00684938,0.04114669,0.18469371
BSD100,101085.png,x8,8,OOD,12,288,0,96,mid,low,mid,0,1,24.15015441,24.41252705,24.29660330,-0.26237264,-0.14644889,-0.26237264,-0.20441076,0,0.00945157,0.04468764,0.19497418
BSD100,101085.png,x8,8,OOD,13,288,96,96,high,high,high,0,1,22.14708600,22.10168973,22.06331633,0.04539627,0.08376967,0.04539627,0.06458297,1,0.01442486,0.05535145,0.23600540
BSD100,101085.png,x8,8,OOD,14,288,192,96,mid,mid,mid,0,1,23.19833935,23.12758513,23.20567189,0.07075422,-0.00733254,-0.00733254,0.03171084,0,0.01134582,0.04980055,0.20618838
BSD100,101085.png,x8,8,OOD,15,288,224,96,low,low,low,1,0,23.90117016,23.78478492,23.89677386,0.11638524,0.00439630,0.00439630,0.06039077,1,0.00717283,0.04405313,0.17835777
BSD100,101085.png,x8,8,OOD,16,384,0,96,high,high,high,0,1,20.82597252,20.86344015,20.86260239,-0.03746763,-0.03662987,-0.03746763,-0.03704875,0,0.01374219,0.06319420,0.26337186
BSD100,101085.png,x8,8,OOD,17,384,96,96,high,high,high,0,1,19.06714538,19.04947642,19.06692319,0.01766896,0.00022219,0.00022219,0.00894558,1,0.01941991,0.08010805,0.32404423
BSD100,101085.png,x8,8,OOD,18,384,192,96,high,high,high,0,1,21.10606748,21.00411394,21.02729879,0.10195354,0.07876869,0.07876869,0.09036111,1,0.01414256,0.06139909,0.26536605
BSD100,101085.png,x8,8,OOD,19,384,224,96,high,high,high,0,1,22.25254984,22.07573398,22.13913582,0.17681586,0.11341402,0.11341402,0.14511494,1,0.01318328,0.05475171,0.24488334
BSD100,101085.png,x8,8,OOD,2,0,192,96,mid,high,mid,0,1,22.25284404,22.21966900,22.30853339,0.03317504,-0.05568935,-0.05568935,-0.01125715,0,0.01093973,0.05242059,0.23298222
BSD100,101085.png,x8,8,OOD,3,0,224,96,mid,mid,high,0,1,22.01575219,22.04431949,22.02062361,-0.02856730,-0.00487142,-0.02856730,-0.01671936,0,0.00904562,0.05130960,0.24254443
BSD100,101085.png,x8,8,OOD,4,96,0,96,low,low,low,1,0,22.71199398,22.67942105,22.49934013,0.03257293,0.21265385,0.03257293,0.12261339,1,0.00720845,0.04278967,0.15859288
BSD100,101085.png,x8,8,OOD,5,96,96,96,low,low,low,1,0,23.92028552,23.82665725,23.84185386,0.09362827,0.07843166,0.07843166,0.08602996,1,0.00705908,0.04353348,0.16056162
BSD100,101085.png,x8,8,OOD,6,96,192,96,low,low,low,1,0,23.25199861,23.47259506,23.22075799,-0.22059645,0.03124062,-0.22059645,-0.09467792,0,0.00672003,0.04369048,0.17284477
BSD100,101085.png,x8,8,OOD,7,96,224,96,low,low,low,1,0,25.61363147,25.65446972,25.47599880,-0.04083825,0.13763267,-0.04083825,0.04839721,0,0.00420689,0.03632778,0.16472578
BSD100,101085.png,x8,8,OOD,8,192,0,96,mid,mid,low,0,1,23.96330763,24.08356183,23.91129290,-0.12025420,0.05201473,-0.12025420,-0.03411973,0,0.00796051,0.04479062,0.18322614
BSD100,101085.png,x8,8,OOD,9,192,96,96,low,mid,low,0,0,22.87660604,22.90501254,22.92524353,-0.02840650,-0.04863749,-0.04863749,-0.03852200,0,0.00745215,0.04546092,0.17300107
BSD100,101087.png,x16,16,OOD,0,0,0,96,high,low,high,0,1,65.18379335,63.39334553,64.83329724,1.79044782,0.35049611,0.35049611,1.07047197,1,0.02538815,0.02648357,0.21790522
BSD100,101087.png,x16,16,OOD,1,0,96,96,high,low,high,0,1,79.52237551,77.20496135,77.21249205,2.31741416,2.30988346,2.30988346,2.31364881,1,0.02540069,0.02644693,0.21802869
BSD100,101087.png,x16,16,OOD,10,192,192,96,mid,mid,mid,0,1,24.34231451,24.25727234,24.34485656,0.08504217,-0.00254205,-0.00254205,0.04125006,0,0.01083223,0.04194051,0.17112026
BSD100,101087.png,x16,16,OOD,11,192,224,96,mid,high,low,0,1,23.06096694,23.10250380,23.06249562,-0.04153686,-0.00152868,-0.04153686,-0.02153277,0,0.01000184,0.04555894,0.17063324
BSD100,101087.png,x16,16,OOD,12,288,0,96,low,low,low,1,0,25.93260907,25.96866420,25.90539313,-0.03605513,0.02721594,-0.03605513,-0.00441959,0,0.00754010,0.03021618,0.15016346
BSD100,101087.png,x16,16,OOD,13,288,96,96,low,mid,low,0,0,26.84627306,26.82086810,26.94622448,0.02540496,-0.09995142,-0.09995142,-0.03727323,0,0.00882057,0.03587332,0.14235382
BSD100,101087.png,x16,16,OOD,14,288,192,96,mid,high,high,0,1,22.98446640,22.94758242,22.96024065,0.03688398,0.02422575,0.02422575,0.03055487,1,0.01305709,0.05535101,0.21829197
BSD100,101087.png,x16,16,OOD,15,288,224,96,mid,mid,mid,0,1,24.25771056,24.27031555,24.02603633,-0.01260499,0.23167423,-0.01260499,0.10953462,0,0.00948835,0.04308870,0.18382414
BSD100,101087.png,x16,16,OOD,16,384,0,96,low,low,low,1,0,28.59786248,29.09197828,29.08227239,-0.49411580,-0.48440991,-0.49411580,-0.48926285,0,0.00553116,0.02050297,0.11364701
BSD100,101087.png,x16,16,OOD,17,384,96,96,low,low,low,1,0,50.23035247,50.10099235,50.14370787,0.12936012,0.08664460,0.08664460,0.10800236,1,0.00666340,0.01577348,0.11187916
BSD100,101087.png,x16,16,OOD,18,384,192,96,low,high,low,0,1,21.94849712,21.70875208,21.85944798,0.23974504,0.08904914,0.08904914,0.16439709,1,0.00939099,0.04652893,0.16928719
BSD100,101087.png,x16,16,OOD,19,384,224,96,low,low,low,1,0,24.46406833,24.36169353,24.50961441,0.10237480,-0.04554608,-0.04554608,0.02841436,0,0.00656150,0.03089171,0.13217714
BSD100,101087.png,x16,16,OOD,2,0,192,96,high,low,high,0,1,34.87658392,33.99638152,33.51559375,0.88020240,1.36099017,0.88020240,1.12059628,1,0.02518843,0.02748422,0.22092885
BSD100,101087.png,x16,16,OOD,3,0,224,96,high,mid,high,0,1,25.79023631,25.31325430,24.74959975,0.47698201,1.04063656,0.47698201,0.75880929,1,0.03037103,0.03977612,0.24884425
BSD100,101087.png,x16,16,OOD,4,96,0,96,high,mid,mid,0,1,25.90608917,25.57796051,25.49367024,0.32812866,0.41241893,0.32812866,0.37027380,1,0.01950049,0.03770609,0.19422495
BSD100,101087.png,x16,16,OOD,5,96,96,96,high,mid,high,0,1,22.80680844,22.94440101,23.00223719,-0.13759257,-0.19542875,-0.19542875,-0.16651066,0,0.02379523,0.03877692,0.21596193
BSD100,101087.png,x16,16,OOD,6,96,192,96,mid,high,high,0,1,20.79046023,20.79040249,20.86097122,0.00005774,-0.07051099,-0.07051099,-0.03522662,0,0.01767357,0.05445666,0.21946606
BSD100,101087.png,x16,16,OOD,7,96,224,96,high,high,mid,0,1,20.69572005,20.64237718,20.83226127,0.05334287,-0.13654122,-0.13654122,-0.04159917,0,0.02020082,0.05065538,0.21524283
BSD100,101087.png,x16,16,OOD,8,192,0,96,low,high,mid,0,1,22.74651682,22.71923822,22.71843111,0.02727860,0.02808571,0.02727860,0.02768215,1,0.00630112,0.04854295,0.17859867
BSD100,101087.png,x16,16,OOD,9,192,96,96,mid,high,mid,0,1,19.55456896,19.46888936,19.49682294,0.08567960,0.05774602,0.05774602,0.07171281,1,0.01249678,0.05804890,0.20800298
BSD100,101087.png,x30,30,OOD,0,0,0,96,high,low,high,0,1,61.01738109,61.28609713,54.44495875,-0.26871604,6.57242234,-0.26871604,3.15185315,0,0.03344842,0.03508979,0.25299415
BSD100,101087.png,x30,30,OOD,1,0,96,96,high,low,high,0,1,69.16726068,69.20318636,63.16136386,-0.03592568,6.00589682,-0.03592568,2.98498557,0,0.03345037,0.03508498,0.25303352
BSD100,101087.png,x30,30,OOD,10,192,192,96,mid,mid,low,0,1,22.78280028,22.14788314,22.48908031,0.63491714,0.29371997,0.29371997,0.46431855,1,0.01285210,0.04327760,0.17953308
BSD100,101087.png,x30,30,OOD,11,192,204,96,mid,mid,mid,0,1,21.85851280,21.17428318,21.71184249,0.68422962,0.14667031,0.14667031,0.41544996,1,0.01382878,0.05037262,0.18812492
BSD100,101087.png,x30,30,OOD,12,288,0,96,low,low,low,1,0,22.15169083,22.19101173,22.03955049,-0.03932090,0.11214034,-0.03932090,0.03640972,0,0.01046294,0.03531520,0.16711046
BSD100,101087.png,x30,30,OOD,13,288,96,96,low,mid,low,0,0,25.23541125,25.21514525,25.28295347,0.02026600,-0.04754222,-0.04754222,-0.01363811,0,0.01252409,0.04596623,0.16915853
BSD100,101087.png,x30,30,OOD,14,288,192,96,mid,high,high,0,1,21.55034950,21.66361943,21.55200402,-0.11326993,-0.00165452,-0.11326993,-0.05746223,0,0.01642321,0.06308525,0.25083935
BSD100,101087.png,x30,30,OOD,15,288,204,96,mid,high,high,0,1,20.93334539,21.00899991,20.54844274,-0.07565452,0.38490265,-0.07565452,0.15462407,0,0.01601744,0.06401800,0.25606176
BSD100,101087.png,x30,30,OOD,16,384,0,96,low,low,low,1,0,33.69604666,33.66918857,33.48892141,0.02685809,0.20712525,0.02685809,0.11699167,1,0.00693924,0.02024321,0.11737788
BSD100,101087.png,x30,30,OOD,17,384,96,96,low,low,low,1,0,47.72304159,47.40415928,48.65490538,0.31888231,-0.93186379,-0.93186379,-0.30649074,0,0.00876708,0.02011095,0.12978151
BSD100,101087.png,x30,30,OOD,18,384,192,96,low,high,low,0,1,18.99042345,18.76910713,19.11369366,0.22131632,-0.12327021,-0.12327021,0.04902306,0,0.01105218,0.05288066,0.18632363
BSD100,101087.png,x30,30,OOD,19,384,204,96,low,mid,low,0,0,19.21613684,18.89992912,19.46581207,0.31620772,-0.24967523,-0.24967523,0.03326625,0,0.01013993,0.04968553,0.17310715
BSD100,101087.png,x30,30,OOD,2,0,192,96,high,low,high,0,1,58.03053602,57.11327737,50.16897521,0.91725865,7.86156081,0.91725865,4.38940973,1,0.03344532,0.03509216,0.25302720
BSD100,101087.png,x30,30,OOD,3,0,204,96,high,low,mid,0,1,30.47859859,29.48913025,30.17014910,0.98946834,0.30844949,0.30844949,0.64895891,1,0.03316851,0.03549070,0.24865647
BSD100,101087.png,x30,30,OOD,4,96,0,96,high,mid,mid,0,1,19.09090616,18.48319521,20.77161918,0.60771095,-1.68071302,-1.68071302,-0.53650104,0,0.02550403,0.04547642,0.22198886
BSD100,101087.png,x30,30,OOD,5,96,96,96,high,mid,mid,0,1,20.83626465,19.69017908,20.08896185,1.14608557,0.74730280,0.74730280,0.94669419,1,0.03218635,0.04295078,0.24461628
BSD100,101087.png,x30,30,OOD,6,96,192,96,mid,high,high,0,1,19.25706921,19.21054990,18.64049461,0.04651931,0.61657460,0.04651931,0.33154695,1,0.02333529,0.06506906,0.25346041
BSD100,101087.png,x30,30,OOD,7,96,204,96,high,high,high,0,1,19.41720849,19.35889824,18.86493404,0.05831025,0.55227445,0.05831025,0.30529235,1,0.02392206,0.06097168,0.24892347
BSD100,101087.png,x30,30,OOD,8,192,0,96,low,high,mid,0,1,21.93313546,21.94237535,21.86130560,-0.00923989,0.07182986,-0.00923989,0.03129498,0,0.00677127,0.05221358,0.19480577
BSD100,101087.png,x30,30,OOD,9,192,96,96,mid,high,mid,0,1,16.94761673,16.84501551,16.80822229,0.10260122,0.13939444,0.10260122,0.12099783,1,0.01813350,0.06770698,0.24175051
BSD100,101087.png,x4,4,ID,0,0,0,96,high,low,mid,0,1,45.33204248,45.93382107,46.72983513,-0.60177859,-1.39779265,-1.39779265,-0.99978562,0,0.01856551,0.02016681,0.18794350
BSD100,101087.png,x4,4,ID,1,0,96,96,high,low,mid,0,1,63.28206155,63.85997291,63.52132744,-0.57791136,-0.23926589,-0.57791136,-0.40858862,0,0.01864414,0.01935880,0.18512787
BSD100,101087.png,x4,4,ID,10,192,192,96,mid,high,mid,0,1,27.09043156,27.05258770,27.06576303,0.03784386,0.02466853,0.02466853,0.03125620,1,0.00834697,0.04055198,0.16649571
BSD100,101087.png,x4,4,ID,11,192,224,96,mid,mid,low,0,1,27.77090353,27.71955021,27.69218406,0.05135332,0.07871947,0.05135332,0.06503639,1,0.00775191,0.03991227,0.15199240
BSD100,101087.png,x4,4,ID,12,288,0,96,low,low,low,1,0,28.86868324,28.93735923,28.88326228,-0.06867599,-0.01457904,-0.06867599,-0.04162752,0,0.00667046,0.02850443,0.14764090
BSD100,101087.png,x4,4,ID,13,288,96,96,low,mid,low,0,0,28.88296555,28.80744146,28.89686044,0.07552409,-0.01389489,-0.01389489,0.03081460,0,0.00691395,0.02999659,0.13146071
BSD100,101087.png,x4,4,ID,14,288,192,96,mid,high,mid,0,1,25.84406119,25.77757501,25.89131311,0.06648618,-0.04725192,-0.04725192,0.00961713,0,0.00981899,0.04688726,0.18699509
BSD100,101087.png,x4,4,ID,15,288,224,96,mid,mid,mid,0,1,26.83873381,26.79808318,26.87441399,0.04065063,-0.03568018,-0.03568018,0.00248523,0,0.00826080,0.03844728,0.16981384
BSD100,101087.png,x4,4,ID,16,384,0,96,low,low,low,1,0,35.03850275,35.00994725,35.28109667,0.02855550,-0.24259392,-0.24259392,-0.10701921,0,0.00569910,0.02262012,0.11343477
BSD100,101087.png,x4,4,ID,17,384,96,96,low,low,low,1,0,50.65727486,50.87409846,50.65201002,-0.21682360,0.00526484,-0.21682360,-0.10577938,0,0.00488304,0.01220631,0.09486307
BSD100,101087.png,x4,4,ID,18,384,192,96,low,mid,low,0,0,28.89848317,28.86367498,28.89490275,0.03480819,0.00358042,0.00358042,0.01919431,1,0.00686221,0.03338525,0.13903868
BSD100,101087.png,x4,4,ID,19,384,224,96,low,low,low,1,0,30.38605824,30.32613035,30.36757658,0.05992789,0.01848166,0.01848166,0.03920477,1,0.00524144,0.02605597,0.12024764
BSD100,101087.png,x4,4,ID,2,0,192,96,high,low,high,0,1,38.73382803,37.51085401,38.14318147,1.22297402,0.59064656,0.59064656,0.90681029,1,0.02040760,0.02462283,0.20032506
BSD100,101087.png,x4,4,ID,3,0,224,96,high,mid,high,0,1,36.31561759,35.66200324,35.55616851,0.65361435,0.75944908,0.65361435,0.70653172,1,0.02202893,0.02877988,0.20882466
BSD100,101087.png,x4,4,ID,4,96,0,96,high,high,high,0,1,28.51094419,28.71617588,28.70745919,-0.20523169,-0.19651500,-0.20523169,-0.20087334,0,0.01929681,0.03991852,0.19224530
BSD100,101087.png,x4,4,ID,5,96,96,96,high,mid,high,0,1,28.45803606,28.39969608,28.37112886,0.05833998,0.08690720,0.05833998,0.07262359,1,0.01760546,0.03453366,0.19223107
