seed,model,dataset,scale,n,computed_mean_psnr_y,canonical_psnr,abs_diff
1,SC-INR,BSD100,x8,10,24.98726397,24.83320000,0.15406397
1,SC-INR,Set14,x12,10,23.66698681,23.19970000,0.46728681
1,SC-INR,Set14,x16,10,22.72798023,22.12320000,0.60478023
1,SC-INR,Set14,x2,10,32.42305701,33.68590000,1.26284299
1,SC-INR,Set14,x24,10,21.38084549,20.66910000,0.71174549
1,SC-INR,Set14,x3,10,29.48581943,30.41140000,0.92558057
1,SC-INR,Set14,x30,10,20.48422239,19.81010000,0.67412240
1,SC-INR,Set14,x4,10,27.98217438,28.69550000,0.71332562
1,SC-INR,Set14,x6,10,26.19086419,26.49840000,0.30753581
1,SC-INR,Set14,x8,10,25.07002049,24.95130000,0.11872049
1,SC-INR,Set5,x12,5,24.65486931,24.65490000,0.00003069
1,SC-INR,Set5,x16,5,23.08219144,23.08220000,0.00000856
1,SC-INR,Set5,x2,5,38.04527665,38.04530000,0.00002335
1,SC-INR,Set5,x24,5,21.41494407,21.41490000,0.00004407
1,SC-INR,Set5,x3,5,34.49807528,34.49810000,0.00002472
1,SC-INR,Set5,x30,5,20.61378233,20.61380000,0.00001767
1,SC-INR,Set5,x4,5,32.26090491,32.26090000,0.00000491
1,SC-INR,Set5,x6,5,28.97536642,28.97540000,0.00003358
1,SC-INR,Set5,x8,5,27.03895066,27.03890000,0.00005066
1,SC-INR,Urban100,x12,10,21.23607516,20.95540000,0.28067516
1,SC-INR,Urban100,x16,10,20.34013006,20.02380000,0.31633006
1,SC-INR,Urban100,x2,10,33.10482162,32.27840000,0.82642162
1,SC-INR,Urban100,x24,10,19.15824384,18.89030000,0.26794384
1,SC-INR,Urban100,x3,10,28.86182103,28.31540000,0.54642103
1,SC-INR,Urban100,x30,10,18.63196806,18.34680000,0.28516806
1,SC-INR,Urban100,x4,10,26.61089262,26.24240000,0.36849262
1,SC-INR,Urban100,x6,10,24.09985860,23.87090000,0.22895860
1,SC-INR,Urban100,x8,10,22.78714493,22.53680000,0.25034493
2,LIIF,BSD100,x12,10,23.72352556,23.48130000,0.24222556
2,LIIF,BSD100,x16,10,22.77336274,22.61160000,0.16176274
2,LIIF,BSD100,x2,10,32.11372419,32.16380000,0.05007581
2,LIIF,BSD100,x24,10,21.55126765,21.39340000,0.15786765
2,LIIF,BSD100,x3,10,29.09608740,29.11420000,0.01811260
2,LIIF,BSD100,x30,10,20.72227364,20.66790000,0.05437364
2,LIIF,BSD100,x4,10,27.66190246,27.60000000,0.06190246
2,LIIF,BSD100,x6,10,26.03985732,25.84390000,0.19595732
2,LIIF,BSD100,x8,10,24.96810878,24.79060000,0.17750878
2,LIIF,Set14,x12,10,23.61366105,23.14000000,0.47366105
2,LIIF,Set14,x16,10,22.71263455,22.08890000,0.62373455
2,LIIF,Set14,x2,10,32.39494546,33.61540000,1.22045454
2,LIIF,Set14,x24,10,21.40304694,20.67700000,0.72604694
2,LIIF,Set14,x3,10,29.46115203,30.37820000,0.91704797
2,LIIF,Set14,x30,10,20.49140471,19.81810000,0.67330471
2,LIIF,Set14,x4,10,27.92569052,28.61860000,0.69290948
2,LIIF,Set14,x6,10,26.15030077,26.46070000,0.31039923
2,LIIF,Set14,x8,10,25.04598371,24.94020000,0.10578371
2,LIIF,Set5,x12,5,24.54459721,24.54460000,0.00000279
2,LIIF,Set5,x16,5,23.00739141,23.00740000,0.00000859
2,LIIF,Set5,x2,5,37.95583214,37.95580000,0.00003214
2,LIIF,Set5,x24,5,21.45687895,21.45690000,0.00002105
2,LIIF,Set5,x3,5,34.39464642,34.39460000,0.00004642
2,LIIF,Set5,x30,5,20.57470783,20.57470000,0.00000783
2,LIIF,Set5,x4,5,32.18150581,32.18150000,0.00000581
2,LIIF,Set5,x6,5,28.85084796,28.85080000,0.00004796
2,LIIF,Set5,x8,5,26.94187443,26.94190000,0.00002557
2,LIIF,Urban100,x12,10,21.19799875,20.89860000,0.29939875
2,LIIF,Urban100,x16,10,20.31263554,19.96780000,0.34483554
2,LIIF,Urban100,x2,10,32.96084008,32.11620000,0.84464008
2,LIIF,Urban100,x24,10,19.12895405,18.84480000,0.28415405
2,LIIF,Urban100,x3,10,28.71618479,28.20550000,0.51068479
2,LIIF,Urban100,x30,10,18.59466972,18.27810000,0.31656972
2,LIIF,Urban100,x4,10,26.50738225,26.13500000,0.37238225
2,LIIF,Urban100,x6,10,24.03271693,23.77650000,0.25621693
2,LIIF,Urban100,x8,10,22.71598489,22.44310000,0.27288489
2,LTE,BSD100,x12,10,23.73891809,23.47250000,0.26641809
2,LTE,BSD100,x16,10,22.74505294,22.59280000,0.15225294
2,LTE,BSD100,x2,10,32.13888125,32.20410000,0.06521875
2,LTE,BSD100,x24,10,21.49967509,21.35180000,0.14787509
2,LTE,BSD100,x3,10,29.11258601,29.13520000,0.02261399
2,LTE,BSD100,x30,10,20.68639148,20.62990000,0.05649148
2,LTE,BSD100,x4,10,27.67789148,27.62200000,0.05589148
2,LTE,BSD100,x6,10,26.01346056,25.85400000,0.15946056
2,LTE,BSD100,x8,10,24.96730316,24.79790000,0.16940316
2,LTE,Set14,x12,10,23.62218921,23.14690000,0.47528921
2,LTE,Set14,x16,10,22.70964227,22.08340000,0.62624227
2,LTE,Set14,x2,10,32.42801221,33.67500000,1.24698779
2,LTE,Set14,x24,10,21.30598697,20.57810000,0.72788697
2,LTE,Set14,x3,10,29.43036190,30.36180000,0.93143810
