baseline,seed,dataset,image,split,n_scales,mean_delta,median_delta,win_rate
LTE,2,Urban100,img_004.png,OOD,6,-0.22854366,-0.00894835,0.50000000
LTE,2,Urban100,img_005.png,ID,3,-0.48437209,-0.42057463,0.00000000
LTE,2,Urban100,img_005.png,OOD,6,0.00323914,-0.03845246,0.33333333
LTE,2,Urban100,img_006.png,ID,3,-0.11786513,-0.11172349,0.00000000
LTE,2,Urban100,img_006.png,OOD,6,-0.00465105,-0.02186139,0.33333333
LTE,2,Urban100,img_007.png,ID,3,-0.11803838,-0.11690459,0.00000000
LTE,2,Urban100,img_007.png,OOD,6,-0.00470588,-0.03115984,0.33333333
LTE,2,Urban100,img_008.png,ID,3,-0.03916410,-0.01898693,0.33333333
LTE,2,Urban100,img_008.png,OOD,6,0.02123938,0.01762026,0.83333333
LTE,2,Urban100,img_009.png,ID,3,-0.10990767,-0.18507285,0.33333333
LTE,2,Urban100,img_009.png,OOD,6,-0.00101039,0.00058943,0.50000000
LTE,2,Urban100,img_010.png,ID,3,-0.55479339,-0.52651926,0.00000000
LTE,2,Urban100,img_010.png,OOD,6,-0.01136668,0.03357913,0.66666667
LTE,3,BSD100,101085.png,ID,3,-0.00550836,-0.00835293,0.33333333
LTE,3,BSD100,101085.png,OOD,6,0.07125932,0.02439834,0.66666667
LTE,3,BSD100,101087.png,ID,3,0.00634700,0.00924445,0.66666667
LTE,3,BSD100,101087.png,OOD,6,0.06070112,0.05209724,0.83333333
LTE,3,BSD100,102061.png,ID,3,-0.03267496,-0.04188830,0.00000000
LTE,3,BSD100,102061.png,OOD,6,-0.00478656,-0.00507332,0.50000000
LTE,3,BSD100,103070.png,ID,3,-0.01202175,-0.01879409,0.33333333
LTE,3,BSD100,103070.png,OOD,6,0.02601609,0.03290020,0.66666667
LTE,3,BSD100,105025.png,ID,3,-0.01171746,-0.01061346,0.33333333
LTE,3,BSD100,105025.png,OOD,6,0.04584287,0.04067789,0.83333333
LTE,3,BSD100,106024.png,ID,3,-0.03231989,-0.03566352,0.33333333
LTE,3,BSD100,106024.png,OOD,6,0.10793793,0.16357639,0.66666667
LTE,3,BSD100,108005.png,ID,3,-0.01941232,-0.02101437,0.00000000
LTE,3,BSD100,108005.png,OOD,6,0.01767765,0.01454186,0.50000000
LTE,3,BSD100,108070.png,ID,3,-0.00599946,-0.01285922,0.33333333
LTE,3,BSD100,108070.png,OOD,6,0.02799675,0.02700103,1.00000000
LTE,3,BSD100,108082.png,ID,3,0.01132177,0.01972504,0.66666667
LTE,3,BSD100,108082.png,OOD,6,0.06469311,0.04206724,1.00000000
LTE,3,BSD100,109053.png,ID,3,-0.00414216,-0.00533131,0.33333333
LTE,3,BSD100,109053.png,OOD,6,0.02105425,0.01918251,0.66666667
LTE,3,Set14,baboon.png,ID,3,0.00690803,0.00190871,0.66666667
LTE,3,Set14,baboon.png,OOD,6,0.01921884,0.01487475,1.00000000
LTE,3,Set14,barbara.png,ID,3,0.31303984,0.34588671,1.00000000
LTE,3,Set14,barbara.png,OOD,6,0.03206708,0.03090723,0.83333333
LTE,3,Set14,bridge.png,ID,3,-0.00570065,-0.00367495,0.33333333
LTE,3,Set14,bridge.png,OOD,6,-0.00001928,-0.00393272,0.50000000
LTE,3,Set14,coastguard.png,ID,3,-0.00659913,-0.00431146,0.33333333
LTE,3,Set14,coastguard.png,OOD,6,0.06889676,0.06094078,0.83333333
LTE,3,Set14,comic.png,ID,3,-0.01516750,0.00063565,0.66666667
LTE,3,Set14,comic.png,OOD,6,0.01354754,0.02035260,0.66666667
LTE,3,Set14,face.png,ID,3,0.02303838,0.02222979,0.66666667
LTE,3,Set14,face.png,OOD,6,0.03816645,0.01279029,0.50000000
LTE,3,Set14,flowers.png,ID,3,-0.00512117,-0.00589837,0.33333333
LTE,3,Set14,flowers.png,OOD,6,0.06111932,0.06631773,1.00000000
LTE,3,Set14,foreman.png,ID,3,0.00303000,0.04599392,0.66666667
LTE,3,Set14,foreman.png,OOD,6,0.13861606,0.17590039,0.83333333
LTE,3,Set14,lenna.png,ID,3,0.04765973,0.04811452,1.00000000
LTE,3,Set14,lenna.png,OOD,6,0.12177963,0.09240417,1.00000000
LTE,3,Set14,man.png,ID,3,-0.01023719,-0.00956560,0.33333333
LTE,3,Set14,man.png,OOD,6,0.03089111,0.01902798,0.83333333
LTE,3,Set5,baby.png,ID,3,0.00742294,0.00744778,0.66666667
LTE,3,Set5,baby.png,OOD,6,0.11244379,0.07723891,0.83333333
LTE,3,Set5,bird.png,ID,3,0.05306220,0.07535447,0.66666667
LTE,3,Set5,bird.png,OOD,6,0.11520749,0.12576722,0.83333333
LTE,3,Set5,butterfly.png,ID,3,-0.00926633,0.01244840,0.66666667
LTE,3,Set5,butterfly.png,OOD,6,0.07656160,0.07798316,0.83333333
LTE,3,Set5,head.png,ID,3,0.03439437,0.04042603,0.66666667
LTE,3,Set5,head.png,OOD,6,0.04869982,0.02452911,0.83333333
LTE,3,Set5,woman.png,ID,3,0.10597668,0.12710275,1.00000000
LTE,3,Set5,woman.png,OOD,6,0.14178246,0.09915511,0.66666667
LTE,3,Urban100,img_001.png,ID,3,-0.00792511,-0.02011428,0.33333333
LTE,3,Urban100,img_001.png,OOD,6,0.03846349,0.03733198,1.00000000
LTE,3,Urban100,img_002.png,ID,3,-0.05090890,-0.05855318,0.00000000
LTE,3,Urban100,img_002.png,OOD,6,0.03949323,0.04506740,0.83333333
LTE,3,Urban100,img_003.png,ID,3,-0.01035735,-0.01054862,0.00000000
LTE,3,Urban100,img_003.png,OOD,6,0.01920422,0.02350184,1.00000000
LTE,3,Urban100,img_004.png,ID,3,0.16995207,0.11873928,0.66666667
LTE,3,Urban100,img_004.png,OOD,6,0.06335805,0.05014881,0.83333333
LTE,3,Urban100,img_005.png,ID,3,0.07157214,0.09192924,0.66666667
LTE,3,Urban100,img_005.png,OOD,6,0.07176387,0.10432535,0.66666667
LTE,3,Urban100,img_006.png,ID,3,0.08692495,0.00906326,1.00000000
LTE,3,Urban100,img_006.png,OOD,6,0.04912701,0.03362916,1.00000000
LTE,3,Urban100,img_007.png,ID,3,-0.04050114,-0.05023290,0.00000000
LTE,3,Urban100,img_007.png,OOD,6,0.06883082,0.04736180,1.00000000
LTE,3,Urban100,img_008.png,ID,3,0.04500566,0.06148996,1.00000000
LTE,3,Urban100,img_008.png,OOD,6,0.05155103,0.04800613,1.00000000
LTE,3,Urban100,img_009.png,ID,3,-0.18108381,-0.17963204,0.00000000
LTE,3,Urban100,img_009.png,OOD,6,0.05057789,0.05284096,1.00000000
LTE,3,Urban100,img_010.png,ID,3,-0.30206450,-0.30637931,0.00000000
LTE,3,Urban100,img_010.png,OOD,6,0.08494919,0.10135611,0.83333333
