baseline,seed,dataset,image,split,n_scales,mean_delta,median_delta,win_rate
LIIF,1,Urban100,img_009.png,OOD,6,0.05510254,0.04826143,0.83333333
LIIF,1,Urban100,img_010.png,ID,3,0.29763418,0.23700397,1.00000000
LIIF,1,Urban100,img_010.png,OOD,6,0.03623395,0.02247989,1.00000000
LIIF,2,BSD100,101085.png,ID,3,0.00146320,-0.00011015,0.33333333
LIIF,2,BSD100,101085.png,OOD,6,-0.00073349,-0.00271708,0.50000000
LIIF,2,BSD100,101087.png,ID,3,-0.02240048,-0.02130351,0.00000000
LIIF,2,BSD100,101087.png,OOD,6,0.00742967,0.00449401,0.50000000
LIIF,2,BSD100,102061.png,ID,3,-0.05568277,-0.06189357,0.00000000
LIIF,2,BSD100,102061.png,OOD,6,-0.01810991,-0.01459492,0.33333333
LIIF,2,BSD100,103070.png,ID,3,0.00229992,0.03207208,0.66666667
LIIF,2,BSD100,103070.png,OOD,6,0.02764405,0.01826914,0.66666667
LIIF,2,BSD100,105025.png,ID,3,-0.00901558,-0.00894996,0.00000000
LIIF,2,BSD100,105025.png,OOD,6,-0.01541702,-0.01207833,0.33333333
LIIF,2,BSD100,106024.png,ID,3,0.00874784,0.01186679,0.66666667
LIIF,2,BSD100,106024.png,OOD,6,-0.06356824,-0.02249140,0.33333333
LIIF,2,BSD100,108005.png,ID,3,-0.01780053,-0.03575632,0.33333333
LIIF,2,BSD100,108005.png,OOD,6,-0.03290160,-0.01828651,0.16666667
LIIF,2,BSD100,108070.png,ID,3,-0.00211182,-0.00303346,0.33333333
LIIF,2,BSD100,108070.png,OOD,6,0.02504462,0.01035708,0.83333333
LIIF,2,BSD100,108082.png,ID,3,-0.01274793,-0.00478957,0.00000000
LIIF,2,BSD100,108082.png,OOD,6,0.03925642,0.03346509,0.66666667
LIIF,2,BSD100,109053.png,ID,3,0.01496514,-0.00711162,0.33333333
LIIF,2,BSD100,109053.png,OOD,6,0.00835970,0.01492090,0.66666667
LIIF,2,Set14,baboon.png,ID,3,-0.01118685,-0.01053230,0.00000000
LIIF,2,Set14,baboon.png,OOD,6,0.00358381,0.00014078,0.50000000
LIIF,2,Set14,barbara.png,ID,3,0.24114087,0.15632017,1.00000000
LIIF,2,Set14,barbara.png,OOD,6,0.00252381,-0.00331130,0.50000000
LIIF,2,Set14,bridge.png,ID,3,-0.00190373,-0.01215035,0.33333333
LIIF,2,Set14,bridge.png,OOD,6,0.03611452,0.02592551,0.83333333
LIIF,2,Set14,coastguard.png,ID,3,-0.05335538,-0.05210317,0.33333333
LIIF,2,Set14,coastguard.png,OOD,6,-0.00825465,-0.02161935,0.33333333
LIIF,2,Set14,comic.png,ID,3,-0.02900715,-0.01524669,0.00000000
LIIF,2,Set14,comic.png,OOD,6,0.04838696,0.04963859,0.83333333
LIIF,2,Set14,face.png,ID,3,0.00653342,0.00620918,0.66666667
LIIF,2,Set14,face.png,OOD,6,-0.06352987,-0.04206131,0.33333333
LIIF,2,Set14,flowers.png,ID,3,-0.04139027,-0.04011995,0.00000000
LIIF,2,Set14,flowers.png,OOD,6,0.03127996,0.02736540,0.66666667
LIIF,2,Set14,foreman.png,ID,3,-0.03930622,-0.03264434,0.00000000
LIIF,2,Set14,foreman.png,OOD,6,-0.03277174,-0.01421475,0.50000000
LIIF,2,Set14,lenna.png,ID,3,-0.04913302,-0.03162148,0.00000000
LIIF,2,Set14,lenna.png,OOD,6,-0.03970101,-0.06186693,0.16666667
LIIF,2,Set14,man.png,ID,3,0.00762078,0.00741893,0.66666667
LIIF,2,Set14,man.png,OOD,6,0.01083626,0.00909185,0.50000000
LIIF,2,Set5,baby.png,ID,3,-0.02345443,-0.01788108,0.33333333
LIIF,2,Set5,baby.png,OOD,6,-0.06314014,-0.06774118,0.16666667
LIIF,2,Set5,bird.png,ID,3,0.10150272,0.13844223,0.66666667
LIIF,2,Set5,bird.png,OOD,6,0.02637441,0.08213527,0.66666667
LIIF,2,Set5,butterfly.png,ID,3,-0.01921869,-0.03470731,0.33333333
LIIF,2,Set5,butterfly.png,OOD,6,0.04179592,0.08203699,0.83333333
LIIF,2,Set5,head.png,ID,3,0.00988357,0.00719355,1.00000000
LIIF,2,Set5,head.png,OOD,6,-0.03897729,0.03104108,0.66666667
LIIF,2,Set5,woman.png,ID,3,-0.05444064,-0.06765089,0.00000000
LIIF,2,Set5,woman.png,OOD,6,-0.03693446,0.00363494,0.50000000
