model,dataset,image,lr_scale,observation_scale,omega_param,omega_bound,use_sinc_response,omega_neg_frac,omega_near_bound_frac,response_neg_frac,active_response_neg_frac,omega_x_mean,omega_x_std,omega_x_min,omega_x_q01,omega_x_q05,omega_x_q50,omega_x_q95,omega_x_q99,omega_x_max,omega_y_mean,omega_y_std,omega_y_min,omega_y_q01,omega_y_q05,omega_y_q50,omega_y_q95,omega_y_q99,omega_y_max,omega_mag_mean,omega_mag_std,omega_mag_min,omega_mag_q01,omega_mag_q05,omega_mag_q50,omega_mag_q95,omega_mag_q99,omega_mag_max,response_mean,response_std,response_min,response_q01,response_q05,response_q50,response_q95,response_q99,response_max,active_response_mean,active_response_std,active_response_min,active_response_q01,active_response_q05,active_response_q50,active_response_q95,active_response_q99,active_response_max,analytic_attenuation_mean,analytic_attenuation_std,analytic_attenuation_min,analytic_attenuation_q01,analytic_attenuation_q05,analytic_attenuation_q50,analytic_attenuation_q95,analytic_attenuation_q99,analytic_attenuation_max,active_attenuation_mean,active_attenuation_std,active_attenuation_min,active_attenuation_q01,active_attenuation_q05,active_attenuation_q50,active_attenuation_q95,active_attenuation_q99,active_attenuation_max
SC-INR-NoPhi,bsd100,101085.png,x4,x4,softplus,,True,0.0,nan,0.0,0.0,0.26708078384399414,0.3300168812274933,0.0005947972531430423,0.005287731532007456,0.01256511639803648,0.116656094789505,1.079126238822937,1.4190542697906494,1.7858682870864868,0.27440062165260315,0.3534226417541504,0.0003938655718229711,0.002512146020308137,0.011294112540781498,0.13960780203342438,1.0802162885665894,1.8794537782669067,2.136126756668091,0.47619616985321045,0.3920252025127411,0.0072045293636620045,0.053005561232566833,0.0731058269739151,0.39077064394950867,1.2513659000396729,1.8860031366348267,2.1489715576171875,0.9625658392906189,0.05931561067700386,0.5892992615699768,0.6727161407470703,0.8466387391090393,0.9843799471855164,0.99945068359375,0.9997111558914185,0.999994695186615,0.9625658392906189,0.05931561067700386,0.5892992615699768,0.6727161407470703,0.8466387391090393,0.9843799471855164,0.99945068359375,0.9997111558914185,0.999994695186615,0.0374341681599617,0.05931561067700386,5.304813385009766e-06,0.00028884410858154297,0.0005493015050888062,0.015620052814483643,0.15336106717586517,0.3272838294506073,0.4107007384300232,0.0374341681599617,0.05931561067700386,5.304813385009766e-06,0.00028884410858154297,0.0005493015050888062,0.015620052814483643,0.15336106717586517,0.3272838294506073,0.4107007384300232
SC-INR-NoPhi,bsd100,101085.png,x4,x8,softplus,,True,0.0,nan,0.0,0.0,0.26708078384399414,0.3300168812274933,0.0005947972531430423,0.005287731532007456,0.01256511639803648,0.116656094789505,1.079126238822937,1.4190542697906494,1.7858682870864868,0.27440062165260315,0.3534226417541504,0.0003938655718229711,0.002512146020308137,0.011294112540781498,0.13960780203342438,1.0802162885665894,1.8794537782669067,2.136126756668091,0.47619616985321045,0.3920252025127411,0.0072045293636620045,0.053005561232566833,0.0731058269739151,0.39077064394950867,1.2513659000396729,1.8860031366348267,2.1489715576171875,0.990329384803772,0.015756988897919655,0.885524332523346,0.9110749959945679,0.9602376818656921,0.9960802793502808,0.9998626708984375,0.999927818775177,0.9999987483024597,0.990329384803772,0.015756988897919655,0.885524332523346,0.9110749959945679,0.9602376818656921,0.9960802793502808,0.9998626708984375,0.999927818775177,0.9999987483024597,0.009670615196228027,0.015756988897919655,1.2516975402832031e-06,7.218122482299805e-05,0.00013732611841987818,0.003919690847396851,0.03976224735379219,0.08892502635717392,0.11447566747665405,0.009670615196228027,0.015756988897919655,1.2516975402832031e-06,7.218122482299805e-05,0.00013732611841987818,0.003919690847396851,0.03976224735379219,0.08892502635717392,0.11447566747665405
SC-INR-NoPhi,bsd100,101085.png,x4,x16,softplus,,True,0.0,nan,0.0,0.0,0.26708078384399414,0.3300168812274933,0.0005947972531430423,0.005287731532007456,0.01256511639803648,0.116656094789505,1.079126238822937,1.4190542697906494,1.7858682870864868,0.27440062165260315,0.3534226417541504,0.0003938655718229711,0.002512146020308137,0.011294112540781498,0.13960780203342438,1.0802162885665894,1.8794537782669067,2.136126756668091,0.47619616985321045,0.3920252025127411,0.0072045293636620045,0.053005561232566833,0.0731058269739151,0.39077064394950867,1.2513659000396729,1.8860031366348267,2.1489715576171875,0.9975621700286865,0.004000299144536257,0.9705935120582581,0.9773020148277283,0.9899685382843018,0.9990191459655762,0.9999656677246094,0.9999819397926331,0.9999996423721313,0.9975621700286865,0.004000299144536257,0.9705935120582581,0.9773020148277283,0.9899685382843018,0.9990191459655762,0.9999656677246094,0.9999819397926331,0.9999996423721313,0.0024377964437007904,0.004000299144536257,3.5762786865234375e-07,1.8071532394969836e-05,3.4332275390625e-05,0.0009808540344238281,0.010031422600150108,0.02269800752401352,0.029406487941741943,0.0024377964437007904,0.004000299144536257,3.5762786865234375e-07,1.8071532394969836e-05,3.4332275390625e-05,0.0009808540344238281,0.010031422600150108,0.02269800752401352,0.029406487941741943
SC-INR-NoPhi,bsd100,101085.png,x4,x30,softplus,,True,0.0,nan,0.0,0.0,0.26708078384399414,0.3300168812274933,0.0005947972531430423,0.005287731532007456,0.01256511639803648,0.116656094789505,1.079126238822937,1.4190542697906494,1.7858682870864868,0.27440062165260315,0.3534226417541504,0.0003938655718229711,0.002512146020308137,0.011294112540781498,0.13960780203342438,1.0802162885665894,1.8794537782669067,2.136126756668091,0.47619616985321045,0.3920252025127411,0.0072045293636620045,0.053005561232566833,0.0731058269739151,0.39077064394950867,1.2513659000396729,1.8860031366348267,2.1489715576171875,0.999305248260498,0.001142058870755136,0.9915811419487,0.9935116171836853,0.9971404075622559,0.9997209310531616,0.9999902248382568,0.9999948740005493,0.9999999403953552,0.999305248260498,0.001142058870755136,0.9915811419487,0.9935116171836853,0.9971404075622559,0.9997209310531616,0.9999902248382568,0.9999948740005493,0.9999999403953552,0.0006947952788323164,0.001142058870755136,5.960464477539063e-08,5.125999450683594e-06,9.775161743164062e-06,0.0002790987491607666,0.0028596101328730583,0.006488395389169455,0.008418858051300049,0.0006947952788323164,0.001142058870755136,5.960464477539063e-08,5.125999450683594e-06,9.775161743164062e-06,0.0002790987491607666,0.0028596101328730583,0.006488395389169455,0.008418858051300049
SC-INR-NoPhi,bsd100,101087.png,x4,x4,softplus,,True,0.0,nan,0.0,0.0,0.26802170276641846,0.32146725058555603,5.461544787976891e-05,0.005109512247145176,0.016114937141537666,0.12228836119174957,1.0694631338119507,1.35680091381073,1.7716708183288574,0.2799735963344574,0.3546063005924225,0.00032965984428301454,0.0017433944158256054,0.01363795530050993,0.15651729702949524,1.1054110527038574,1.8821380138397217,2.203594446182251,0.47621849179267883,0.3905427157878876,0.007597137242555618,0.04740283265709877,0.07375752180814743,0.3913031816482544,1.265091061592102,1.8906455039978027,2.218003988265991,0.9626832604408264,0.05921291187405586,0.5692341327667236,0.6714730858802795,0.8434762954711914,0.9843326807022095,0.9994407892227173,0.9997690320014954,0.9999939799308777,0.9626832604408264,0.05921291187405586,0.5692341327667236,0.6714730858802795,0.8434762954711914,0.9843326807022095,0.9994407892227173,0.9997690320014954,0.9999939799308777,0.03731678053736687,0.05921291187405586,6.020069122314453e-06,0.00023097635130397975,0.0005592078086920083,0.01566728949546814,0.15652363002300262,0.32852694392204285,0.43076586723327637,0.03731678053736687,0.05921291187405586,6.020069122314453e-06,0.00023097635130397975,0.0005592078086920083,0.01566728949546814,0.15652363002300262,0.32852694392204285,0.43076586723327637
SC-INR-NoPhi,bsd100,101087.png,x4,x8,softplus,,True,0.0,nan,0.0,0.0,0.26802170276641846,0.32146725058555603,5.461544787976891e-05,0.005109512247145176,0.016114937141537666,0.12228836119174957,1.0694631338119507,1.35680091381073,1.7716708183288574,0.2799735963344574,0.3546063005924225,0.00032965984428301454,0.0017433944158256054,0.01363795530050993,0.15651729702949524,1.1054110527038574,1.8821380138397217,2.203594446182251,0.47621849179267883,0.3905427157878876,0.007597137242555618,0.04740283265709877,0.07375752180814743,0.3913031816482544,1.265091061592102,1.8906455039978027,2.218003988265991,0.9903587102890015,0.015737425535917282,0.878610372543335,0.9106622934341431,0.959371030330658,0.9960691928863525,0.9998601675033569,0.9999423027038574,0.9999985694885254,0.9903587102890015,0.015737425535917282,0.878610372543335,0.9106622934341431,0.959371030330658,0.9960691928863525,0.9998601675033569,0.9999423027038574,0.9999985694885254,0.00964128877967596,0.015737425535917282,1.430511474609375e-06,5.771994619863108e-05,0.0001398324966430664,0.003930836915969849,0.040628932416439056,0.08933775126934052,0.12138962745666504,0.00964128877967596,0.015737425535917282,1.430511474609375e-06,5.771994619863108e-05,0.0001398324966430664,0.003930836915969849,0.040628932416439056,0.08933775126934052,0.12138962745666504
SC-INR-NoPhi,bsd100,101087.png,x4,x16,softplus,,True,0.0,nan,0.0,0.0,0.26802170276641846,0.32146725058555603,5.461544787976891e-05,0.005109512247145176,0.016114937141537666,0.12228836119174957,1.0694631338119507,1.35680091381073,1.7716708183288574,0.2799735963344574,0.3546063005924225,0.00032965984428301454,0.0017433944158256054,0.01363795530050993,0.15651729702949524,1.1054110527038574,1.8821380138397217,2.203594446182251,0.47621849179267883,0.3905427157878876,0.007597137242555618,0.04740283265709877,0.07375752180814743,0.3913031816482544,1.265091061592102,1.8906455039978027,2.218003988265991,0.9975695610046387,0.003995883744210005,0.9687101244926453,0.9771918058395386,0.9897480607032776,0.9990163445472717,0.9999650120735168,0.9999855756759644,0.9999997019767761,0.9975695610046387,0.003995883744210005,0.9687101244926453,0.9771918058395386,0.9897480607032776,0.9990163445472717,0.9999650120735168,0.9999855756759644,0.9999997019767761,0.002430474851280451,0.003995883744210005,2.980232238769531e-07,1.4424324035644531e-05,3.498494697851129e-05,0.0009836554527282715,0.010251954197883606,0.02280818670988083,0.031289875507354736,0.002430474851280451,0.003995883744210005,2.980232238769531e-07,1.4424324035644531e-05,3.498494697851129e-05,0.0009836554527282715,0.010251954197883606,0.02280818670988083,0.031289875507354736
SC-INR-NoPhi,bsd100,101087.png,x4,x30,softplus,,True,0.0,nan,0.0,0.0,0.26802170276641846,0.32146725058555603,5.461544787976891e-05,0.005109512247145176,0.016114937141537666,0.12228836119174957,1.0694631338119507,1.35680091381073,1.7716708183288574,0.2799735963344574,0.3546063005924225,0.00032965984428301454,0.0017433944158256054,0.01363795530050993,0.15651729702949524,1.1054110527038574,1.8821380138397217,2.203594446182251,0.47621849179267883,0.3905427157878876,0.007597137242555618,0.04740283265709877,0.07375752180814743,0.3913031816482544,1.265091061592102,1.8906455039978027,2.218003988265991,0.9993072152137756,0.0011408368591219187,0.9910345673561096,0.9934797883033752,0.9970774054527283,0.9997200965881348,0.9999899864196777,0.9999958872795105,0.9999998807907104,0.9993072152137756,0.0011408368591219187,0.9910345673561096,0.9934797883033752,0.9970774054527283,0.9997200965881348,0.9999899864196777,0.9999958872795105,0.9999998807907104,0.0006927130161784589,0.0011408368591219187,1.1920928955078125e-07,4.112720489501953e-06,1.0013580322265625e-05,0.0002799034118652344,0.0029225756879895926,0.006520200986415148,0.00896543264389038,0.0006927130161784589,0.0011408368591219187,1.1920928955078125e-07,4.112720489501953e-06,1.0013580322265625e-05,0.0002799034118652344,0.0029225756879895926,0.006520200986415148,0.00896543264389038
SC-INR-NoPhi,bsd100,102061.png,x4,x4,softplus,,True,0.0,nan,0.0,0.0,0.2697411775588989,0.32655975222587585,0.00032505678245797753,0.0047211237251758575,0.014264291152358055,0.11897140741348267,1.073210597038269,1.3753972053527832,1.959555745124817,0.27618253231048584,0.3550747036933899,7.973342144396156e-05,0.002436661394312978,0.01254591066390276,0.14673838019371033,1.1005589962005615,1.8833509683609009,2.10288143157959,0.47841876745224,0.3909883499145508,0.011550705879926682,0.05058976635336876,0.08073776960372925,0.39301973581314087,1.2573726177215576,1.8909786939620972,2.11022686958313,0.9624351859092712,0.05929166078567505,0.6015799045562744,0.6710751056671143,0.8454129099845886,0.9842014908790588,0.9993299841880798,0.9997368454933167,0.9999862909317017,0.9624351859092712,0.05929166078567505,0.6015799045562744,0.6710751056671143,0.8454129099845886,0.9842014908790588,0.9993299841880798,0.9997368454933167,0.9999862909317017,0.037564776837825775,0.05929166078567505,1.3709068298339844e-05,0.0002631288662087172,0.0006700038793496788,0.015798509120941162,0.15458688139915466,0.3289250433444977,0.3984200954437256,0.037564776837825775,0.05929166078567505,1.3709068298339844e-05,0.0002631288662087172,0.0006700038793496788,0.015798509120941162,0.15458688139915466,0.3289250433444977,0.3984200954437256
SC-INR-NoPhi,bsd100,102061.png,x4,x8,softplus,,True,0.0,nan,0.0,0.0,0.2697411775588989,0.32655975222587585,0.00032505678245797753,0.0047211237251758575,0.014264291152358055,0.11897140741348267,1.073210597038269,1.3753972053527832,1.959555745124817,0.27618253231048584,0.3550747036933899,7.973342144396156e-05,0.002436661394312978,0.01254591066390276,0.14673838019371033,1.1005589962005615,1.8833509683609009,2.10288143157959,0.47841876745224,0.3909883499145508,0.011550705879926682,0.05058976635336876,0.08073776960372925,0.39301973581314087,1.2573726177215576,1.8909786939620972,2.11022686958313,0.990295946598053,0.01575145125389099,0.8894477486610413,0.9106109142303467,0.9598592519760132,0.9960352182388306,0.9998324513435364,0.9999343156814575,0.9999966025352478,0.990295946598053,0.01575145125389099,0.8894477486610413,0.9106109142303467,0.9598592519760132,0.9960352182388306,0.9998324513435364,0.9999343156814575,0.9999966025352478,0.009704016149044037,0.01575145125389099,3.3974647521972656e-06,6.570696859853342e-05,0.00016754567332100123,0.003964751958847046,0.040140703320503235,0.0893891379237175,0.11055225133895874,0.009704016149044037,0.01575145125389099,3.3974647521972656e-06,6.570696859853342e-05,0.00016754567332100123,0.003964751958847046,0.040140703320503235,0.0893891379237175,0.11055225133895874
