seed: 2
deterministic: False
CUDA_VISIBLE_DEVICES: 1
train dataset: size=16000
  inp: shape=(3, 48, 48)
  coord: shape=(2304, 2)
  cell: shape=(2304, 2)
  scale: shape=(2,)
  gt: shape=(2304, 3)
val dataset: size=1600
  inp: shape=(3, 48, 48)
  coord: shape=(2304, 2)
  cell: shape=(2304, 2)
  scale: shape=(2,)
  gt: shape=(2304, 3)
model: #params=1.7M
epoch 65/1000, train: loss=0.0320, val: psnr=29.8738, 41.2s 43.8m/11.2h
epoch 66/1000, train: loss=0.0321, val: psnr=29.9834, 41.6s 44.5m/11.2h
epoch 67/1000, train: loss=0.0322, val: psnr=30.0105, 40.8s 45.2m/11.2h
epoch 68/1000, train: loss=0.0322, val: psnr=29.7910, 40.9s 45.8m/11.2h
epoch 69/1000, train: loss=0.0325, val: psnr=30.0352, 40.8s 46.5m/11.2h
epoch 70/1000, train: loss=0.0321, val: psnr=30.0389, 40.6s 47.2m/11.2h
epoch 71/1000, train: loss=0.0322, val: psnr=29.8330, 40.8s 47.9m/11.2h
epoch 72/1000, train: loss=0.0319, val: psnr=29.5236, 40.1s 48.5m/11.2h
epoch 73/1000, train: loss=0.0321, val: psnr=29.6733, 40.9s 49.2m/11.2h
epoch 74/1000, train: loss=0.0318, val: psnr=30.2751, 40.8s 49.9m/11.2h
epoch 75/1000, train: loss=0.0318, val: psnr=29.9113, 41.0s 50.6m/11.2h
epoch 76/1000, train: loss=0.0323, val: psnr=29.6061, 40.1s 51.3m/11.2h
epoch 77/1000, train: loss=0.0320, val: psnr=29.6608, 40.1s 51.9m/11.2h
epoch 78/1000, train: loss=0.0318, val: psnr=29.8711, 40.7s 52.6m/11.2h
epoch 79/1000, train: loss=0.0317, val: psnr=29.9967, 40.1s 53.3m/11.2h
epoch 80/1000, train: loss=0.0320, val: psnr=30.0352, 41.0s 54.0m/11.2h
epoch 81/1000, train: loss=0.0320, val: psnr=29.7791, 39.7s 54.6m/11.2h
epoch 82/1000, train: loss=0.0317, val: psnr=29.8237, 39.5s 55.3m/11.2h
epoch 83/1000, train: loss=0.0316, val: psnr=30.1224, 40.2s 55.9m/11.2h
epoch 84/1000, train: loss=0.0320, val: psnr=29.8288, 39.9s 56.6m/11.2h
epoch 85/1000, train: loss=0.0320, val: psnr=30.0122, 40.9s 57.3m/11.2h
epoch 86/1000, train: loss=0.0319, val: psnr=29.6084, 39.6s 58.0m/11.2h
epoch 87/1000, train: loss=0.0319, val: psnr=29.9232, 40.1s 58.6m/11.2h
epoch 88/1000, train: loss=0.0318, val: psnr=29.8045, 40.9s 59.3m/11.2h
epoch 89/1000, train: loss=0.0319, val: psnr=29.4925, 41.0s 60.0m/11.2h
epoch 90/1000, train: loss=0.0319, val: psnr=30.0096, 40.8s 1.0h/11.2h
epoch 91/1000, train: loss=0.0318, val: psnr=29.6774, 40.8s 1.0h/11.2h
epoch 92/1000, train: loss=0.0319, val: psnr=29.6848, 41.0s 1.0h/11.2h
epoch 93/1000, train: loss=0.0319, val: psnr=29.7143, 40.2s 1.0h/11.2h
epoch 94/1000, train: loss=0.0322, val: psnr=29.8644, 40.3s 1.1h/11.2h
epoch 95/1000, train: loss=0.0316, val: psnr=29.9422, 40.9s 1.1h/11.2h
epoch 96/1000, train: loss=0.0319, val: psnr=29.7814, 40.8s 1.1h/11.2h
epoch 97/1000, train: loss=0.0320, val: psnr=29.5773, 39.8s 1.1h/11.2h
epoch 98/1000, train: loss=0.0318, val: psnr=29.8338, 40.3s 1.1h/11.2h
epoch 99/1000, train: loss=0.0318, val: psnr=30.0488, 39.9s 1.1h/11.2h
epoch 100/1000, train: loss=0.0315, val: psnr=30.0269, 40.3s 1.1h/11.2h
epoch 101/1000, train: loss=0.0322, val: psnr=29.6878, 40.4s 1.1h/11.2h
