model,dataset,image,scale,psnr_y,ssim_y,rmse_y,edge_rmse,texture_rmse,flat_rmse,highpass_rmse,fft_low_power,fft_mid_power,fft_high_power
LTE,bsd100,108070.png,x8,21.245044567564413,0.4486682439950064,0.086645851016339,0.14069730043411255,0.15814688801765442,0.022466139867901802,0.21162964403629303,2.481386917877127e-07,8.535897027447207e-08,1.4378849719500393e-08
LTE-EQ,bsd100,108070.png,x8,21.2623086641244,0.4471814489080838,0.08647380453690491,0.14016954600811005,0.15787561237812042,0.022465841844677925,0.21165171265602112,2.4525686463720125e-07,8.533598476113915e-08,1.4378829066519601e-08
LTE-NoCell,bsd100,108070.png,x8,21.28565941617527,0.4513069906090878,0.08624164448396177,0.1390858143568039,0.15758413076400757,0.022568732500076294,0.21165397763252258,2.4088826367623826e-07,8.541465149627658e-08,1.4379045018318643e-08
LTE-FeaturePhase,bsd100,108070.png,x8,21.27982983771165,0.4502169982693769,0.08629954542496707,0.13933145999908447,0.1577233225107193,0.022565379738807678,0.2116505652666092,2.419720659331547e-07,8.539963347812552e-08,1.4377183156040787e-08
SC-INR-Fixed,bsd100,108070.png,x8,21.260712226933485,0.4499375662867325,0.0864896995909172,0.14036229252815247,0.15801702439785004,0.022540822625160217,0.211651012301445,2.4533493585536536e-07,8.538107022092565e-08,1.4378507130298285e-08
SC-INR-Adaptive,bsd100,108070.png,x8,21.2863609928985,0.4511795550457682,0.08623467885472062,0.13955575227737427,0.15750037133693695,0.022468041628599167,0.21163757145404816,2.410441970228792e-07,8.535128093535422e-08,1.4379638971228668e-08
Bicubic,bsd100,108070.png,x16,19.930557337497618,0.2863427007665869,0.10080269263838496,0.15561771392822266,0.1800549477338791,0.032447099685668945,0.21610112488269806,5.41603686034543e-07,9.661181405540976e-08,1.6419656807416525e-08
LIIF,bsd100,108070.png,x16,20.1119076708048,0.30860424196699204,0.09871987947299071,0.15495119988918304,0.17862136662006378,0.02936553955078125,0.2160889059305191,4.962787183443314e-07,9.657095277671759e-08,1.6415600878483335e-08
LIIF-EQ,bsd100,108070.png,x16,20.1285017718525,0.3097157325867827,0.09853145849512547,0.15469317138195038,0.17837148904800415,0.02927858754992485,0.21606983244419098,4.922062435954901e-07,9.65790300816349e-08,1.6411412512853766e-08
LTE,bsd100,108070.png,x16,20.122493762360296,0.3078098887768827,0.0985996360502964,0.15562883019447327,0.1788194477558136,0.029109593480825424,0.2160830944776535,4.935662435979145e-07,9.659556264871649e-08,1.6415941897678083e-08
LTE-EQ,bsd100,108070.png,x16,20.13484811593498,0.30757524237936695,0.09845949279244655,0.15460442006587982,0.1779804825782776,0.02940383553504944,0.2160852700471878,4.906142072313195e-07,9.658186238855455e-08,1.6414389915347096e-08
