model,dataset,image,scale,psnr_y,ssim_y,rmse_y,edge_rmse,texture_rmse,flat_rmse,highpass_rmse,fft_low_power,fft_mid_power,fft_high_power
Bicubic,bsd100,101085.png,x4,23.14095907867879,0.6260880482852127,0.0696549598241498,0.10918517410755157,0.11682140082120895,0.02798020839691162,0.19998350739479065,6.58643579319272e-08,6.379931307105641e-08,1.3412096074939207e-08
LIIF,bsd100,101085.png,x4,24.056042456220702,0.6919398238755303,0.0626899433213683,0.09645876288414001,0.09990240633487701,0.02658732607960701,0.19502189755439758,2.5599365085554345e-08,5.367075939335049e-08,1.3036380149155794e-08
LIIF-EQ,bsd100,101085.png,x4,24.08501880843926,0.694202152138406,0.062481156503696705,0.09590455144643784,0.09929953515529633,0.02659807913005352,0.1947709172964096,2.550753767060232e-08,5.320535047519597e-08,1.2996072540045833e-08
LTE,bsd100,101085.png,x4,24.069531148994567,0.6934725842681208,0.0625926649570455,0.09612021595239639,0.09945935010910034,0.02658645622432232,0.19465698301792145,2.6372355852066815e-08,5.3345070337230056e-08,1.2979281057614359e-08
LTE-EQ,bsd100,101085.png,x4,24.080820896042304,0.693073054747257,0.06251136110281305,0.09594413638114929,0.09940209239721298,0.026576045900583267,0.194606214761734,2.5718660570349934e-08,5.328673066573094e-08,1.297193307538548e-08
LTE-NoCell,bsd100,101085.png,x4,23.969987494322925,0.6883543607946082,0.06331412732875151,0.09784689545631409,0.1015123501420021,0.026634864509105682,0.19660036265850067,2.6160947293459857e-08,5.4758049253597296e-08,1.3284868640764785e-08
LTE-FeaturePhase,bsd100,101085.png,x4,24.00365570189293,0.6895644255648302,0.06306918441427975,0.09729109704494476,0.10095406323671341,0.026597049087285995,0.19601476192474365,2.5781764039523517e-08,5.4335573213588004e-08,1.320243947023842e-08
SC-INR-Fixed,bsd100,101085.png,x4,24.008547902069832,0.6917705390009551,0.06303367162146269,0.09694326668977737,0.10060632228851318,0.02658332698047161,0.19521719217300415,2.688615566250044e-08,5.4362154643397416e-08,1.301250531951699e-08
SC-INR-Adaptive,bsd100,101085.png,x4,24.028392372711483,0.6920801014874389,0.06288982429350082,0.09675254672765732,0.10049768537282944,0.026560166850686073,0.19519665837287903,2.617370127698426e-08,5.40700780816268e-08,1.3043565689879425e-08
Bicubic,bsd100,101085.png,x8,21.47672037303222,0.4423888763765017,0.08436532450760677,0.1252794712781906,0.14217878878116608,0.03507884591817856,0.19826318323612213,3.021271313806222e-07,6.580944829915418e-08,1.3660233988936236e-08
LIIF,bsd100,101085.png,x8,22.430367084827992,0.5194770985149822,0.07559301123922392,0.11551573872566223,0.12297898530960083,0.031213905662298203,0.1970546841621399,1.77477422090071e-07,6.225178238299592e-08,1.3644257654562948e-08
LIIF-EQ,bsd100,101085.png,x8,22.456706462508965,0.5221413047956095,0.07536412771575404,0.11495230346918106,0.12219160050153732,0.03107522241771221,0.1967330425977707,1.7565250534177017e-07,6.194890204036342e-08,1.3610692585229008e-08
LTE,bsd100,101085.png,x8,22.414501356205854,0.5200717191637586,0.07573121633744567,0.11578357219696045,0.1231476292014122,0.0311663206666708,0.19682131707668304,1.8044892791960406e-07,6.210452949722926e-08,1.361869090976063e-08
