model,crop_psnr_y,crop_rmse_y
Bicubic,11.2804,0.251725
LIIF,15.8495,0.144797
LTE,14.1547,0.172077
SC-INR,14.7038,0.161515
SC-INR+PhiZ,16.2731,0.139331
