y,x,size,target_model,baseline_model,target_psnr_y,baseline_psnr_y,sc_inr_psnr_y,delta_target_vs_baseline,delta_target_vs_sc_inr,texture_var_y
48,432,96,SC-INR+PhiZ,LTE,24.508814,24.875383,24.739920,-0.366569,-0.231105,0.029982
144,144,96,SC-INR+PhiZ,LTE,20.881912,21.248595,20.509687,-0.366683,0.372225,0.046888
288,192,96,SC-INR+PhiZ,LTE,24.475024,24.923610,24.891564,-0.448586,-0.416539,0.024926
96,240,96,SC-INR+PhiZ,LTE,19.356517,19.828975,19.071338,-0.472458,0.285179,0.071681
96,384,96,SC-INR+PhiZ,LTE,14.062816,14.540644,14.605441,-0.477828,-0.542625,0.068946
96,336,96,SC-INR+PhiZ,LTE,12.645757,13.126640,13.340488,-0.480883,-0.694731,0.067705
96,288,96,SC-INR+PhiZ,LTE,16.924258,17.453639,16.941660,-0.529380,-0.017402,0.067005
0,288,96,SC-INR+PhiZ,LTE,17.804506,18.416530,19.473085,-0.612023,-1.668578,0.023843
0,336,96,SC-INR+PhiZ,LTE,18.819362,19.449413,19.904898,-0.630051,-1.085536,0.019879
48,384,96,SC-INR+PhiZ,LTE,16.614634,17.343467,17.121471,-0.728833,-0.506837,0.053389
96,144,96,SC-INR+PhiZ,LTE,24.123290,24.975741,24.711670,-0.852450,-0.588380,0.060263
48,288,96,SC-INR+PhiZ,LTE,14.270500,15.458174,16.053145,-1.187674,-1.782645,0.076511
48,336,96,SC-INR+PhiZ,LTE,12.851136,14.337668,14.337952,-1.486531,-1.486816,0.069519
