y,x,size,target_model,baseline_model,target_psnr_y,baseline_psnr_y,sc_inr_psnr_y,delta_target_vs_baseline,delta_target_vs_sc_inr,texture_var_y
0,144,96,SC-INR+PhiZ,LTE,28.061635,25.632584,26.652237,2.429051,1.409398,0.026746
0,192,96,SC-INR+PhiZ,LTE,23.976324,22.001776,23.514700,1.974548,0.461624,0.031694
96,144,96,SC-INR+PhiZ,LTE,28.065076,26.092833,27.948728,1.972244,0.116348,0.037379
528,384,96,SC-INR+PhiZ,LTE,23.142865,21.207907,21.628537,1.934958,1.514328,0.055926
576,384,96,SC-INR+PhiZ,LTE,18.637715,16.791778,17.264325,1.845937,1.373390,0.099403
192,192,96,SC-INR+PhiZ,LTE,25.300955,23.706940,24.814529,1.594016,0.486427,0.039355
48,144,96,SC-INR+PhiZ,LTE,29.334663,27.756507,29.964946,1.578156,-0.630283,0.029751
144,192,96,SC-INR+PhiZ,LTE,27.273232,25.747309,27.508292,1.525923,-0.235059,0.036089
576,336,96,SC-INR+PhiZ,LTE,18.306969,16.792609,16.735793,1.514360,1.571177,0.094731
0,96,96,SC-INR+PhiZ,LTE,28.932019,27.547302,28.222433,1.384716,0.709586,0.034964
192,928,96,SC-INR+PhiZ,LTE,15.094325,13.744464,13.456721,1.349862,1.637604,0.042855
192,912,96,SC-INR+PhiZ,LTE,14.906068,13.606299,13.343245,1.299770,1.562823,0.044676
336,0,96,SC-INR+PhiZ,LTE,24.027777,22.732267,23.842539,1.295510,0.185238,0.010040
528,336,96,SC-INR+PhiZ,LTE,20.603549,19.381466,19.429802,1.222083,1.173747,0.059293
528,480,96,SC-INR+PhiZ,LTE,23.095526,21.905698,21.993439,1.189829,1.102088,0.069423
240,192,96,SC-INR+PhiZ,LTE,22.534468,21.364556,22.232719,1.169912,0.301749,0.033355
528,192,96,SC-INR+PhiZ,LTE,19.229312,18.096664,18.975262,1.132647,0.254049,0.060017
0,240,96,SC-INR+PhiZ,LTE,24.824272,23.710270,25.458791,1.114002,-0.634519,0.024882
528,432,96,SC-INR+PhiZ,LTE,24.121562,23.012544,22.803556,1.109018,1.318006,0.062675
576,0,96,SC-INR+PhiZ,LTE,21.116189,20.100471,21.049782,1.015718,0.066407,0.075592
576,192,96,SC-INR+PhiZ,LTE,22.340535,21.360825,22.309183,0.979710,0.031352,0.034595
96,912,96,SC-INR+PhiZ,LTE,15.867230,14.903613,13.910167,0.963617,1.957063,0.039787
0,384,96,SC-INR+PhiZ,LTE,26.893913,25.946487,26.333862,0.947426,0.560050,0.034583
240,912,96,SC-INR+PhiZ,LTE,15.571132,14.627703,14.464103,0.943429,1.107028,0.039743
48,192,96,SC-INR+PhiZ,LTE,26.369796,25.429754,25.737479,0.940041,0.632317,0.025489
192,864,96,SC-INR+PhiZ,LTE,14.208028,13.276880,13.086214,0.931148,1.121814,0.048519
96,928,96,SC-INR+PhiZ,LTE,15.958702,15.028992,14.114325,0.929710,1.844378,0.038650
432,336,96,SC-INR+PhiZ,LTE,18.655055,17.728520,17.877408,0.926534,0.777647,0.035219
576,288,96,SC-INR+PhiZ,LTE,17.248950,16.378889,15.766768,0.870061,1.482183,0.086194
144,928,96,SC-INR+PhiZ,LTE,15.677243,14.809362,13.648805,0.867881,2.028438,0.040988
192,144,96,SC-INR+PhiZ,LTE,24.952479,24.087274,24.460380,0.865205,0.492099,0.029174
240,928,96,SC-INR+PhiZ,LTE,15.329018,14.475852,14.256979,0.853167,1.072039,0.038294
48,96,96,SC-INR+PhiZ,LTE,28.643876,27.796678,28.662203,0.847198,-0.018327,0.040165
288,0,96,SC-INR+PhiZ,LTE,23.627063,22.792027,23.882749,0.835036,-0.255686,0.010272
48,288,96,SC-INR+PhiZ,LTE,19.779038,18.974002,18.949631,0.805035,0.829407,0.030612
96,864,96,SC-INR+PhiZ,LTE,15.614352,14.832489,14.273000,0.781864,1.341352,0.041459
240,0,96,SC-INR+PhiZ,LTE,22.903306,22.132317,22.996842,0.770989,-0.093536,0.009570
432,288,96,SC-INR+PhiZ,LTE,17.221498,16.475782,16.377331,0.745717,0.844167,0.034891
576,432,96,SC-INR+PhiZ,LTE,17.325753,16.584727,16.473529,0.741025,0.852223,0.071937
96,240,96,SC-INR+PhiZ,LTE,21.258598,20.582075,21.263904,0.676522,-0.005307,0.027724
144,912,96,SC-INR+PhiZ,LTE,15.679916,15.020224,13.730918,0.659691,1.948998,0.042398
144,144,96,SC-INR+PhiZ,LTE,26.750770,26.096580,26.709196,0.654190,0.041574,0.041664
336,192,96,SC-INR+PhiZ,LTE,21.962351,21.313522,21.726830,0.648829,0.235521,0.028323
528,0,96,SC-INR+PhiZ,LTE,20.449478,19.823437,20.167344,0.626041,0.282134,0.089919
576,48,96,SC-INR+PhiZ,LTE,19.889312,19.280480,19.799521,0.608832,0.089791,0.086920
384,0,96,SC-INR+PhiZ,LTE,22.978647,22.371115,22.762928,0.607532,0.215719,0.010906
432,192,96,SC-INR+PhiZ,LTE,21.215142,20.612572,21.748941,0.602569,-0.533799,0.064454
240,864,96,SC-INR+PhiZ,LTE,14.530348,13.939884,14.049265,0.590464,0.481083,0.043717
480,192,96,SC-INR+PhiZ,LTE,19.242617,18.654102,19.281733,0.588515,-0.039116,0.075381
144,576,96,SC-INR+PhiZ,LTE,23.393804,22.836582,22.839497,0.557222,0.554307,0.028327
48,384,96,SC-INR+PhiZ,LTE,24.462903,23.907066,24.298405,0.555837,0.164498,0.027157
