model,crop_psnr_y,crop_rmse_y
Bicubic,24.6671,0.097056
LIIF,27.5249,0.077744
LTE,27.6384,0.076636
SC-INR,28.2289,0.077745
SC-INR+PhiZ,28.7003,0.077473
