y,x,size,target_model,baseline_model,target_psnr_y,baseline_psnr_y,sc_inr_psnr_y,delta_target_vs_baseline,delta_target_vs_sc_inr,texture_var_y
336,928,96,SC-INR+PhiZ,LTE,25.509198,25.375424,25.415286,0.133774,0.093911,0.007556
336,144,96,SC-INR+PhiZ,LTE,21.921865,21.796415,21.850287,0.125450,0.071577,0.019167
144,624,96,SC-INR+PhiZ,LTE,20.136827,20.011548,20.296412,0.125280,-0.159585,0.044837
96,768,96,SC-INR+PhiZ,LTE,21.834653,21.709919,21.866577,0.124733,-0.031924,0.045781
624,384,96,SC-INR+PhiZ,LTE,14.034469,13.918764,13.951750,0.115705,0.082720,0.048747
96,240,96,SC-INR+PhiZ,LTE,28.060554,27.945515,28.163888,0.115039,-0.103333,0.010694
288,768,96,SC-INR+PhiZ,LTE,20.624540,20.509501,20.396664,0.115039,0.227876,0.042143
48,528,96,SC-INR+PhiZ,LTE,21.052037,20.938854,20.960512,0.113183,0.091525,0.020073
480,0,96,SC-INR+PhiZ,LTE,21.857324,21.747638,21.623776,0.109687,0.233548,0.025471
576,144,96,SC-INR+PhiZ,LTE,21.261465,21.152003,21.266099,0.109462,-0.004634,0.018744
624,96,96,SC-INR+PhiZ,LTE,20.117688,20.009522,19.992583,0.108166,0.125105,0.023595
480,144,96,SC-INR+PhiZ,LTE,20.441693,20.335694,20.435717,0.105999,0.005976,0.017877
624,192,96,SC-INR+PhiZ,LTE,26.569262,26.464912,26.539667,0.104350,0.029595,0.008196
576,384,96,SC-INR+PhiZ,LTE,14.089469,13.985978,14.024953,0.103491,0.064515,0.045582
240,912,96,SC-INR+PhiZ,LTE,24.627014,24.523679,24.567025,0.103335,0.059989,0.008028
672,432,96,SC-INR+PhiZ,LTE,14.178206,14.074903,14.121356,0.103303,0.056850,0.043213
192,768,96,SC-INR+PhiZ,LTE,21.441138,21.338142,21.451726,0.102996,-0.010588,0.038199
432,384,96,SC-INR+PhiZ,LTE,19.159342,19.057241,19.248806,0.102101,-0.089464,0.026335
576,912,96,SC-INR+PhiZ,LTE,24.762537,24.660775,24.884144,0.101762,-0.121607,0.014796
384,928,96,SC-INR+PhiZ,LTE,27.807542,27.706540,27.857141,0.101002,-0.049599,0.023608
48,768,96,SC-INR+PhiZ,LTE,20.570333,20.471806,20.564937,0.098527,0.005395,0.048081
480,48,96,SC-INR+PhiZ,LTE,20.908378,20.811001,20.439833,0.097377,0.468546,0.025388
0,864,96,SC-INR+PhiZ,LTE,21.623693,21.528588,21.622782,0.095105,0.000911,0.053801
144,768,96,SC-INR+PhiZ,LTE,21.663463,21.568549,21.663502,0.094915,-0.000039,0.038696
576,480,96,SC-INR+PhiZ,LTE,21.537000,21.443362,21.322264,0.093638,0.214736,0.061660
240,928,96,SC-INR+PhiZ,LTE,23.830395,23.737291,23.812581,0.093103,0.017814,0.008549
528,48,96,SC-INR+PhiZ,LTE,23.804929,23.713195,23.672058,0.091733,0.132870,0.014132
432,528,96,SC-INR+PhiZ,LTE,45.785766,45.702588,45.712803,0.083178,0.072963,0.001989
192,912,96,SC-INR+PhiZ,LTE,26.285616,26.203716,26.251080,0.081900,0.034536,0.008280
432,144,96,SC-INR+PhiZ,LTE,20.221733,20.140235,20.085801,0.081499,0.135933,0.021135
528,336,96,SC-INR+PhiZ,LTE,19.166669,19.085402,19.158543,0.081267,0.008126,0.020543
192,928,96,SC-INR+PhiZ,LTE,25.465634,25.384969,25.421073,0.080665,0.044560,0.008115
