model,crop_psnr_y,crop_rmse_y
Bicubic,24.8304,0.056010
LIIF,29.4028,0.034273
LTE,29.3283,0.034274
SC-INR,29.5549,0.034305
SC-INR+PhiZ,29.7766,0.033034
