y,x,size,target_model,baseline_model,target_psnr_y,baseline_psnr_y,sc_inr_psnr_y,delta_target_vs_baseline,delta_target_vs_sc_inr,texture_var_y
48,384,96,SC-INR+PhiZ,LTE,33.001788,30.714605,33.004007,2.287184,-0.002218,0.047812
96,96,96,SC-INR+PhiZ,LTE,32.405706,31.529911,32.871986,0.875794,-0.466280,0.070639
0,384,96,SC-INR+PhiZ,LTE,32.447325,31.610207,32.262083,0.837118,0.185242,0.023715
288,864,96,SC-INR+PhiZ,LTE,30.982844,30.202047,31.013687,0.780797,-0.030843,0.017123
48,432,96,SC-INR+PhiZ,LTE,28.476215,27.763192,28.499684,0.713023,-0.023470,0.058641
192,816,96,SC-INR+PhiZ,LTE,22.045611,21.397887,21.527259,0.647725,0.518353,0.054165
96,384,96,SC-INR+PhiZ,LTE,26.335329,25.711715,26.129530,0.623614,0.205799,0.051209
288,0,96,SC-INR+PhiZ,LTE,26.115535,25.508375,26.001360,0.607160,0.114175,0.057587
240,864,96,SC-INR+PhiZ,LTE,27.384283,26.783763,27.659645,0.600520,-0.275362,0.017515
384,928,96,SC-INR+PhiZ,LTE,22.438709,21.887421,22.178414,0.551288,0.260295,0.023706
96,288,96,SC-INR+PhiZ,LTE,28.139359,27.588171,28.496084,0.551188,-0.356726,0.021839
96,336,96,SC-INR+PhiZ,LTE,28.491844,27.941661,28.511816,0.550183,-0.019972,0.040864
0,0,96,SC-INR+PhiZ,LTE,24.733428,24.206723,24.708724,0.526705,0.024704,0.063788
48,144,96,SC-INR+PhiZ,LTE,29.926561,29.411909,30.459909,0.514652,-0.533348,0.064601
336,864,96,SC-INR+PhiZ,LTE,27.923924,27.412604,27.812261,0.511320,0.111663,0.016159
384,912,96,SC-INR+PhiZ,LTE,22.265958,21.769623,21.989167,0.496335,0.276791,0.027934
144,720,96,SC-INR+PhiZ,LTE,21.614935,21.132540,21.280370,0.482395,0.334564,0.024003
576,48,96,SC-INR+PhiZ,LTE,27.415027,26.951612,27.230671,0.463415,0.184355,0.017964
48,336,96,SC-INR+PhiZ,LTE,30.820141,30.365697,31.059697,0.454444,-0.239556,0.049195
192,768,96,SC-INR+PhiZ,LTE,18.845752,18.392383,18.269847,0.453369,0.575905,0.057351
288,912,96,SC-INR+PhiZ,LTE,23.262117,22.809575,23.006974,0.452542,0.255143,0.027286
240,0,96,SC-INR+PhiZ,LTE,27.210262,26.770929,26.603072,0.439333,0.607190,0.068421
528,48,96,SC-INR+PhiZ,LTE,25.596134,25.184658,25.439771,0.411477,0.156364,0.026671
240,48,96,SC-INR+PhiZ,LTE,28.927089,28.516456,28.154496,0.410633,0.772593,0.015886
0,576,96,SC-INR+PhiZ,LTE,28.355723,27.955260,28.394332,0.400463,-0.038609,0.029486
48,288,96,SC-INR+PhiZ,LTE,27.731653,27.349942,27.945711,0.381710,-0.214058,0.032360
96,240,96,SC-INR+PhiZ,LTE,27.371638,27.004392,27.467401,0.367246,-0.095763,0.012446
288,928,96,SC-INR+PhiZ,LTE,23.562509,23.197824,23.318917,0.364685,0.243592,0.023041
336,0,96,SC-INR+PhiZ,LTE,26.185545,25.827803,26.027351,0.357743,0.158195,0.053848
96,432,96,SC-INR+PhiZ,LTE,23.431358,23.108576,23.436277,0.322782,-0.004920,0.044314
192,720,96,SC-INR+PhiZ,LTE,20.421226,20.107125,19.996921,0.314100,0.424305,0.021839
96,192,96,SC-INR+PhiZ,LTE,28.435470,28.131281,28.199774,0.304190,0.235696,0.045072
48,768,96,SC-INR+PhiZ,LTE,29.621586,29.320183,29.643506,0.301403,-0.021920,0.037672
432,720,96,SC-INR+PhiZ,LTE,23.259811,22.961895,23.117210,0.297917,0.142601,0.015922
48,480,96,SC-INR+PhiZ,LTE,24.932104,24.637115,24.899213,0.294988,0.032891,0.058017
192,48,96,SC-INR+PhiZ,LTE,28.531830,28.239707,28.078029,0.292123,0.453800,0.054374
336,928,96,SC-INR+PhiZ,LTE,22.797422,22.513848,22.796438,0.283575,0.000984,0.025744
432,912,96,SC-INR+PhiZ,LTE,23.767430,23.491131,23.732665,0.276299,0.034765,0.030491
432,928,96,SC-INR+PhiZ,LTE,23.729513,23.458175,23.708024,0.271338,0.021489,0.025918
144,288,96,SC-INR+PhiZ,LTE,25.403434,25.145406,25.702615,0.258028,-0.299181,0.024469
144,768,96,SC-INR+PhiZ,LTE,21.608788,21.354634,21.324919,0.254154,0.283869,0.053904
48,0,96,SC-INR+PhiZ,LTE,27.952111,27.704394,28.140903,0.247718,-0.188792,0.069795
336,912,96,SC-INR+PhiZ,LTE,22.527568,22.290562,22.516924,0.237006,0.010644,0.030087
672,96,96,SC-INR+PhiZ,LTE,25.274703,25.039319,25.036972,0.235384,0.237731,0.024623
384,864,96,SC-INR+PhiZ,LTE,28.001260,27.766684,28.011190,0.234575,-0.009930,0.010790
144,96,96,SC-INR+PhiZ,LTE,29.616574,29.383624,29.911326,0.232951,-0.294752,0.062791
144,336,96,SC-INR+PhiZ,LTE,24.165964,23.941539,24.251357,0.224425,-0.085394,0.020676
672,48,96,SC-INR+PhiZ,LTE,25.562270,25.345661,25.388408,0.216609,0.173862,0.027655
192,0,96,SC-INR+PhiZ,LTE,27.892391,27.683539,27.439421,0.208851,0.452970,0.081666
192,672,96,SC-INR+PhiZ,LTE,21.500760,21.301931,21.400550,0.198829,0.100210,0.018030
672,768,96,SC-INR+PhiZ,LTE,22.646927,22.452609,22.783204,0.194317,-0.136278,0.017200
144,928,96,SC-INR+PhiZ,LTE,22.857756,22.664349,22.538160,0.193407,0.319596,0.040542
480,96,96,SC-INR+PhiZ,LTE,28.008275,27.822655,28.014352,0.185620,-0.006077,0.007836
96,0,96,SC-INR+PhiZ,LTE,28.958243,28.773706,29.147610,0.184537,-0.189367,0.067930
384,672,96,SC-INR+PhiZ,LTE,24.109888,23.926821,23.880191,0.183067,0.229697,0.013599
432,672,96,SC-INR+PhiZ,LTE,23.581690,23.400659,23.256918,0.181031,0.324771,0.014776
144,672,96,SC-INR+PhiZ,LTE,20.522096,20.342085,20.538184,0.180011,-0.016087,0.020722
144,480,96,SC-INR+PhiZ,LTE,20.811249,20.632805,20.696178,0.178443,0.115071,0.014176
384,144,96,SC-INR+PhiZ,LTE,25.962657,25.785657,25.929424,0.177001,0.033234,0.012139
0,816,96,SC-INR+PhiZ,LTE,27.287984,27.112730,27.158271,0.175254,0.129713,0.065460
288,336,96,SC-INR+PhiZ,LTE,22.148225,21.973067,21.924633,0.175158,0.223592,0.009321
432,96,96,SC-INR+PhiZ,LTE,27.659633,27.488875,27.790051,0.170758,-0.130417,0.005416
528,144,96,SC-INR+PhiZ,LTE,27.147714,26.978391,27.245540,0.169322,-0.097826,0.008583
288,288,96,SC-INR+PhiZ,LTE,23.379083,23.211374,23.420795,0.167709,-0.041713,0.007889
