y,x,size,target_model,baseline_model,target_psnr_y,baseline_psnr_y,sc_inr_psnr_y,delta_target_vs_baseline,delta_target_vs_sc_inr,texture_var_y
144,384,96,SC-INR+PhiZ,LTE,21.102734,21.120961,21.133097,-0.018227,-0.030363,0.014535
336,48,96,SC-INR+PhiZ,LTE,18.756305,18.775977,18.749068,-0.019672,0.007238,0.013459
240,480,96,SC-INR+PhiZ,LTE,18.348949,18.369669,18.382536,-0.020720,-0.033587,0.025778
192,384,96,SC-INR+PhiZ,LTE,18.436131,18.457860,18.461529,-0.021730,-0.025398,0.018968
480,624,96,SC-INR+PhiZ,LTE,35.672629,35.697752,35.874635,-0.025123,-0.202006,0.013797
192,480,96,SC-INR+PhiZ,LTE,20.157774,20.185591,20.288862,-0.027817,-0.131088,0.027594
192,432,96,SC-INR+PhiZ,LTE,18.063791,18.100125,18.081489,-0.036334,-0.017697,0.027326
336,144,96,SC-INR+PhiZ,LTE,22.331089,22.370912,22.342033,-0.039823,-0.010944,0.018660
384,48,96,SC-INR+PhiZ,LTE,20.003278,20.044161,19.961816,-0.040883,0.041462,0.011955
288,144,96,SC-INR+PhiZ,LTE,21.177617,21.220612,21.242525,-0.042995,-0.064908,0.034158
144,336,96,SC-INR+PhiZ,LTE,28.197747,28.265061,28.219816,-0.067313,-0.022069,0.005611
480,336,96,SC-INR+PhiZ,LTE,32.088151,32.158772,31.848279,-0.070621,0.239872,0.010103
240,432,96,SC-INR+PhiZ,LTE,17.483717,17.555248,17.468587,-0.071531,0.015130,0.028248
0,384,96,SC-INR+PhiZ,LTE,21.767898,21.859848,21.829777,-0.091950,-0.061879,0.016466
0,48,96,SC-INR+PhiZ,LTE,23.100937,23.195629,23.290804,-0.094692,-0.189866,0.055935
96,624,96,SC-INR+PhiZ,LTE,20.507136,20.624256,21.008531,-0.117120,-0.501394,0.024833
192,0,96,SC-INR+PhiZ,LTE,22.509112,22.645735,22.361701,-0.136622,0.147411,0.036914
48,192,96,SC-INR+PhiZ,LTE,23.466108,23.675515,23.577362,-0.209407,-0.111254,0.029579
96,96,96,SC-INR+PhiZ,LTE,26.124455,26.364003,25.838847,-0.239548,0.285608,0.026967
