y,x,size,target_model,baseline_model,target_psnr_y,baseline_psnr_y,sc_inr_psnr_y,delta_target_vs_baseline,delta_target_vs_sc_inr,texture_var_y
192,288,96,SC-INR+PhiZ,LTE,34.867248,34.261612,34.680563,0.605635,0.186685,0.010208
96,0,96,SC-INR+PhiZ,LTE,29.126617,28.656998,29.372833,0.469619,-0.246216,0.016357
96,240,96,SC-INR+PhiZ,LTE,29.776569,29.328261,29.554875,0.448308,0.221695,0.023024
240,288,96,SC-INR+PhiZ,LTE,37.289739,36.879507,36.738025,0.410232,0.551714,0.016632
144,288,96,SC-INR+PhiZ,LTE,37.349287,36.983429,37.016032,0.365858,0.333255,0.006357
336,624,96,SC-INR+PhiZ,LTE,35.570626,35.225971,34.550695,0.344655,1.019931,0.012376
96,624,96,SC-INR+PhiZ,LTE,25.467604,25.133427,25.374802,0.334176,0.092802,0.024833
432,192,96,SC-INR+PhiZ,LTE,34.670446,34.342528,34.419698,0.327919,0.250749,0.009345
432,240,96,SC-INR+PhiZ,LTE,35.699407,35.392032,35.598415,0.307375,0.100991,0.017060
384,624,96,SC-INR+PhiZ,LTE,34.835976,34.605568,33.813648,0.230408,1.022328,0.024670
48,48,96,SC-INR+PhiZ,LTE,24.232503,24.088009,24.126813,0.144495,0.105690,0.040481
144,624,96,SC-INR+PhiZ,LTE,29.451472,29.316609,29.550487,0.134864,-0.099015,0.020417
384,240,96,SC-INR+PhiZ,LTE,32.695269,32.562909,32.615907,0.132360,0.079362,0.021393
384,192,96,SC-INR+PhiZ,LTE,30.080889,29.964637,29.931440,0.116251,0.149449,0.013365
144,240,96,SC-INR+PhiZ,LTE,31.447981,31.333126,31.119900,0.114855,0.328081,0.014555
96,432,96,SC-INR+PhiZ,LTE,26.762724,26.656787,26.712353,0.105937,0.050371,0.021684
0,48,96,SC-INR+PhiZ,LTE,23.522286,23.417438,23.413507,0.104848,0.108779,0.055935
192,240,96,SC-INR+PhiZ,LTE,27.632588,27.530895,27.598384,0.101693,0.034204,0.018758
192,144,96,SC-INR+PhiZ,LTE,28.840916,28.743066,28.769461,0.097850,0.071456,0.021436
192,192,96,SC-INR+PhiZ,LTE,27.625006,27.544266,27.478482,0.080741,0.146524,0.018346
96,48,96,SC-INR+PhiZ,LTE,32.389008,32.312176,32.135051,0.076832,0.253958,0.019848
240,96,96,SC-INR+PhiZ,LTE,28.432540,28.361667,28.392985,0.070874,0.039555,0.019471
48,624,96,SC-INR+PhiZ,LTE,24.132432,24.067257,23.985897,0.065175,0.146535,0.021427
48,240,96,SC-INR+PhiZ,LTE,29.286279,29.222552,29.337294,0.063727,-0.051015,0.017618
480,240,96,SC-INR+PhiZ,LTE,36.401075,36.337481,36.387719,0.063594,0.013356,0.011750
48,96,96,SC-INR+PhiZ,LTE,25.562124,25.503273,25.709108,0.058851,-0.146984,0.032347
432,48,96,SC-INR+PhiZ,LTE,24.845847,24.791000,24.797780,0.054846,0.048066,0.011802
144,0,96,SC-INR+PhiZ,LTE,26.846471,26.795924,26.719375,0.050547,0.127097,0.034536
432,288,96,SC-INR+PhiZ,LTE,36.603551,36.563349,36.786375,0.040202,-0.182824,0.012854
96,480,96,SC-INR+PhiZ,LTE,25.530593,25.491239,25.508767,0.039355,0.021827,0.022857
384,576,96,SC-INR+PhiZ,LTE,26.573498,26.535557,26.579668,0.037941,-0.006169,0.027240
384,288,96,SC-INR+PhiZ,LTE,31.688570,31.654416,31.701205,0.034154,-0.012635,0.016758
384,48,96,SC-INR+PhiZ,LTE,20.452379,20.420800,20.435343,0.031579,0.017036,0.011955
288,576,96,SC-INR+PhiZ,LTE,27.280266,27.248826,27.291278,0.031440,-0.011012,0.010527
384,432,96,SC-INR+PhiZ,LTE,25.516117,25.486943,25.506425,0.029174,0.009692,0.015741
336,96,96,SC-INR+PhiZ,LTE,20.584950,20.558104,20.534717,0.026845,0.050233,0.025753
144,432,96,SC-INR+PhiZ,LTE,23.923826,23.897568,23.930095,0.026257,-0.006269,0.023404
336,288,96,SC-INR+PhiZ,LTE,27.111406,27.086118,27.099916,0.025288,0.011491,0.024001
288,528,96,SC-INR+PhiZ,LTE,21.279408,21.256352,21.280712,0.023056,-0.001304,0.024887
240,528,96,SC-INR+PhiZ,LTE,22.451017,22.429100,22.442330,0.021918,0.008687,0.018748
336,576,96,SC-INR+PhiZ,LTE,23.864502,23.844699,23.850235,0.019802,0.014267,0.016852
240,336,96,SC-INR+PhiZ,LTE,30.205798,30.186254,30.220836,0.019544,-0.015038,0.022988
288,96,96,SC-INR+PhiZ,LTE,20.931318,20.913224,20.871242,0.018094,0.060076,0.029464
336,48,96,SC-INR+PhiZ,LTE,19.038708,19.020897,19.031649,0.017811,0.007059,0.013459
192,384,96,SC-INR+PhiZ,LTE,19.659297,19.642246,19.634983,0.017050,0.024314,0.018968
480,96,96,SC-INR+PhiZ,LTE,35.951751,35.934941,35.929392,0.016809,0.022358,0.007359
288,336,96,SC-INR+PhiZ,LTE,23.816457,23.801031,23.813734,0.015426,0.002723,0.025675
48,480,96,SC-INR+PhiZ,LTE,23.101032,23.086767,23.055164,0.014265,0.045868,0.025019
480,384,96,SC-INR+PhiZ,LTE,26.339318,26.325115,26.310264,0.014203,0.029054,0.015220
192,432,96,SC-INR+PhiZ,LTE,19.420510,19.407280,19.392001,0.013230,0.028509,0.027326
384,384,96,SC-INR+PhiZ,LTE,22.440416,22.428212,22.429870,0.012203,0.010545,0.015822
240,384,96,SC-INR+PhiZ,LTE,21.066075,21.054498,21.061231,0.011577,0.004844,0.034582
384,480,96,SC-INR+PhiZ,LTE,21.858633,21.849330,21.847013,0.009304,0.011621,0.033783
384,528,96,SC-INR+PhiZ,LTE,20.032498,20.023381,20.024765,0.009118,0.007733,0.031727
432,480,96,SC-INR+PhiZ,LTE,20.655534,20.649245,20.653908,0.006289,0.001625,0.030320
336,384,96,SC-INR+PhiZ,LTE,22.224810,22.218933,22.238709,0.005876,-0.013899,0.025358
192,336,96,SC-INR+PhiZ,LTE,25.727852,25.722889,25.727738,0.004963,0.000114,0.007270
336,528,96,SC-INR+PhiZ,LTE,20.169266,20.165147,20.166613,0.004119,0.002653,0.030500
432,384,96,SC-INR+PhiZ,LTE,23.576497,23.572961,23.564818,0.003536,0.011679,0.012949
336,336,96,SC-INR+PhiZ,LTE,21.243139,21.239697,21.241402,0.003442,0.001737,0.020003
432,528,96,SC-INR+PhiZ,LTE,21.857118,21.854859,21.851092,0.002259,0.006026,0.032844
288,288,96,SC-INR+PhiZ,LTE,29.275453,29.273293,29.137885,0.002160,0.137568,0.021073
432,432,96,SC-INR+PhiZ,LTE,22.732327,22.731278,22.735129,0.001049,-0.002802,0.022189
240,480,96,SC-INR+PhiZ,LTE,19.381141,19.381114,19.394713,0.000027,-0.013572,0.025778
384,336,96,SC-INR+PhiZ,LTE,24.178964,24.179943,24.175740,-0.000979,0.003224,0.012083
96,192,96,SC-INR+PhiZ,LTE,26.543666,26.545595,26.075440,-0.001928,0.468226,0.034323
240,240,96,SC-INR+PhiZ,LTE,26.063954,26.065916,26.057051,-0.001962,0.006904,0.021872
480,480,96,SC-INR+PhiZ,LTE,20.707833,20.710167,20.696618,-0.002334,0.011215,0.029748
288,384,96,SC-INR+PhiZ,LTE,25.082485,25.085446,25.111885,-0.002961,-0.029401,0.024258
384,96,96,SC-INR+PhiZ,LTE,26.559362,26.562956,26.410843,-0.003595,0.148519,0.016523
288,48,96,SC-INR+PhiZ,LTE,20.418264,20.422958,20.362673,-0.004695,0.055590,0.019894
432,336,96,SC-INR+PhiZ,LTE,30.082256,30.087709,30.115168,-0.005453,-0.032912,0.010014
432,0,96,SC-INR+PhiZ,LTE,19.921321,19.929951,19.925165,-0.008630,-0.003844,0.023328
288,192,96,SC-INR+PhiZ,LTE,23.853036,23.862064,23.789501,-0.009029,0.063535,0.016155
480,528,96,SC-INR+PhiZ,LTE,23.733950,23.744148,23.743311,-0.010198,-0.009361,0.026176
0,624,96,SC-INR+PhiZ,LTE,24.718513,24.729191,24.532014,-0.010677,0.186499,0.024448
0,192,96,SC-INR+PhiZ,LTE,19.736870,19.747752,19.758537,-0.010882,-0.021667,0.032675
0,480,96,SC-INR+PhiZ,LTE,22.312743,22.323880,22.257913,-0.011137,0.054830,0.013949
240,432,96,SC-INR+PhiZ,LTE,18.844663,18.856580,18.853874,-0.011917,-0.009212,0.028248
480,144,96,SC-INR+PhiZ,LTE,35.867951,35.883309,35.578644,-0.015358,0.289307,0.006099
240,192,96,SC-INR+PhiZ,LTE,24.132335,24.149293,24.145335,-0.016958,-0.013000,0.027098
0,528,96,SC-INR+PhiZ,LTE,22.368459,22.385824,22.173204,-0.017365,0.195255,0.010988
48,528,96,SC-INR+PhiZ,LTE,21.392479,21.412645,21.397261,-0.020166,-0.004782,0.018285
144,384,96,SC-INR+PhiZ,LTE,22.583836,22.608927,22.575516,-0.025091,0.008321,0.014535
0,144,96,SC-INR+PhiZ,LTE,19.180150,19.205405,19.312667,-0.025254,-0.132516,0.032068
240,144,96,SC-INR+PhiZ,LTE,26.412445,26.440457,26.416971,-0.028011,-0.004526,0.026011
48,0,96,SC-INR+PhiZ,LTE,23.713341,23.742859,23.842273,-0.029519,-0.128932,0.033487
336,192,96,SC-INR+PhiZ,LTE,26.420941,26.450763,26.251980,-0.029822,0.168962,0.011033
