model,crop_psnr_y,crop_rmse_y
Bicubic,18.0624,0.123234
LIIF,18.7055,0.113306
LTE,18.7202,0.113335
SC-INR,18.5195,0.115148
SC-INR+PhiZ,18.8619,0.111703
