y,x,size,target_model,baseline_model,target_psnr_y,baseline_psnr_y,sc_inr_psnr_y,delta_target_vs_baseline,delta_target_vs_sc_inr,texture_var_y
144,912,96,SC-INR+PhiZ,LTE,21.487319,19.023506,20.849141,2.463813,0.638178,0.042398
192,912,96,SC-INR+PhiZ,LTE,19.224658,16.896566,17.934845,2.328092,1.289813,0.044676
144,96,96,SC-INR+PhiZ,LTE,27.860329,25.590464,27.472345,2.269865,0.387984,0.006926
240,144,96,SC-INR+PhiZ,LTE,26.139532,23.884290,24.267070,2.255242,1.872463,0.015423
288,144,96,SC-INR+PhiZ,LTE,26.009735,23.778627,23.681204,2.231109,2.328531,0.007180
144,928,96,SC-INR+PhiZ,LTE,21.008975,18.853669,20.609539,2.155306,0.399436,0.040988
192,928,96,SC-INR+PhiZ,LTE,19.063516,17.132293,18.112131,1.931223,0.951386,0.042855
192,96,96,SC-INR+PhiZ,LTE,27.281894,25.366124,26.515978,1.915769,0.765915,0.010846
240,96,96,SC-INR+PhiZ,LTE,26.305114,24.412766,25.437860,1.892347,0.867253,0.011256
144,864,96,SC-INR+PhiZ,LTE,19.918735,18.142599,18.710719,1.776136,1.208016,0.044070
288,96,96,SC-INR+PhiZ,LTE,26.380547,24.608422,25.758221,1.772125,0.622326,0.007033
144,48,96,SC-INR+PhiZ,LTE,28.760877,27.002867,28.252560,1.758010,0.508317,0.006968
480,240,96,SC-INR+PhiZ,LTE,26.607736,24.900067,23.723287,1.707669,2.884450,0.064239
432,384,96,SC-INR+PhiZ,LTE,24.715831,23.197652,22.955893,1.518179,1.759937,0.020145
240,912,96,SC-INR+PhiZ,LTE,18.608155,17.099365,17.575601,1.508790,1.032555,0.039743
240,192,96,SC-INR+PhiZ,LTE,26.099519,24.593143,24.241538,1.506375,1.857981,0.033355
192,48,96,SC-INR+PhiZ,LTE,27.739689,26.348831,27.110197,1.390858,0.629492,0.009723
528,576,96,SC-INR+PhiZ,LTE,23.315097,21.957483,22.882619,1.357613,0.432478,0.047444
96,48,96,SC-INR+PhiZ,LTE,29.532531,28.188254,28.856688,1.344277,0.675843,0.005128
240,928,96,SC-INR+PhiZ,LTE,18.542355,17.228842,17.490588,1.313514,1.051767,0.038294
