model,crop_psnr_y,crop_rmse_y
Bicubic,25.0270,0.055317
LIIF,31.9766,0.026723
LTE,30.7146,0.030245
SC-INR,33.0040,0.024817
SC-INR+PhiZ,33.0018,0.024872
