y,x,size,target_model,baseline_model,target_psnr_y,baseline_psnr_y,sc_inr_psnr_y,delta_target_vs_baseline,delta_target_vs_sc_inr,texture_var_y
336,384,96,SC-INR+PhiZ,LTE,26.547362,26.456642,26.503379,0.090720,0.043984,0.047171
336,0,96,SC-INR+PhiZ,LTE,21.179792,21.089082,20.844409,0.090710,0.335383,0.022449
384,384,96,SC-INR+PhiZ,LTE,22.341981,22.257729,22.394537,0.084252,-0.052555,0.034163
288,48,96,SC-INR+PhiZ,LTE,16.312537,16.228929,15.913911,0.083608,0.398626,0.048368
560,48,96,SC-INR+PhiZ,LTE,17.938515,17.864390,17.738513,0.074125,0.200002,0.168682
288,240,96,SC-INR+PhiZ,LTE,23.754464,23.682842,23.297298,0.071622,0.457166,0.029593
288,96,96,SC-INR+PhiZ,LTE,19.578719,19.508532,19.323721,0.070187,0.254998,0.029141
432,336,96,SC-INR+PhiZ,LTE,18.232058,18.164837,18.117024,0.067221,0.115034,0.037896
192,240,96,SC-INR+PhiZ,LTE,25.662398,25.600383,25.196226,0.062016,0.466172,0.060046
48,0,96,SC-INR+PhiZ,LTE,22.816856,22.769243,22.965035,0.047614,-0.148179,0.007550
432,192,96,SC-INR+PhiZ,LTE,30.460841,30.417173,31.000960,0.043667,-0.540119,0.026222
384,336,96,SC-INR+PhiZ,LTE,16.747399,16.706532,16.804888,0.040868,-0.057489,0.051640
0,0,96,SC-INR+PhiZ,LTE,29.150430,29.110984,29.469420,0.039446,-0.318990,0.002969
288,144,96,SC-INR+PhiZ,LTE,27.214481,27.189499,27.126070,0.024983,0.088411,0.038060
384,240,96,SC-INR+PhiZ,LTE,23.474493,23.451571,22.885607,0.022922,0.588886,0.049797
432,240,96,SC-INR+PhiZ,LTE,23.006514,22.997387,23.092835,0.009127,-0.086321,0.033478
432,96,96,SC-INR+PhiZ,LTE,33.756462,33.756728,33.855974,-0.000266,-0.099513,0.005595
384,288,96,SC-INR+PhiZ,LTE,17.631125,17.636396,17.629242,-0.005272,0.001883,0.052995
192,288,96,SC-INR+PhiZ,LTE,24.853309,24.863673,24.399188,-0.010364,0.454122,0.024030
336,240,96,SC-INR+PhiZ,LTE,24.106421,24.117172,23.259703,-0.010751,0.846719,0.045613
96,0,96,SC-INR+PhiZ,LTE,24.791165,24.808703,25.028782,-0.017539,-0.237617,0.017948
96,48,96,SC-INR+PhiZ,LTE,21.430154,21.448425,21.758971,-0.018271,-0.328817,0.033964
480,192,96,SC-INR+PhiZ,LTE,31.921592,31.939999,32.134367,-0.018406,-0.212774,0.010749
288,0,96,SC-INR+PhiZ,LTE,17.868793,17.898770,17.532266,-0.029977,0.336528,0.039154
480,336,96,SC-INR+PhiZ,LTE,26.598975,26.629515,26.506840,-0.030540,0.092135,0.033382
336,288,96,SC-INR+PhiZ,LTE,22.699371,22.730842,22.497604,-0.031471,0.201767,0.056402
96,96,96,SC-INR+PhiZ,LTE,20.960853,21.020831,21.274067,-0.059979,-0.313215,0.031491
528,144,96,SC-INR+PhiZ,LTE,25.823378,25.907002,25.259092,-0.083624,0.564287,0.124848
0,288,96,SC-INR+PhiZ,LTE,12.734155,12.819087,12.729878,-0.084932,0.004277,0.142275
528,192,96,SC-INR+PhiZ,LTE,30.831076,30.918489,29.532735,-0.087413,1.298341,0.080718
288,432,96,SC-INR+PhiZ,LTE,30.972996,31.078868,31.553131,-0.105871,-0.580135,0.028574
240,240,96,SC-INR+PhiZ,LTE,22.991934,23.102611,22.393954,-0.110677,0.597980,0.043592
560,432,96,SC-INR+PhiZ,LTE,19.844624,20.001343,20.014229,-0.156719,-0.169605,0.013528
240,288,96,SC-INR+PhiZ,LTE,25.111026,25.286994,24.485151,-0.175968,0.625875,0.036565
560,192,96,SC-INR+PhiZ,LTE,31.214978,31.413232,29.845611,-0.198253,1.369368,0.145757
480,384,96,SC-INR+PhiZ,LTE,28.469822,28.681012,28.682356,-0.211190,-0.212534,0.032822
288,288,96,SC-INR+PhiZ,LTE,26.488221,26.703163,26.381166,-0.214942,0.107055,0.046015
96,384,96,SC-INR+PhiZ,LTE,30.478579,30.759974,30.338306,-0.281395,0.140273,0.041921
480,432,96,SC-INR+PhiZ,LTE,29.726669,30.038910,30.097384,-0.312241,-0.370715,0.015874
0,240,96,SC-INR+PhiZ,LTE,13.007933,13.327624,13.288189,-0.319691,-0.280256,0.148479
192,432,96,SC-INR+PhiZ,LTE,22.193072,22.526480,22.795925,-0.333408,-0.602853,0.031504
336,432,96,SC-INR+PhiZ,LTE,28.864363,29.294657,29.072835,-0.430294,-0.208472,0.018514
560,384,96,SC-INR+PhiZ,LTE,19.126677,19.592076,19.357966,-0.465399,-0.231289,0.042321
144,384,96,SC-INR+PhiZ,LTE,22.772410,23.288508,23.376443,-0.516098,-0.604033,0.025259
144,432,96,SC-INR+PhiZ,LTE,22.808429,23.340401,23.402548,-0.531972,-0.594119,0.023998
96,432,96,SC-INR+PhiZ,LTE,28.946901,29.609056,29.939305,-0.662156,-0.992404,0.040564
480,144,96,SC-INR+PhiZ,LTE,27.963976,28.640104,27.984523,-0.676127,-0.020547,0.006783
528,240,96,SC-INR+PhiZ,LTE,30.121575,30.820926,31.016801,-0.699351,-0.895226,0.028691
480,96,96,SC-INR+PhiZ,LTE,30.065394,31.111034,30.314114,-1.045640,-0.248720,0.003277
480,48,96,SC-INR+PhiZ,LTE,45.607471,46.859557,46.600255,-1.252086,-0.992784,0.000656
560,240,96,SC-INR+PhiZ,LTE,32.296074,33.687284,33.780815,-1.391209,-1.484741,0.042670
