model,crop_psnr_y,crop_rmse_y
Bicubic,18.8876,0.110371
LIIF,20.7903,0.088895
LTE,20.4458,0.093134
SC-INR,19.6163,0.101223
SC-INR+PhiZ,23.2224,0.069407
