model,crop_psnr_y,crop_rmse_y
Bicubic,17.2586,0.130164
LIIF,21.1164,0.086326
LTE,20.6902,0.090107
SC-INR,21.1927,0.086095
SC-INR+PhiZ,21.2201,0.085382
