model,dataset,scale,n,psnr_y,ssim_y,rmse_y,edge_rmse,texture_rmse,flat_rmse,highpass_rmse,fft_low_power,fft_mid_power,fft_high_power,scale_num,split,psnr_y_lte,ssim_y_lte,rmse_y_lte,edge_rmse_lte,texture_rmse_lte,flat_rmse_lte,highpass_rmse_lte,delta_psnr_y_vs_lte,delta_ssim_y_vs_lte,delta_rmse_y_vs_lte,delta_edge_rmse_vs_lte,delta_texture_rmse_vs_lte,delta_flat_rmse_vs_lte,delta_highpass_rmse_vs_lte
SC-INR-Fixed,bsd100,x16,10,22.766129611685862,0.5103137807325193,0.0750543876172221,0.1185099825263023,0.1338239975273609,0.0205749399261549,0.1338656581938266,3.8885809648760476e-07,4.5387548497073454e-08,6.973324191407649e-09,16,x8-x30,22.767463576778503,0.5093332884416716,0.0750040754169017,0.1183887965977192,0.1338248185813427,0.0201950863352976,0.1338663127273321,-0.001333965092641165,0.0009804922908477343,5.031220032039596e-05,0.00012118592858309518,-8.210539818032103e-07,0.00037985359085730003,-6.545335055063717e-07
SC-INR-Fixed,bsd100,x30,10,20.734934156966,0.4178080133452497,0.093738355044541,0.1360773712396621,0.1572349414229393,0.0388508301693946,0.1370292160660028,9.233994952454436e-07,6.20947802665706e-08,9.473033314001655e-09,30,x8-x30,20.6857710895601,0.4169935903134113,0.0941821512327992,0.1375180035829544,0.1587272860109806,0.0386381211690604,0.1370385240763426,0.049163067405899596,0.0008144230318383738,-0.000443796188258197,-0.0014406323432923085,-0.0014923445880412889,0.00021270900033419637,-9.308010339798e-06
SC-INR-Fixed,urban100,x4,10,26.46358341456248,0.8530661922392643,0.0513870905852611,0.0880755692720413,0.0920753773301839,0.0086409093579277,0.1611562717705965,3.498579965625207e-09,8.733678575133992e-09,2.027286379551622e-09,4,x4,26.56863991024377,0.8558878789824027,0.0508248766522505,0.0871856462210416,0.0909966640174388,0.0086093471152707,0.1601581059396267,-0.10505649568129272,-0.0028216867431384296,0.0005622139330105982,0.0008899230509997053,0.0010787133127450887,3.1562242656999265e-05,0.0009981658309697883
SC-INR-Fixed,urban100,x8,10,22.679404353213037,0.677612164497303,0.0780294409296522,0.1318852044641971,0.1433183416724205,0.0137663233326748,0.1780049607157707,5.215343091034338e-08,1.4485864077788852e-08,2.2910492970256182e-09,8,x8-x30,22.720312690132523,0.6812082009045406,0.0777025273473859,0.1313483990728855,0.1430824123322963,0.0136669747997075,0.1777480937540531,-0.04090833691948603,-0.0035960364072376017,0.00032691358226628886,0.0005368053913115955,0.0002359293401242024,9.93485329672996e-05,0.0002568669617176167
SC-INR-Fixed,urban100,x16,10,20.3156923453738,0.4795649145332469,0.1019302185686331,0.1587048672139644,0.1797116935253143,0.0297174336388707,0.1803451649844646,1.477444468961253e-07,1.5906521026685638e-08,2.4539852083044436e-09,16,x8-x30,20.240715072717244,0.4761711323785668,0.1028019741495415,0.1595784902572631,0.1810270249843597,0.0300448080291971,0.1803485095500946,0.0749772726565574,0.003393782154680114,-0.0008717555809083927,-0.000873623043298688,-0.0013153314590454157,-0.000327374390326398,-3.3445656300035154e-06
SC-INR-Fixed,urban100,x30,10,18.59880444317744,0.3588194473822491,0.1234387068437361,0.1757741779088974,0.201543766260147,0.0583559672348201,0.1825394622981548,2.7156984750810866e-07,1.7687419080952338e-08,2.749234300893492e-09,30,x8-x30,18.57450380200926,0.3575002593549228,0.1237741921284911,0.1760892890393734,0.2019734375178813,0.0586111700162291,0.1825314693152904,0.024300641168178316,0.001319188027326279,-0.00033548528475499384,-0.0003151111304759979,-0.0004296712577342987,-0.00025520278140899605,7.992982864385434e-06
SC-INR-Adaptive,bsd100,x4,10,27.67210643734468,0.8195875107014146,0.04380177725939,0.0748713620007038,0.0786297749727964,0.0081139135392732,0.1254820462316274,1.705789692117588e-08,3.0827831649225276e-08,5.720496837400779e-09,4,x4,27.668294135499377,0.8194916117270985,0.0438254021911017,0.0748875677585601,0.0785708140581846,0.0081351451168302,0.1253246579319238,0.0038123018453042334,9.589897431605543e-05,-2.3624931711700714e-05,-1.6205757856310732e-05,5.896091461179975e-05,-2.1231577557000517e-05,0.00015738829970360357
SC-INR-Adaptive,bsd100,x8,10,24.98013650469073,0.6650044131303453,0.0589015227283388,0.0986349202692508,0.1074705272912979,0.0113055281166452,0.1309291806071996,1.4739135732489e-07,3.906237142759586e-08,6.189343368590773e-09,8,x8-x30,24.96631074557208,0.6642750632251252,0.0590104460440275,0.0988209120929241,0.1076206345111131,0.0113359282666351,0.1308528516441583,0.013825759118649472,0.0007293499052201113,-0.00010892331568870123,-0.0001859918236732927,-0.00015010721981520425,-3.040014998990058e-05,7.632896304129999e-05
SC-INR-Adaptive,bsd100,x16,10,22.8110670298855,0.5115930552365909,0.0746543746133344,0.1177589908242225,0.1330857284367084,0.0202465423149988,0.1338692545890808,3.818466861044117e-07,4.5373250419821655e-08,6.974125232443096e-09,16,x8-x30,22.767463576778503,0.5093332884416716,0.0750040754169017,0.1183887965977192,0.1338248185813427,0.0201950863352976,0.1338663127273321,0.043603453106996426,0.002259766794919349,-0.0003497008035672905,-0.0006298057734966944,-0.0007390901446343023,5.145597970120097e-05,2.9418617487064758e-06
SC-INR-Adaptive,bsd100,x30,10,20.796141927958423,0.4197251262571511,0.0931586383739605,0.135731340944767,0.1567623272538185,0.038149920804426,0.1370322223752737,9.091243457368436e-07,6.208876473950664e-08,9.473418630094554e-09,30,x8-x30,20.6857710895601,0.4169935903134113,0.0941821512327992,0.1375180035829544,0.1587272860109806,0.0386381211690604,0.1370385240763426,0.11037083839832462,0.00273153594373976,-0.0010235128588386988,-0.001786662638187414,-0.0019649587571620997,-0.0004882003646344002,-6.301701068883725e-06
SC-INR-Adaptive,urban100,x4,10,26.599896397335577,0.854650155594069,0.0507263502593655,0.0868813686072826,0.0908819928765296,0.0085983784403651,0.1596186466515064,3.2928800065914312e-09,8.560893424446437e-09,2.004025818487808e-09,4,x4,26.56863991024377,0.8558878789824027,0.0508248766522505,0.0871856462210416,0.0909966640174388,0.0086093471152707,0.1601581059396267,0.03125648709180595,-0.0012377233883337224,-9.852639288500387e-05,-0.00030427761375899365,-0.0001146711409092116,-1.0968674905600245e-05,-0.0005394592881202975
SC-INR-Adaptive,urban100,x8,10,22.741061057276383,0.6792783751147171,0.0775999957239395,0.1309141620993614,0.1427487753331661,0.0137101606698706,0.1776249561458826,5.205599519369404e-08,1.4298771873338832e-08,2.290063927860747e-09,8,x8-x30,22.720312690132523,0.6812082009045406,0.0777025273473859,0.1313483990728855,0.1430824123322963,0.0136669747997075,0.1777480937540531,0.020748367143859525,-0.0019298257898234805,-0.00010253162344640854,-0.0004342369735240992,-0.0003336369991301935,4.31858701631007e-05,-0.00012313760817048158
SC-INR-Adaptive,urban100,x16,10,20.31485141988613,0.4791496542925325,0.1020939551253137,0.1582523241639137,0.1794637739658355,0.0311449430184438,0.1803531147539615,1.4981026858770156e-07,1.5906905715945537e-08,2.454096903198845e-09,16,x8-x30,20.240715072717244,0.4761711323785668,0.1028019741495415,0.1595784902572631,0.1810270249843597,0.0300448080291971,0.1803485095500946,0.07413634716888495,0.0029785219139656927,-0.0007080190242277906,-0.0013261660933494013,-0.0015632510185242254,0.001100134989246701,4.605203866914209e-06
SC-INR-Adaptive,urban100,x30,10,18.63636827329457,0.359491316317133,0.1229107880630525,0.1750978931784629,0.2010494589805603,0.0581552574411034,0.1825410142540931,2.6908010512182386e-07,1.7687721856828754e-08,2.749030990331646e-09,30,x8-x30,18.57450380200926,0.3575002593549228,0.1237741921284911,0.1760892890393734,0.2019734375178813,0.0586111700162291,0.1825314693152904,0.06186447128530759,0.0019910569622101915,-0.0008634040654385972,-0.0009913958609105156,-0.0009239785373209852,-0.0004559125751256998,9.544938802702463e-06
