a,b,rmse_y_shaved,psnr_y_between_shaved,corr_y_shaved
GT,Bicubic,0.2728655688579317,11.281025233717752,-0.35978057762628635
GT,LIIF,0.3053863621605547,10.30300722841214,-0.15458161635354828
GT,LTE,0.28323684257564335,10.957005112399168,-0.21714591265592983
GT,SC-INR,0.11331174854367719,18.914501173752885,0.9074819003945407
Bicubic,LIIF,0.09960414371427796,20.03445187513811,0.8525028175123512
Bicubic,LTE,0.04673467742621028,26.6072150113416,0.9100461169672144
Bicubic,SC-INR,0.21997739925448612,13.152438736580265,-0.28572079765881825
LIIF,LTE,0.06709304225609264,23.466450301973396,0.9575480228455777
LIIF,SC-INR,0.25142023834856303,11.991995324621115,-0.07929413914425741
LTE,SC-INR,0.23180403104492833,12.697580319532433,-0.1546755436197152
