model,crop_psnr_y,crop_rmse_y,edge_abs_grad_cos_mean,edge_signed_grad_cos_mean,gt_grad_theta_deg,pred_grad_theta_deg,dominant_orientation_error_deg,gt_coherence,pred_coherence,edge_mag_ratio
Bicubic,11.592242568814871,0.26326181526785125,0.7940368056297302,0.20752549171447754,8.064054977415214,-89.88494930224991,82.05099572033488,0.7201753370029852,0.020097808272978957,0.22574917454911514
LIIF,10.68592940740553,0.2922156891510041,0.8106604218482971,0.2647322714328766,8.064054977415214,-21.074241913627695,29.13829689104291,0.7201753370029852,0.02243274247324402,0.2805557687225786
LTE,11.158960300189975,0.27672728677739233,0.8345996141433716,0.2565969228744507,8.064054977415214,-73.02042892507411,81.08448390248932,0.7201753370029852,0.009975535289079877,0.26775489228170524
SC-INR,18.73180549358461,0.11572034648408998,0.9149882793426514,0.44840627908706665,8.064054977415214,4.396000788352898,3.668054189062315,0.7201753370029852,0.31029871563456857,0.4737701468971155
