model,shave,crop_psnr_y_shaved,crop_rmse_y_shaved,gt_grad_theta_deg_shaved,pred_grad_theta_deg_shaved,dominant_orientation_error_deg_shaved,edge_abs_grad_cos_mean_shaved,edge_signed_grad_cos_mean_shaved,gt_coherence_shaved,pred_coherence_shaved,edge_mag_ratio_shaved
Bicubic,24,11.281025222624992,0.2728655692064087,10.791530492339366,-89.5992265477233,79.60924295993733,0.7800584435462952,0.35933107137680054,0.49198509507215515,0.0402651403598854,0.42013392153706497
LIIF,24,10.303007138198744,0.30538636533235886,10.791530492339366,-89.16313883279024,80.0453306748704,0.9039774537086487,0.3717774450778961,0.49198509507215515,0.18213841722280963,0.4106417407348748
LTE,24,10.957004879279648,0.28323685017740213,10.791530492339366,-89.62463291557602,79.58383659208462,0.8903290033340454,0.3258230686187744,0.49198509507215515,0.11398793471042865,0.43539549839540886
SC-INR,24,18.914501289757993,0.11331174703033285,10.791530492339366,85.00760849257179,74.21607800023243,0.9433528184890747,0.4922634959220886,0.49198509507215515,0.36329948135364293,0.518026976708332
