seed: 2
deterministic: False
CUDA_VISIBLE_DEVICES: 3
train dataset: size=16000
  inp: shape=(3, 48, 48)
  coord: shape=(2304, 2)
  cell: shape=(2304, 2)
  scale: shape=(2,)
  gt: shape=(2304, 3)
val dataset: size=1600
  inp: shape=(3, 48, 48)
  coord: shape=(2304, 2)
  cell: shape=(2304, 2)
  scale: shape=(2,)
  gt: shape=(2304, 3)
model: #params=1.6M
epoch 65/1000, train: loss=0.0336, val: psnr=29.5299, 1.6m 1.8h/27.4h
epoch 66/1000, train: loss=0.0334, val: psnr=29.7773, 1.6m 1.8h/27.4h
epoch 67/1000, train: loss=0.0334, val: psnr=29.6412, 1.6m 1.8h/27.4h
epoch 68/1000, train: loss=0.0335, val: psnr=29.8963, 1.6m 1.9h/27.4h
epoch 69/1000, train: loss=0.0334, val: psnr=29.6940, 1.6m 1.9h/27.4h
epoch 70/1000, train: loss=0.0334, val: psnr=29.8161, 1.6m 1.9h/27.4h
epoch 71/1000, train: loss=0.0334, val: psnr=30.0608, 1.6m 1.9h/27.4h
epoch 72/1000, train: loss=0.0332, val: psnr=29.8012, 1.6m 2.0h/27.4h
epoch 73/1000, train: loss=0.0335, val: psnr=29.9488, 1.6m 2.0h/27.4h
epoch 74/1000, train: loss=0.0333, val: psnr=29.9520, 1.6m 2.0h/27.4h
epoch 75/1000, train: loss=0.0331, val: psnr=29.7245, 1.6m 2.1h/27.4h
epoch 76/1000, train: loss=0.0332, val: psnr=30.0050, 1.6m 2.1h/27.4h
epoch 77/1000, train: loss=0.0331, val: psnr=29.9111, 1.6m 2.1h/27.4h
epoch 78/1000, train: loss=0.0330, val: psnr=29.4716, 1.6m 2.1h/27.4h
epoch 79/1000, train: loss=0.0331, val: psnr=29.8245, 1.6m 2.2h/27.4h
epoch 80/1000, train: loss=0.0333, val: psnr=29.6378, 1.6m 2.2h/27.4h
epoch 81/1000, train: loss=0.0330, val: psnr=29.5828, 1.6m 2.2h/27.4h
epoch 82/1000, train: loss=0.0331, val: psnr=29.8312, 1.6m 2.2h/27.4h
epoch 83/1000, train: loss=0.0334, val: psnr=29.7940, 1.6m 2.3h/27.4h
epoch 84/1000, train: loss=0.0332, val: psnr=29.8128, 1.6m 2.3h/27.4h
epoch 85/1000, train: loss=0.0332, val: psnr=29.6751, 1.6m 2.3h/27.4h
epoch 86/1000, train: loss=0.0335, val: psnr=29.6908, 1.6m 2.4h/27.4h
epoch 87/1000, train: loss=0.0329, val: psnr=29.5408, 1.7m 2.4h/27.4h
epoch 88/1000, train: loss=0.0335, val: psnr=29.8207, 1.6m 2.4h/27.4h
epoch 89/1000, train: loss=0.0329, val: psnr=29.7782, 1.6m 2.4h/27.4h
epoch 90/1000, train: loss=0.0330, val: psnr=29.5039, 1.6m 2.5h/27.4h
epoch 91/1000, train: loss=0.0334, val: psnr=29.2379, 1.6m 2.5h/27.4h
epoch 92/1000, train: loss=0.0331, val: psnr=29.4802, 1.7m 2.5h/27.4h
epoch 93/1000, train: loss=0.0331, val: psnr=29.6878, 1.6m 2.5h/27.4h
epoch 94/1000, train: loss=0.0330, val: psnr=29.7336, 1.6m 2.6h/27.4h
epoch 95/1000, train: loss=0.0330, val: psnr=29.9426, 1.6m 2.6h/27.4h
epoch 96/1000, train: loss=0.0329, val: psnr=29.5441, 1.6m 2.6h/27.4h
epoch 97/1000, train: loss=0.0332, val: psnr=29.3066, 1.6m 2.7h/27.4h
epoch 98/1000, train: loss=0.0328, val: psnr=29.9415, 1.6m 2.7h/27.4h
epoch 99/1000, train: loss=0.0327, val: psnr=29.5513, 1.6m 2.7h/27.4h
epoch 100/1000, train: loss=0.0328, val: psnr=29.7000, 1.6m 2.7h/27.4h
epoch 101/1000, train: loss=0.0330, val: psnr=29.6493, 1.6m 2.8h/27.4h
epoch 102/1000, train: loss=0.0328, val: psnr=29.6803, 1.7m 2.8h/27.4h
epoch 103/1000, train: loss=0.0332, val: psnr=29.7854, 1.6m 2.8h/27.4h
epoch 104/1000, train: loss=0.0330, val: psnr=29.7831, 1.6m 2.8h/27.4h
epoch 105/1000, train: loss=0.0327, val: psnr=29.6988, 1.6m 2.9h/27.4h
