dataset,image,x,y,crop_size,texture_score,model,cell_multiplier,oracle_rmse_y,delta_tracking_rmse_y,cell_sensitivity_rmse_y,oracle_change_rmse_y,delta_oracle_corr_y,delta_oracle_best_shift_x,delta_oracle_best_shift_y,delta_oracle_best_shift_corr_y,highpass_delta_rms_y
bsd100,101085.png,192,385,96,0.33585436,LIIF,4,0.02480080,0.07615999,0.02382733,0.07734989,0.20362699,0,0,0.20362699,0.05560712
bsd100,101085.png,192,385,96,0.33585436,LTE,4,0.02948690,0.07851008,0.02938880,0.07734989,0.15016630,0,0,0.15016630,0.07815932
bsd100,101085.png,192,385,96,0.33585436,LTE-PhaseZ,4,0.02853038,0.07734989,0.00000000,0.07734989,nan,0,0,-inf,0.00000000
bsd100,101085.png,192,385,96,0.33585436,SC-INR,4,0.02878027,0.07819304,0.02875409,0.07734989,0.15636308,0,0,0.15636308,0.07571852
bsd100,101085.png,192,385,96,0.33585436,SC-INR-NoSinc,4,0.02814225,0.07734989,0.00000000,0.07734989,nan,0,0,-inf,0.00000000
bsd100,102061.png,0,96,96,0.33178623,LIIF,4,0.02139984,0.07024384,0.03739025,0.07613146,0.39733624,0,0,0.39733624,0.07563793
bsd100,102061.png,0,96,96,0.33178623,LTE,4,0.02672929,0.07181905,0.03926637,0.07613146,0.36460874,0,0,0.36460874,0.09019856
bsd100,102061.png,0,96,96,0.33178623,LTE-PhaseZ,4,0.03095271,0.07613146,0.00000000,0.07613146,nan,0,0,-inf,0.00000000
bsd100,102061.png,0,96,96,0.33178623,SC-INR,4,0.02434669,0.07087497,0.03604878,0.07613146,0.37766066,0,0,0.37766066,0.08601488
bsd100,102061.png,0,96,96,0.33178623,SC-INR-NoSinc,4,0.03090472,0.07613146,0.00000000,0.07613146,nan,0,0,-inf,0.00000000
urban100,img_002.png,192,192,96,0.32833076,LIIF,4,0.01919836,0.04404940,0.05258043,0.07090569,0.78490524,0,0,0.78490524,0.13620979
urban100,img_002.png,192,192,96,0.32833076,LTE,4,0.01958037,0.04551088,0.06021204,0.07090569,0.77082623,0,0,0.77082623,0.15528910
urban100,img_002.png,192,192,96,0.32833076,LTE-PhaseZ,4,0.04543049,0.07090569,0.00000000,0.07090569,nan,0,0,-inf,0.00000000
urban100,img_002.png,192,192,96,0.32833076,SC-INR,4,0.01964803,0.04227822,0.06052173,0.07090569,0.80445686,0,0,0.80445686,0.15707126
urban100,img_002.png,192,192,96,0.32833076,SC-INR-NoSinc,4,0.04002754,0.07090569,0.00000000,0.07090569,nan,0,0,-inf,0.00000000
urban100,img_001.png,0,0,96,0.32095950,LIIF,4,0.02216680,0.05843300,0.04914418,0.07496043,0.62725409,0,0,0.62725409,0.11520132
urban100,img_001.png,0,0,96,0.32095950,LTE,4,0.02653372,0.05966797,0.05048031,0.07496043,0.60882518,0,0,0.60882518,0.12925597
urban100,img_001.png,0,0,96,0.32095950,LTE-PhaseZ,4,0.04346488,0.07496043,0.00000000,0.07496043,nan,0,0,-inf,0.00000000
urban100,img_001.png,0,0,96,0.32095950,SC-INR,4,0.02567751,0.05885936,0.04613538,0.07496043,0.61924679,0,0,0.61924679,0.12206555
urban100,img_001.png,0,0,96,0.32095950,SC-INR-NoSinc,4,0.04530578,0.07496043,0.00000000,0.07496043,nan,0,0,-inf,0.00000000
urban100,img_001.png,928,288,96,0.31846175,LIIF,4,0.02648002,0.06698870,0.05086304,0.08080338,0.56347592,0,0,0.56347592,0.09552550
