experiment,model,signal_type,dataset,image,scale,inside_train_scale_range,delta_rms_vs_first_cell,signal_mean,signal_std,signal_min,signal_q01,signal_q05,signal_q50,signal_q95,signal_q99,signal_max,signal_rms
6.5_ood_cell_extrapolation,LTE-PhaseZ,learned_or_feature_phase,urban100,img_001.png,x2,True,0.0,-0.0005421137902885675,0.11652503162622452,-0.6232815980911255,-0.31938955187797546,-0.18873342871665955,-0.003189556300640106,0.2027459740638733,0.33151915669441223,0.7494238018989563,0.11805965006351471
6.5_ood_cell_extrapolation,LTE-PhaseZ,learned_or_feature_phase,urban100,img_001.png,x3,True,0.0,-0.0005421137902885675,0.11652503162622452,-0.6232815980911255,-0.31938955187797546,-0.18873342871665955,-0.003189556300640106,0.2027459740638733,0.33151915669441223,0.7494238018989563,0.11805965006351471
6.5_ood_cell_extrapolation,LTE-PhaseZ,learned_or_feature_phase,urban100,img_001.png,x4,True,0.0,-0.0005421137902885675,0.11652503162622452,-0.6232815980911255,-0.31938955187797546,-0.18873342871665955,-0.003189556300640106,0.2027459740638733,0.33151915669441223,0.7494238018989563,0.11805965006351471
6.5_ood_cell_extrapolation,LTE-PhaseZ,learned_or_feature_phase,urban100,img_001.png,x6,False,0.0,-0.0005421137902885675,0.11652503162622452,-0.6232815980911255,-0.31938955187797546,-0.18873342871665955,-0.003189556300640106,0.2027459740638733,0.33151915669441223,0.7494238018989563,0.11805965006351471
6.5_ood_cell_extrapolation,LTE-PhaseZ,learned_or_feature_phase,urban100,img_001.png,x8,False,0.0,-0.0005421137902885675,0.11652503162622452,-0.6232815980911255,-0.31938955187797546,-0.18873342871665955,-0.003189556300640106,0.2027459740638733,0.33151915669441223,0.7494238018989563,0.11805965006351471
6.5_ood_cell_extrapolation,LTE-PhaseZ,learned_or_feature_phase,urban100,img_001.png,x12,False,0.0,-0.0005421137902885675,0.11652503162622452,-0.6232815980911255,-0.31938955187797546,-0.18873342871665955,-0.003189556300640106,0.2027459740638733,0.33151915669441223,0.7494238018989563,0.11805965006351471
6.5_ood_cell_extrapolation,LTE-PhaseZ,learned_or_feature_phase,urban100,img_001.png,x16,False,0.0,-0.0005421137902885675,0.11652503162622452,-0.6232815980911255,-0.31938955187797546,-0.18873342871665955,-0.003189556300640106,0.2027459740638733,0.33151915669441223,0.7494238018989563,0.11805965006351471
6.5_ood_cell_extrapolation,LTE-PhaseZ,learned_or_feature_phase,urban100,img_001.png,x24,False,0.0,-0.0005421137902885675,0.11652503162622452,-0.6232815980911255,-0.31938955187797546,-0.18873342871665955,-0.003189556300640106,0.2027459740638733,0.33151915669441223,0.7494238018989563,0.11805965006351471
6.5_ood_cell_extrapolation,LTE-PhaseZ,learned_or_feature_phase,urban100,img_001.png,x30,False,0.0,-0.0005421137902885675,0.11652503162622452,-0.6232815980911255,-0.31938955187797546,-0.18873342871665955,-0.003189556300640106,0.2027459740638733,0.33151915669441223,0.7494238018989563,0.11805965006351471
6.5_ood_cell_extrapolation,SC-INR,analytic_sinc_response,urban100,img_001.png,x1,True,0.0,0.6726040840148926,0.4379657506942749,-0.21719124913215637,-0.2110663801431656,-0.2034679800271988,0.8889381289482117,0.9992172122001648,0.9998934864997864,0.9999997615814209,0.7749519348144531
