seed: 2
deterministic: False
CUDA_VISIBLE_DEVICES: 2
train dataset: size=16000
  inp: shape=(3, 48, 48)
  coord: shape=(2304, 2)
  cell: shape=(2304, 2)
  scale: shape=(2,)
  gt: shape=(2304, 3)
val dataset: size=1600
  inp: shape=(3, 48, 48)
  coord: shape=(2304, 2)
  cell: shape=(2304, 2)
  scale: shape=(2,)
  gt: shape=(2304, 3)
model: #params=1.7M
epoch 65/1000, train: loss=0.0321, val: psnr=29.9111, 2.1m 2.0h/31.2h
epoch 66/1000, train: loss=0.0321, val: psnr=29.9423, 2.1m 2.1h/31.3h
epoch 67/1000, train: loss=0.0319, val: psnr=29.6832, 2.0m 2.1h/31.3h
epoch 68/1000, train: loss=0.0320, val: psnr=29.9860, 2.0m 2.1h/31.4h
epoch 69/1000, train: loss=0.0325, val: psnr=30.1397, 2.1m 2.2h/31.4h
epoch 70/1000, train: loss=0.0322, val: psnr=29.9826, 2.0m 2.2h/31.5h
epoch 71/1000, train: loss=0.0320, val: psnr=30.1510, 2.1m 2.2h/31.5h
epoch 72/1000, train: loss=0.0318, val: psnr=30.2708, 2.1m 2.3h/31.5h
epoch 73/1000, train: loss=0.0316, val: psnr=29.6810, 2.0m 2.3h/31.6h
epoch 74/1000, train: loss=0.0316, val: psnr=29.8082, 2.0m 2.3h/31.6h
epoch 75/1000, train: loss=0.0317, val: psnr=29.8259, 2.0m 2.4h/31.6h
epoch 76/1000, train: loss=0.0317, val: psnr=29.6181, 2.1m 2.4h/31.7h
epoch 77/1000, train: loss=0.0321, val: psnr=30.2079, 2.1m 2.4h/31.7h
epoch 78/1000, train: loss=0.0316, val: psnr=29.8514, 2.0m 2.5h/31.7h
epoch 79/1000, train: loss=0.0319, val: psnr=29.5241, 2.0m 2.5h/31.8h
epoch 80/1000, train: loss=0.0319, val: psnr=30.0821, 2.1m 2.5h/31.8h
epoch 81/1000, train: loss=0.0317, val: psnr=29.9531, 2.0m 2.6h/31.8h
epoch 82/1000, train: loss=0.0317, val: psnr=29.7169, 2.1m 2.6h/31.9h
epoch 83/1000, train: loss=0.0318, val: psnr=29.6054, 2.0m 2.6h/31.9h
epoch 84/1000, train: loss=0.0320, val: psnr=29.9211, 2.1m 2.7h/31.9h
epoch 85/1000, train: loss=0.0318, val: psnr=29.7581, 2.1m 2.7h/31.9h
epoch 86/1000, train: loss=0.0318, val: psnr=30.0620, 2.0m 2.7h/32.0h
epoch 87/1000, train: loss=0.0320, val: psnr=29.9233, 2.0m 2.8h/32.0h
epoch 88/1000, train: loss=0.0321, val: psnr=29.9684, 2.1m 2.8h/32.0h
epoch 89/1000, train: loss=0.0318, val: psnr=29.9084, 2.1m 2.9h/32.0h
epoch 90/1000, train: loss=0.0319, val: psnr=29.9780, 2.0m 2.9h/32.1h
epoch 91/1000, train: loss=0.0316, val: psnr=29.9202, 2.1m 2.9h/32.1h
epoch 92/1000, train: loss=0.0318, val: psnr=29.7759, 2.0m 3.0h/32.1h
epoch 93/1000, train: loss=0.0314, val: psnr=30.0088, 2.1m 3.0h/32.1h
epoch 94/1000, train: loss=0.0317, val: psnr=29.9151, 2.1m 3.0h/32.1h
epoch 95/1000, train: loss=0.0315, val: psnr=30.2344, 2.1m 3.1h/32.2h
epoch 96/1000, train: loss=0.0315, val: psnr=29.4802, 2.1m 3.1h/32.2h
epoch 97/1000, train: loss=0.0319, val: psnr=29.7529, 2.0m 3.1h/32.2h
epoch 98/1000, train: loss=0.0314, val: psnr=29.8269, 2.0m 3.2h/32.2h
epoch 99/1000, train: loss=0.0317, val: psnr=29.8633, 2.1m 3.2h/32.3h
epoch 100/1000, train: loss=0.0320, val: psnr=29.8621, 2.1m 3.2h/32.3h
epoch 101/1000, train: loss=0.0314, val: psnr=29.7327, 2.0m 3.3h/32.3h
epoch 102/1000, train: loss=0.0316, val: psnr=29.6655, 2.1m 3.3h/32.3h
epoch 103/1000, train: loss=0.0318, val: psnr=29.8686, 2.0m 3.3h/32.3h
epoch 104/1000, train: loss=0.0318, val: psnr=29.8058, 2.1m 3.4h/32.3h
epoch 105/1000, train: loss=0.0317, val: psnr=29.6683, 2.1m 3.4h/32.4h
epoch 106/1000, train: loss=0.0317, val: psnr=29.9538, 2.1m 3.4h/32.4h
epoch 107/1000, train: loss=0.0315, val: psnr=29.7069, 2.1m 3.5h/32.4h
epoch 108/1000, train: loss=0.0321, val: psnr=29.8675, 2.1m 3.5h/32.4h
epoch 109/1000, train: loss=0.0315, val: psnr=29.6420, 2.1m 3.5h/32.4h
epoch 110/1000, train: loss=0.0315, val: psnr=30.0892, 2.1m 3.6h/32.4h
epoch 111/1000, train: loss=0.0314, val: psnr=29.6267, 2.1m 3.6h/32.5h
epoch 112/1000, train: loss=0.0314, val: psnr=29.7554, 2.1m 3.6h/32.5h
epoch 113/1000, train: loss=0.0314, val: psnr=30.1884, 2.1m 3.7h/32.5h
epoch 114/1000, train: loss=0.0318, val: psnr=29.8175, 2.1m 3.7h/32.5h
epoch 115/1000, train: loss=0.0318, val: psnr=29.9091, 2.1m 3.7h/32.5h
epoch 116/1000, train: loss=0.0314, val: psnr=30.1073, 2.1m 3.8h/32.5h
