model,observation_scale,n,omega_mag_mean,omega_mag_q95,effective_omega_mag_mean,effective_omega_mag_q95,omega_neg_frac,omega_near_bound_frac,response_mean,response_q05,response_q50,response_q95,active_response_mean,active_response_q05,active_response_q50,active_response_q95,analytic_attenuation_mean,active_attenuation_mean
SC-INR,x12,6,0.45579705635706586,1.4071765939394634,0.45579705635706586,1.4071765939394634,0.3953126867612203,4.1725046382149834e-05,0.9953195452690125,0.9775265951951345,0.9989100893338522,0.9999935328960419,0.9953195452690125,0.9775265951951345,0.9989100893338522,0.9999935328960419,0.004680458766718705,0.004680458766718705
SC-INR,x16,6,0.45579705635706586,1.4071765939394634,0.45579705635706586,1.4071765939394634,0.3953126867612203,4.1725046382149834e-05,0.9973599513371786,0.9873201052347819,0.9993868072827657,0.9999963641166687,0.9973599513371786,0.9873201052347819,0.9993868072827657,0.9999963641166687,0.0026400715578347445,0.0026400715578347445
SC-INR,x2,6,0.45579705635706586,1.4071765939394634,0.45579705635706586,1.4071765939394634,0.3953126867612203,4.1725046382149834e-05,0.8632556796073914,0.3656183232863744,0.9612774749596914,0.9997673730055491,0.8632556796073914,0.3656183232863744,0.9612774749596914,0.9997673730055491,0.1367442930738131,0.1367442930738131
SC-INR,x24,6,0.45579705635706586,1.4071765939394634,0.45579705635706586,1.4071765939394634,0.3953126867612203,4.1725046382149834e-05,0.9988243480523428,0.9943521916866302,0.9997274378935496,0.9999984006086985,0.9988243480523428,0.9943521916866302,0.9997274378935496,0.9999984006086985,0.0011756953123646479,0.0011756953123646479
SC-INR,x3,6,0.45579705635706586,1.4071765939394634,0.45579705635706586,1.4071765939394634,0.3953126867612203,4.1725046382149834e-05,0.9317384362220764,0.6758938431739807,0.982660174369812,0.9998966058095297,0.9317384362220764,0.6758938431739807,0.982660174369812,0.9998966058095297,0.06826156005263329,0.06826156005263329
SC-INR,x30,6,0.45579705635706586,1.4071765939394634,0.45579705635706586,1.4071765939394634,0.3953126867612203,4.1725046382149834e-05,0.9992471138636271,0.9963831603527069,0.9998255372047424,0.9999989668528239,0.9992471138636271,0.9963831603527069,0.9998255372047424,0.9999989668528239,0.0007528752224364629,0.0007528752224364629
SC-INR,x4,6,0.45579705635706586,1.4071765939394634,0.45579705635706586,1.4071765939394634,0.3953126867612203,4.1725046382149834e-05,0.9599304993947347,0.8086431324481964,0.9902203381061554,0.9999418457349142,0.9599304993947347,0.8086431324481964,0.9902203381061554,0.9999418457349142,0.04006954034169515,0.04006954034169515
SC-INR,x6,6,0.45579705635706586,1.4071765939394634,0.45579705635706586,1.4071765939394634,0.3953126867612203,4.1725046382149834e-05,0.9816289246082306,0.9119528631369272,0.9956451654434204,0.9999741514523824,0.9816289246082306,0.9119528631369272,0.9956451654434204,0.9999741514523824,0.0183710843945543,0.0183710843945543
SC-INR,x8,6,0.45579705635706586,1.4071765939394634,0.45579705635706586,1.4071765939394634,0.3953126867612203,4.1725046382149834e-05,0.989551862080892,0.9498700400193533,0.9975487987200419,0.9999854763348898,0.989551862080892,0.9498700400193533,0.9975487987200419,0.9999854763348898,0.0104481247253716,0.0104481247253716
SC-INR-EQ,x12,6,0.524554451306661,1.4638866980870564,0.524554451306661,1.4638866980870564,0.31501050293445587,3.159169637001469e-08,0.9944307506084442,0.9756960570812225,0.9986268281936646,0.9999803702036539,0.9944307506084442,0.9756960570812225,0.9986268281936646,0.9999803702036539,0.005569205929835637,0.005569205929835637
