model,dataset,image,lr_scale,observation_scale,omega_param,omega_bound,use_sinc_response,omega_neg_frac,omega_near_bound_frac,response_neg_frac,active_response_neg_frac,omega_x_mean,omega_x_std,omega_x_min,omega_x_q01,omega_x_q05,omega_x_q50,omega_x_q95,omega_x_q99,omega_x_max,omega_y_mean,omega_y_std,omega_y_min,omega_y_q01,omega_y_q05,omega_y_q50,omega_y_q95,omega_y_q99,omega_y_max,omega_mag_mean,omega_mag_std,omega_mag_min,omega_mag_q01,omega_mag_q05,omega_mag_q50,omega_mag_q95,omega_mag_q99,omega_mag_max,effective_omega_x_mean,effective_omega_x_std,effective_omega_x_min,effective_omega_x_q01,effective_omega_x_q05,effective_omega_x_q50,effective_omega_x_q95,effective_omega_x_q99,effective_omega_x_max,effective_omega_y_mean,effective_omega_y_std,effective_omega_y_min,effective_omega_y_q01,effective_omega_y_q05,effective_omega_y_q50,effective_omega_y_q95,effective_omega_y_q99,effective_omega_y_max,effective_omega_mag_mean,effective_omega_mag_std,effective_omega_mag_min,effective_omega_mag_q01,effective_omega_mag_q05,effective_omega_mag_q50,effective_omega_mag_q95,effective_omega_mag_q99,effective_omega_mag_max,response_mean,response_std,response_min,response_q01,response_q05,response_q50,response_q95,response_q99,response_max,active_response_mean,active_response_std,active_response_min,active_response_q01,active_response_q05,active_response_q50,active_response_q95,active_response_q99,active_response_max,analytic_attenuation_mean,analytic_attenuation_std,analytic_attenuation_min,analytic_attenuation_q01,analytic_attenuation_q05,analytic_attenuation_q50,analytic_attenuation_q95,analytic_attenuation_q99,analytic_attenuation_max,active_attenuation_mean,active_attenuation_std,active_attenuation_min,active_attenuation_q01,active_attenuation_q05,active_attenuation_q50,active_attenuation_q95,active_attenuation_q99,active_attenuation_max
SC-INR,bsd100,101085.png,x4,x2,tanh_signed,2.1,True,0.396319180727005,2.8889975510537624e-05,4.7200523113133386e-05,4.7200523113133386e-05,0.08585122227668762,0.4245356321334839,-1.5018327236175537,-1.2213619947433472,-0.5162354111671448,0.009646385908126831,1.1640390157699585,1.368384838104248,1.5650033950805664,0.23023611307144165,0.4231576919555664,-1.119155764579773,-0.39671117067337036,-0.21219776570796967,0.0561937615275383,1.2281473875045776,1.7279255390167236,2.0123953819274902,0.4615868926048279,0.45454326272010803,0.00039442229899577796,0.009411867707967758,0.02399277128279209,0.31967175006866455,1.4102948904037476,1.8335211277008057,2.020930051803589,0.08585122227668762,0.4245356321334839,-1.5018327236175537,-1.2213619947433472,-0.5162354111671448,0.009646385908126831,1.1640390157699585,1.368384838104248,1.5650033950805664,0.23023611307144165,0.4231576919555664,-1.119155764579773,-0.39671117067337036,-0.21219776570796967,0.0561937615275383,1.2281473875045776,1.7279255390167236,2.0123953819274902,0.4615868926048279,0.45454326272010803,0.00039442229899577796,0.009411867707967758,0.02399277128279209,0.31967175006866455,1.4102948904037476,1.8335211277008057,2.020930051803589,0.8630937337875366,0.21012836694717407,-0.0060723586939275265,0.14978329837322235,0.36298108100891113,0.9585331678390503,0.9997632503509521,0.9999635815620422,0.9999998807907104,0.8630937337875366,0.21012836694717407,-0.0060723586939275265,0.14978329837322235,0.36298108100891113,0.9585331678390503,0.9997632503509521,0.9999635815620422,0.9999998807907104,0.1369062215089798,0.21012836694717407,1.1920928955078125e-07,3.641843795776367e-05,0.00023674368276260793,0.04146680235862732,0.637018084526062,0.8502167463302612,1.0060724020004272,0.1369062215089798,0.21012836694717407,1.1920928955078125e-07,3.641843795776367e-05,0.00023674368276260793,0.04146680235862732,0.637018084526062,0.8502167463302612,1.0060724020004272
SC-INR,bsd100,101085.png,x4,x3,tanh_signed,2.1,True,0.396319180727005,2.8889975510537624e-05,0.0,0.0,0.08585122227668762,0.4245356321334839,-1.5018327236175537,-1.2213619947433472,-0.5162354111671448,0.009646385908126831,1.1640390157699585,1.368384838104248,1.5650033950805664,0.23023611307144165,0.4231576919555664,-1.119155764579773,-0.39671117067337036,-0.21219776570796967,0.0561937615275383,1.2281473875045776,1.7279255390167236,2.0123953819274902,0.4615868926048279,0.45454326272010803,0.00039442229899577796,0.009411867707967758,0.02399277128279209,0.31967175006866455,1.4102948904037476,1.8335211277008057,2.020930051803589,0.08585122227668762,0.4245356321334839,-1.5018327236175537,-1.2213619947433472,-0.5162354111671448,0.009646385908126831,1.1640390157699585,1.368384838104248,1.5650033950805664,0.23023611307144165,0.4231576919555664,-1.119155764579773,-0.39671117067337036,-0.21219776570796967,0.0561937615275383,1.2281473875045776,1.7279255390167236,2.0123953819274902,0.4615868926048279,0.45454326272010803,0.00039442229899577796,0.009411867707967758,0.02399277128279209,0.31967175006866455,1.4102948904037476,1.8335211277008057,2.020930051803589,0.9311110377311707,0.11436789482831955,0.405274361371994,0.511374831199646,0.6744042038917542,0.9814327955245972,0.9998947381973267,0.9999838471412659,1.0,0.9311110377311707,0.11436789482831955,0.405274361371994,0.511374831199646,0.6744042038917542,0.9814327955245972,0.9998947381973267,0.9999838471412659,1.0,0.06888894736766815,0.11436789482831955,0.0,1.615285873413086e-05,0.00010525584366405383,0.018567174673080444,0.3255957365036011,0.488625168800354,0.5947256088256836,0.06888894736766815,0.11436789482831955,0.0,1.615285873413086e-05,0.00010525584366405383,0.018567174673080444,0.3255957365036011,0.488625168800354,0.5947256088256836
SC-INR,bsd100,101085.png,x4,x4,tanh_signed,2.1,True,0.396319180727005,2.8889975510537624e-05,0.0,0.0,0.08585122227668762,0.4245356321334839,-1.5018327236175537,-1.2213619947433472,-0.5162354111671448,0.009646385908126831,1.1640390157699585,1.368384838104248,1.5650033950805664,0.23023611307144165,0.4231576919555664,-1.119155764579773,-0.39671117067337036,-0.21219776570796967,0.0561937615275383,1.2281473875045776,1.7279255390167236,2.0123953819274902,0.4615868926048279,0.45454326272010803,0.00039442229899577796,0.009411867707967758,0.02399277128279209,0.31967175006866455,1.4102948904037476,1.8335211277008057,2.020930051803589,0.08585122227668762,0.4245356321334839,-1.5018327236175537,-1.2213619947433472,-0.5162354111671448,0.009646385908126831,1.1640390157699585,1.368384838104248,1.5650033950805664,0.23023611307144165,0.4231576919555664,-1.119155764579773,-0.39671117067337036,-0.21219776570796967,0.0561937615275383,1.2281473875045776,1.7279255390167236,2.0123953819274902,0.4615868926048279,0.45454326272010803,0.00039442229899577796,0.009411867707967758,0.02399277128279209,0.31967175006866455,1.4102948904037476,1.8335211277008057,2.020930051803589,0.9594216346740723,0.0693763718008995,0.6304318904876709,0.6962138414382935,0.8078144192695618,0.9895298480987549,0.999940812587738,0.9999908804893494,1.0,0.9594216346740723,0.0693763718008995,0.6304318904876709,0.6962138414382935,0.8078144192695618,0.9895298480987549,0.999940812587738,0.9999908804893494,1.0,0.04057843238115311,0.0693763718008995,0.0,9.130835678661242e-06,5.918741226196289e-05,0.01047012209892273,0.19218553602695465,0.30378618836402893,0.3695681095123291,0.04057843238115311,0.0693763718008995,0.0,9.130835678661242e-06,5.918741226196289e-05,0.01047012209892273,0.19218553602695465,0.30378618836402893,0.3695681095123291
SC-INR,bsd100,101085.png,x4,x6,tanh_signed,2.1,True,0.396319180727005,2.8889975510537624e-05,0.0,0.0,0.08585122227668762,0.4245356321334839,-1.5018327236175537,-1.2213619947433472,-0.5162354111671448,0.009646385908126831,1.1640390157699585,1.368384838104248,1.5650033950805664,0.23023611307144165,0.4231576919555664,-1.119155764579773,-0.39671117067337036,-0.21219776570796967,0.0561937615275383,1.2281473875045776,1.7279255390167236,2.0123953819274902,0.4615868926048279,0.45454326272010803,0.00039442229899577796,0.009411867707967758,0.02399277128279209,0.31967175006866455,1.4102948904037476,1.8335211277008057,2.020930051803589,0.08585122227668762,0.4245356321334839,-1.5018327236175537,-1.2213619947433472,-0.5162354111671448,0.009646385908126831,1.1640390157699585,1.368384838104248,1.5650033950805664,0.23023611307144165,0.4231576919555664,-1.119155764579773,-0.39671117067337036,-0.21219776570796967,0.0561937615275383,1.2281473875045776,1.7279255390167236,2.0123953819274902,0.4615868926048279,0.45454326272010803,0.00039442229899577796,0.009411867707967758,0.02399277128279209,0.31967175006866455,1.4102948904037476,1.8335211277008057,2.020930051803589,0.9813452959060669,0.032587725669145584,0.8236650228500366,0.8548716902732849,0.9115985631942749,0.9953383207321167,0.999973714351654,0.9999959468841553,1.0,0.9813452959060669,0.032587725669145584,0.8236650228500366,0.8548716902732849,0.9115985631942749,0.9953383207321167,0.999973714351654,0.9999959468841553,1.0,0.018654733896255493,0.032587725669145584,0.0,4.0531158447265625e-06,2.6285648345947266e-05,0.0046617090702056885,0.08840134739875793,0.1451283097267151,0.17633497714996338,0.018654733896255493,0.032587725669145584,0.0,4.0531158447265625e-06,2.6285648345947266e-05,0.0046617090702056885,0.08840134739875793,0.1451283097267151,0.17633497714996338
SC-INR,bsd100,101085.png,x4,x8,tanh_signed,2.1,True,0.396319180727005,2.8889975510537624e-05,0.0,0.0,0.08585122227668762,0.4245356321334839,-1.5018327236175537,-1.2213619947433472,-0.5162354111671448,0.009646385908126831,1.1640390157699585,1.368384838104248,1.5650033950805664,0.23023611307144165,0.4231576919555664,-1.119155764579773,-0.39671117067337036,-0.21219776570796967,0.0561937615275383,1.2281473875045776,1.7279255390167236,2.0123953819274902,0.4615868926048279,0.45454326272010803,0.00039442229899577796,0.009411867707967758,0.02399277128279209,0.31967175006866455,1.4102948904037476,1.8335211277008057,2.020930051803589,0.08585122227668762,0.4245356321334839,-1.5018327236175537,-1.2213619947433472,-0.5162354111671448,0.009646385908126831,1.1640390157699585,1.368384838104248,1.5650033950805664,0.23023611307144165,0.4231576919555664,-1.119155764579773,-0.39671117067337036,-0.21219776570796967,0.0561937615275383,1.2281473875045776,1.7279255390167236,2.0123953819274902,0.4615868926048279,0.45454326272010803,0.00039442229899577796,0.009411867707967758,0.02399277128279209,0.31967175006866455,1.4102948904037476,1.8335211277008057,2.020930051803589,0.9893800020217896,0.018693994730710983,0.8983203768730164,0.9163480997085571,0.9496728777885437,0.9973758459091187,0.9999852180480957,0.9999977350234985,1.0,0.9893800020217896,0.018693994730710983,0.8983203768730164,0.9163480997085571,0.9496728777885437,0.9973758459091187,0.9999852180480957,0.9999977350234985,1.0,0.01061994582414627,0.018693994730710983,0.0,2.2649765014648438e-06,1.4781951904296875e-05,0.00262412428855896,0.050327081233263016,0.08365190774202347,0.10167962312698364,0.01061994582414627,0.018693994730710983,0.0,2.2649765014648438e-06,1.4781951904296875e-05,0.00262412428855896,0.050327081233263016,0.08365190774202347,0.10167962312698364
SC-INR,bsd100,101085.png,x4,x12,tanh_signed,2.1,True,0.396319180727005,2.8889975510537624e-05,0.0,0.0,0.08585122227668762,0.4245356321334839,-1.5018327236175537,-1.2213619947433472,-0.5162354111671448,0.009646385908126831,1.1640390157699585,1.368384838104248,1.5650033950805664,0.23023611307144165,0.4231576919555664,-1.119155764579773,-0.39671117067337036,-0.21219776570796967,0.0561937615275383,1.2281473875045776,1.7279255390167236,2.0123953819274902,0.4615868926048279,0.45454326272010803,0.00039442229899577796,0.009411867707967758,0.02399277128279209,0.31967175006866455,1.4102948904037476,1.8335211277008057,2.020930051803589,0.08585122227668762,0.4245356321334839,-1.5018327236175537,-1.2213619947433472,-0.5162354111671448,0.009646385908126831,1.1640390157699585,1.368384838104248,1.5650033950805664,0.23023611307144165,0.4231576919555664,-1.119155764579773,-0.39671117067337036,-0.21219776570796967,0.0561937615275383,1.2281473875045776,1.7279255390167236,2.0123953819274902,0.4615868926048279,0.45454326272010803,0.00039442229899577796,0.009411867707967758,0.02399277128279209,0.31967175006866455,1.4102948904037476,1.8335211277008057,2.020930051803589,0.9952391982078552,0.008426472544670105,0.9540018439292908,0.9621408581733704,0.9774377346038818,0.998833179473877,0.9999934434890747,0.9999989867210388,1.0,0.9952391982078552,0.008426472544670105,0.9540018439292908,0.9621408581733704,0.9774377346038818,0.998833179473877,0.9999934434890747,0.9999989867210388,1.0,0.004760859999805689,0.008426472544670105,0.0,1.0132789611816406e-06,6.556510925292969e-06,0.0011668205261230469,0.022562213242053986,0.037859123200178146,0.04599815607070923,0.004760859999805689,0.008426472544670105,0.0,1.0132789611816406e-06,6.556510925292969e-06,0.0011668205261230469,0.022562213242053986,0.037859123200178146,0.04599815607070923
SC-INR,bsd100,101085.png,x4,x16,tanh_signed,2.1,True,0.396319180727005,2.8889975510537624e-05,0.0,0.0,0.08585122227668762,0.4245356321334839,-1.5018327236175537,-1.2213619947433472,-0.5162354111671448,0.009646385908126831,1.1640390157699585,1.368384838104248,1.5650033950805664,0.23023611307144165,0.4231576919555664,-1.119155764579773,-0.39671117067337036,-0.21219776570796967,0.0561937615275383,1.2281473875045776,1.7279255390167236,2.0123953819274902,0.4615868926048279,0.45454326272010803,0.00039442229899577796,0.009411867707967758,0.02399277128279209,0.31967175006866455,1.4102948904037476,1.8335211277008057,2.020930051803589,0.08585122227668762,0.4245356321334839,-1.5018327236175537,-1.2213619947433472,-0.5162354111671448,0.009646385908126831,1.1640390157699585,1.368384838104248,1.5650033950805664,0.23023611307144165,0.4231576919555664,-1.119155764579773,-0.39671117067337036,-0.21219776570796967,0.0561937615275383,1.2281473875045776,1.7279255390167236,2.0123953819274902,0.4615868926048279,0.45454326272010803,0.00039442229899577796,0.009411867707967758,0.02399277128279209,0.31967175006866455,1.4102948904037476,1.8335211277008057,2.020930051803589,0.997313916683197,0.004763428587466478,0.9739652276039124,0.9785651564598083,0.9872699975967407,0.9993435144424438,0.9999963045120239,0.999999463558197,1.0,0.997313916683197,0.004763428587466478,0.9739652276039124,0.9785651564598083,0.9872699975967407,0.9993435144424438,0.9999963045120239,0.999999463558197,1.0,0.002686108462512493,0.004763428587466478,0.0,5.364418029785156e-07,3.6954879760742188e-06,0.00065651535987854,0.012729967944324017,0.021434877067804337,0.026034772396087646,0.002686108462512493,0.004763428587466478,0.0,5.364418029785156e-07,3.6954879760742188e-06,0.00065651535987854,0.012729967944324017,0.021434877067804337,0.026034772396087646
SC-INR,bsd100,101085.png,x4,x24,tanh_signed,2.1,True,0.396319180727005,2.8889975510537624e-05,0.0,0.0,0.08585122227668762,0.4245356321334839,-1.5018327236175537,-1.2213619947433472,-0.5162354111671448,0.009646385908126831,1.1640390157699585,1.368384838104248,1.5650033950805664,0.23023611307144165,0.4231576919555664,-1.119155764579773,-0.39671117067337036,-0.21219776570796967,0.0561937615275383,1.2281473875045776,1.7279255390167236,2.0123953819274902,0.4615868926048279,0.45454326272010803,0.00039442229899577796,0.009411867707967758,0.02399277128279209,0.31967175006866455,1.4102948904037476,1.8335211277008057,2.020930051803589,0.08585122227668762,0.4245356321334839,-1.5018327236175537,-1.2213619947433472,-0.5162354111671448,0.009646385908126831,1.1640390157699585,1.368384838104248,1.5650033950805664,0.23023611307144165,0.4231576919555664,-1.119155764579773,-0.39671117067337036,-0.21219776570796967,0.0561937615275383,1.2281473875045776,1.7279255390167236,2.0123953819274902,0.4615868926048279,0.45454326272010803,0.00039442229899577796,0.009411867707967758,0.02399277128279209,0.31967175006866455,1.4102948904037476,1.8335211277008057,2.020930051803589,0.9988036155700684,0.002124594524502754,0.9883776903152466,0.9904356002807617,0.9943299293518066,0.9997082352638245,0.9999983906745911,0.9999997615814209,1.0,0.9988036155700684,0.002124594524502754,0.9883776903152466,0.9904356002807617,0.9943299293518066,0.9997082352638245,0.9999983906745911,0.9999997615814209,1.0,0.001196415862068534,0.002124594524502754,0.0,2.384185791015625e-07,1.6093254089355469e-06,0.0002917647361755371,0.005670078098773956,0.009564393199980259,0.011622309684753418,0.001196415862068534,0.002124594524502754,0.0,2.384185791015625e-07,1.6093254089355469e-06,0.0002917647361755371,0.005670078098773956,0.009564393199980259,0.011622309684753418
SC-INR,bsd100,101085.png,x4,x30,tanh_signed,2.1,True,0.396319180727005,2.8889975510537624e-05,0.0,0.0,0.08585122227668762,0.4245356321334839,-1.5018327236175537,-1.2213619947433472,-0.5162354111671448,0.009646385908126831,1.1640390157699585,1.368384838104248,1.5650033950805664,0.23023611307144165,0.4231576919555664,-1.119155764579773,-0.39671117067337036,-0.21219776570796967,0.0561937615275383,1.2281473875045776,1.7279255390167236,2.0123953819274902,0.4615868926048279,0.45454326272010803,0.00039442229899577796,0.009411867707967758,0.02399277128279209,0.31967175006866455,1.4102948904037476,1.8335211277008057,2.020930051803589,0.08585122227668762,0.4245356321334839,-1.5018327236175537,-1.2213619947433472,-0.5162354111671448,0.009646385908126831,1.1640390157699585,1.368384838104248,1.5650033950805664,0.23023611307144165,0.4231576919555664,-1.119155764579773,-0.39671117067337036,-0.21219776570796967,0.0561937615275383,1.2281473875045776,1.7279255390167236,2.0123953819274902,0.4615868926048279,0.45454326272010803,0.00039442229899577796,0.009411867707967758,0.02399277128279209,0.31967175006866455,1.4102948904037476,1.8335211277008057,2.020930051803589,0.9992338418960571,0.0013611306203529239,0.9925522804260254,0.9938706755638123,0.9963688850402832,0.9998131990432739,0.999998927116394,0.9999998807907104,1.0,0.9992338418960571,0.0013611306203529239,0.9925522804260254,0.9938706755638123,0.9963688850402832,0.9998131990432739,0.999998927116394,0.9999998807907104,1.0,0.0007661849376745522,0.0013611306203529239,0.0,1.1920928955078125e-07,1.0699041013140231e-06,0.00018683075904846191,0.003631128231063485,0.006129307672381401,0.007447719573974609,0.0007661849376745522,0.0013611306203529239,0.0,1.1920928955078125e-07,1.0699041013140231e-06,0.00018683075904846191,0.003631128231063485,0.006129307672381401,0.007447719573974609
SC-INR,bsd100,101087.png,x4,x2,tanh_signed,2.1,True,0.3898771405220032,4.150390668655746e-05,6.591797136934474e-05,6.591797136934474e-05,0.09085763245820999,0.42182594537734985,-1.467341423034668,-1.1769139766693115,-0.5037776231765747,0.00919272005558014,1.1599435806274414,1.3625468015670776,1.540802001953125,0.2306133657693863,0.416277676820755,-1.1680161952972412,-0.40003737807273865,-0.19549886882305145,0.04613114893436432,1.2155619859695435,1.7140052318572998,2.0192666053771973,0.45135432481765747,0.45710083842277527,0.00031909963581711054,0.0038851352874189615,0.013304137624800205,0.3078755736351013,1.4004367589950562,1.7937722206115723,2.044999361038208,0.09085763245820999,0.42182594537734985,-1.467341423034668,-1.1769139766693115,-0.5037776231765747,0.00919272005558014,1.1599435806274414,1.3625468015670776,1.540802001953125,0.2306133657693863,0.416277676820755,-1.1680161952972412,-0.40003737807273865,-0.19549886882305145,0.04613114893436432,1.2155619859695435,1.7140052318572998,2.0192666053771973,0.45135432481765747,0.45710083842277527,0.00031909963581711054,0.0038851352874189615,0.013304137624800205,0.3078755736351013,1.4004367589950562,1.7937722206115723,2.044999361038208,0.8647347688674927,0.20931078493595123,-0.009334836155176163,0.16026730835437775,0.36981597542762756,0.9615559577941895,0.9999271631240845,0.9999938607215881,1.0,0.8647347688674927,0.20931078493595123,-0.009334836155176163,0.16026730835437775,0.36981597542762756,0.9615559577941895,0.9999271631240845,0.9999938607215881,1.0,0.1352652609348297,0.20931078493595123,0.0,6.150603439891711e-06,7.28189988876693e-05,0.038444072008132935,0.6301836371421814,0.8397327065467834,1.0093348026275635,0.1352652609348297,0.20931078493595123,0.0,6.150603439891711e-06,7.28189988876693e-05,0.038444072008132935,0.6301836371421814,0.8397327065467834,1.0093348026275635
