model,path_type,dataset,image,base_scale,cell_multiplier,oracle_psnr_y,oracle_rmse_y,delta_tracking_rmse_y,cell_sensitivity_rmse_y,oracle_change_rmse_y,weak_oracle,valid_shave,cell_phase_rms,cell_phase_delta_rms_vs_native,feature_phase_rms,feature_phase_delta_rms_vs_native,analytic_response_mean,analytic_response_abs_mean,analytic_response_neg_frac,active_response_mean,active_response_abs_mean,active_response_neg_frac,active_response_delta_rms_vs_native,effective_pair_mag_mean,effective_pair_delta_rms_vs_native,effective_energy_ratio_mean,imnet_input_pair_mag_mean,imnet_input_pair_delta_rms_vs_native
SC-INR-NoPhi,analytic_sinc_response,bsd100,102061.png,x4,1,23.211585058019764,0.06909088363313498,0.0,0.0,0.0,False,0,nan,nan,nan,nan,0.9647431969642639,0.9647431969642639,0.0,0.9647431969642639,0.9647431969642639,0.0,0.0,0.8315185904502869,0.0,0.934111475944519,0.539533793926239,0.0
SC-INR-NoPhi,analytic_sinc_response,bsd100,102061.png,x4,2,29.127277679143173,0.03496520799522335,0.04537917301058769,0.01672450639307499,0.049356285482645035,False,0,nan,nan,nan,nan,0.8754574656486511,0.8755282163619995,0.001129150390625,0.8754574656486511,0.8755282163619995,0.001129150390625,0.15819449722766876,0.7435216307640076,0.2195039987564087,0.8018767237663269,0.4798002243041992,0.15165910124778748
SC-INR-NoPhi,analytic_sinc_response,bsd100,102061.png,x4,4,31.141299554960558,0.02772905200428182,0.07056240737438202,0.04266343638300896,0.07869527488946915,False,0,nan,nan,nan,nan,0.6719878911972046,0.7071486711502075,0.134796142578125,0.6719878911972046,0.7071486711502075,0.134796142578125,0.4393247961997986,0.586533784866333,0.5283129811286926,0.5951711535453796,0.37257203459739685,0.3714449405670166
SC-INR,analytic_sinc_response,bsd100,102061.png,x4,1,23.145616640371408,0.06961761934199755,0.0,0.0,0.0,False,0,nan,nan,0.0817110612988472,0.0,0.9583444595336914,0.9583444595336914,0.0,0.9583444595336914,0.9583444595336914,0.0,0.0,0.3800996243953705,0.0,0.9232953190803528,0.24608197808265686,0.0
SC-INR,analytic_sinc_response,bsd100,102061.png,x4,2,29.340535291497154,0.03411718853316536,0.04690994322299957,0.01636822149157524,0.049356285482645035,False,0,nan,nan,0.0817110612988472,0.0,0.8579318523406982,0.8579325675964355,6.103515625e-05,0.8579318523406982,0.8579325675964355,6.103515625e-05,0.1779569536447525,0.3302997052669525,0.1328507512807846,0.7827109694480896,0.2126099318265915,0.09194140136241913
SC-INR,analytic_sinc_response,bsd100,102061.png,x4,4,30.78905758703142,0.02887667072056138,0.07191895693540573,0.04457949846982956,0.07869527488946915,False,0,nan,nan,0.0817110612988472,0.0,0.6559508442878723,0.6929225921630859,0.126800537109375,0.6559508442878723,0.6929225921630859,0.126800537109375,0.4493473172187805,0.25714680552482605,0.2849804162979126,0.5835509896278381,0.16280920803546906,0.20074594020843506
SC-INR-NoSinc,no_sinc_response,bsd100,102061.png,x4,1,23.06995152881497,0.07022672626931618,0.0,0.0,0.0,False,0,nan,nan,0.07105028629302979,0.0,0.965605616569519,0.965605616569519,0.0,1.0,1.0,0.0,0.0,0.39081400632858276,0.0,1.0,0.25227564573287964,0.0
SC-INR-NoSinc,no_sinc_response,bsd100,102061.png,x4,2,28.889438585073968,0.0359358623250703,0.049356285482645035,0.0,0.049356285482645035,False,0,nan,nan,0.07105028629302979,0.0,0.889646053314209,0.8914773464202881,0.0301513671875,1.0,1.0,0.0,0.0,0.39081400632858276,0.0,1.0,0.25227564573287964,0.0
SC-INR-NoSinc,no_sinc_response,bsd100,102061.png,x4,4,28.439724436720937,0.03784545911480041,0.07869527488946915,0.0,0.07869527488946915,False,0,nan,nan,0.07105028629302979,0.0,0.7381018400192261,0.7509366869926453,0.057861328125,1.0,1.0,0.0,0.0,0.39081400632858276,0.0,1.0,0.25227564573287964,0.0
LTE,cell_conditioned_phase,bsd100,103070.png,x4,1,29.517140547559848,0.03343050773598987,0.0,0.0,0.0,False,0,0.2576398253440857,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.21193484961986542,0.0
LTE,cell_conditioned_phase,bsd100,103070.png,x4,2,35.506698151599295,0.01677509902074866,0.0201824102550745,0.006834064610302448,0.021175526082515717,False,0,0.5152796506881714,0.2576398253440857,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.21520578861236572,0.06975028663873672
LTE,cell_conditioned_phase,bsd100,103070.png,x4,4,38.00051724866908,0.012588504444468627,0.03127184882760048,0.013937837444245815,0.03245317190885544,False,0,1.0305593013763428,0.7729194760322571,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.2058219462633133,0.08745978027582169
LTE-NoCellPhase,no_phase,bsd100,103070.png,x4,1,29.27141675328286,0.03438976137521038,0.0,0.0,0.0,False,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.23270605504512787,0.0
LTE-NoCellPhase,no_phase,bsd100,103070.png,x4,2,35.45395467487131,0.016877272643817248,0.021175526082515717,0.0,0.021175526082515717,False,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.23270605504512787,0.0
LTE-NoCellPhase,no_phase,bsd100,103070.png,x4,4,39.219019091134506,0.010940799151699987,0.03245317190885544,0.0,0.03245317190885544,False,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.23270605504512787,0.0
LTE-PhaseZ,feature_conditioned_phase,bsd100,103070.png,x4,1,29.264534756233594,0.03441701984039097,0.0,0.0,0.0,False,0,nan,nan,0.1015225201845169,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.21160036325454712,0.0
LTE-PhaseZ,feature_conditioned_phase,bsd100,103070.png,x4,2,35.3954631918304,0.016991309096662723,0.021175526082515717,0.0,0.021175526082515717,False,0,nan,nan,0.1015225201845169,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.21160036325454712,0.0
