model,dataset,scale,n,psnr_y,ssim_y,rmse_y,edge_rmse,texture_rmse,flat_rmse,highpass_rmse,fft_low_power,fft_mid_power,fft_high_power
LIIF-EQ,bsd100,x16,10,22.79986700986533,0.5105948192766572,0.07479231504322255,0.11793410256505013,0.13309265896677971,0.020516093325568363,0.1338677391409874,3.846074384041176e-07,4.537742327841323e-08,6.97505250700316e-09
LIIF-EQ,bsd100,x30,10,20.758517005308498,0.41886731802675864,0.09352669271516893,0.13620993196964265,0.1572753295302391,0.038512032199651006,0.1370280183851719,9.187052973984592e-07,6.208390577334885e-08,9.473905116177923e-09
LIIF-EQ,bsd100,x4,10,27.69604153555047,0.8205887584276759,0.043723791815745254,0.07472301870584488,0.07838123999536037,0.008145566427265294,0.12535928301513194,1.6940789821503856e-08,3.0754217612263993e-08,5.712087054839783e-09
LIIF-EQ,bsd100,x8,10,24.989177046773932,0.6667500541406899,0.058846183116439,0.09856165014207363,0.10726313181221485,0.01136664646328427,0.13087087385356427,1.4677207447547503e-07,3.908216193188763e-08,6.1807757924919915e-09
LIIF-EQ,urban100,x16,10,20.283516582281283,0.48125381786196997,0.10260338627236534,0.15924228802323342,0.18033105432987212,0.03194253717083484,0.18040735498070717,1.5299525576319262e-07,1.5935539968111923e-08,2.45478912781061e-09
LIIF-EQ,urban100,x30,10,18.619080322189404,0.3611713293127102,0.1231818905542456,0.17579592689871787,0.20162598192691802,0.05755475047044456,0.1825464002788067,2.702846631785556e-07,1.7689217599046817e-08,2.748870298483718e-09
LIIF-EQ,urban100,x4,10,26.628574900741103,0.8575767334868656,0.050515953148128054,0.08650622107088565,0.0903638880699873,0.008576973667368292,0.15987379439175128,3.20109167717074e-09,8.46450995612712e-09,2.012987606719896e-09
LIIF-EQ,urban100,x8,10,22.81837008135028,0.6869168897944057,0.07698687874805057,0.13031588792800902,0.14160213023424148,0.013492923835292459,0.1776552338153124,4.9676476845181486e-08,1.4363158189351673e-08,2.2897579266711616e-09
LTE,bsd100,x16,10,22.767463576778503,0.5093332884416716,0.07500407541690177,0.1183887965977192,0.1338248185813427,0.020195086335297673,0.13386631272733213,3.87530520523054e-07,4.540616316554717e-08,6.973713649290561e-09
LTE,bsd100,x30,10,20.6857710895601,0.4169935903134113,0.0941821512327992,0.1375180035829544,0.1587272860109806,0.03863812116906047,0.1370385240763426,9.340732111428898e-07,6.208464673686393e-08,9.473524079046405e-09
LTE,bsd100,x4,10,27.668294135499377,0.8194916117270985,0.04382540219110174,0.07488756775856018,0.07857081405818463,0.008135145116830245,0.12532465793192388,1.755500271426787e-08,3.081281217173331e-08,5.699846807438333e-09
LTE,bsd100,x8,10,24.96631074557208,0.6642750632251252,0.059010446044027574,0.09882091209292412,0.10762063451111317,0.011335928266635164,0.13085285164415836,1.4914571783014418e-07,3.903809645150338e-08,6.183000300991588e-09
LTE,urban100,x16,10,20.240715072717244,0.47617113237856684,0.10280197414954151,0.15957849025726317,0.18102702498435974,0.030044808029197158,0.1803485095500946,1.5204669403663795e-07,1.5911936031693455e-08,2.4532726113397683e-09
LTE,urban100,x30,10,18.57450380200926,0.3575002593549228,0.12377419212849113,0.1760892890393734,0.20197343751788138,0.058611170016229154,0.18253146931529046,2.734710012856072e-07,1.7684959097955826e-08,2.7489212459431237e-09
LTE,urban100,x4,10,26.568639910243775,0.8558878789824027,0.05082487665225059,0.08718564622104168,0.09099666401743889,0.008609347115270793,0.1601581059396267,3.3072064370889323e-09,8.59124493807277e-09,2.0097479355675783e-09
LTE,urban100,x8,10,22.720312690132523,0.6812082009045406,0.07770252734738592,0.1313483990728855,0.14308241233229638,0.013666974799707531,0.17774809375405312,5.184799115626656e-08,1.4334731464547015e-08,2.2874887110986693e-09
LTE-EQ,bsd100,x16,10,22.755609277530397,0.5072192997435769,0.07505082516221603,0.118028225004673,0.13377251327037812,0.02083930284716189,0.13386232182383537,3.876171724466549e-07,4.5381607715928916e-08,6.972837118284334e-09
LTE-EQ,bsd100,x30,10,20.69824119182181,0.41638304372170654,0.09391652184913124,0.13611718639731407,0.15765742510557174,0.04009608998894691,0.1370324905961752,9.237528804702442e-07,6.209787042718199e-08,9.476322200149508e-09
LTE-EQ,bsd100,x4,10,27.669587437399322,0.8190363545666697,0.04383058695559039,0.07493229024112225,0.07863068468868732,0.008134638423507567,0.12544021606445313,1.72154243922977e-08,3.089028466388753e-08,5.709227214315389e-09
LTE-EQ,bsd100,x8,10,24.95010996170979,0.6632054445747184,0.05907314038802157,0.09894910119473935,0.1078998364508152,0.01136359479278326,0.13097754307091236,1.4876050795996936e-07,3.9184199405486764e-08,6.186385975024578e-09
LTE-EQ,urban100,x16,10,20.273032204293365,0.4738348699358596,0.10267221723733358,0.15812938213348388,0.17997931241989135,0.032543666777201,0.1803353287279606,1.5365983683644048e-07,1.5916369529510627e-08,2.4539710338782675e-09
LTE-EQ,urban100,x30,10,18.63766459443161,0.3564475169769013,0.12279195399462732,0.17414793670177459,0.20019481033086778,0.058588030049577355,0.18252758905291558,2.6812407163989913e-07,1.7684176556644468e-08,2.7487307321343833e-09
LTE-EQ,urban100,x4,10,26.547483935628502,0.8543382714248098,0.05105132154732648,0.08751806356012821,0.0915666539222002,0.008604303537867963,0.16080136969685555,3.474402580383982e-09,8.64186537437094e-09,2.021729602094406e-09
LTE-EQ,urban100,x8,10,22.730099790694556,0.677638402384537,0.077770949116625,0.13110409006476403,0.14287636652588845,0.013967766356654466,0.17786411456763745,5.2316574162706236e-08,1.4407612848889314e-08,2.289751145340826e-09
LTE-FeaturePhase,bsd100,x16,10,22.769628414146453,0.509648195700997,0.07492984059971394,0.11768789514899254,0.13367821276187897,0.020729600149206818,0.1338849302381277,3.853545672719579e-07,4.544464885640348e-08,6.972790301316304e-09
LTE-FeaturePhase,bsd100,x30,10,20.75737592290114,0.4177775159498392,0.09342760837047429,0.13499388620257377,0.1562441796064377,0.039455771632492545,0.13703228235244752,9.133021055813345e-07,6.209954092029659e-08,9.476982074600892e-09
LTE-FeaturePhase,bsd100,x4,10,27.617473184069894,0.8179292537800766,0.044022858068924885,0.07531949132680893,0.07920383289456367,0.008137467320193537,0.12611645869910718,1.6867071248336204e-08,3.116120562931113e-08,5.769532127497397e-09
LTE-FeaturePhase,bsd100,x8,10,24.932156886764094,0.6632620910110443,0.05910912956648349,0.09881205409765244,0.10800805054605007,0.011395499727223068,0.1312141317874193,1.4712689032470576e-07,3.95123114282145e-08,6.192002382366361e-09
LTE-FeaturePhase,urban100,x16,10,20.30585457330504,0.4766393979066197,0.10217463611406592,0.15762125104665756,0.17937126755714417,0.03191082577686757,0.1803097829222679,1.50396049427146e-07,1.591037007652488e-08,2.453336286279335e-09
LTE-FeaturePhase,urban100,x30,10,18.668868703748366,0.35870508424406244,0.12245710919047963,0.17411612793803216,0.20012209564447403,0.05825523776002228,0.18252886310219765,2.665262904989575e-07,1.7684924773063007e-08,2.749067079126928e-09
LTE-FeaturePhase,urban100,x4,10,26.425118426496788,0.850196644105812,0.051605876692179364,0.08869248628616333,0.09303599633276463,0.008621856686659157,0.16234295777976512,3.6342005827940786e-09,8.717903182828873e-09,2.0642521823299204e-09
LTE-FeaturePhase,urban100,x8,10,22.72424733267582,0.6753583549302854,0.0777129968781988,0.13086207136511802,0.1431906044483185,0.013852877099998296,0.17787733301520348,5.170735976547701e-08,1.4353898136663766e-08,2.289399189742221e-09
LTE-NoCell,bsd100,x16,10,22.77523533752979,0.5093709745789058,0.0749204411475299,0.11767656803131103,0.1335100419819355,0.021010292624123395,0.13388402126729487,3.8567568528302427e-07,4.5443343811451706e-08,6.973062716313447e-09
LTE-NoCell,bsd100,x30,10,20.743859116612008,0.4174076043266789,0.0935868431360569,0.13514478057622908,0.15646362528204918,0.03997117439284921,0.1370312198996544,9.180745149724107e-07,6.210110008527132e-08,9.47624282147717e-09
LTE-NoCell,bsd100,x4,10,27.59944654012552,0.8177575288234902,0.0441050890136632,0.07546612657606602,0.07939537316560745,0.008142596717516427,0.12630911357700825,1.6916138396064726e-08,3.127410677643911e-08,5.785790315376603e-09
LTE-NoCell,bsd100,x8,10,24.9251396781322,0.6631131348164141,0.059185159062106016,0.09894789345562457,0.10819161273539066,0.011484118667431176,0.13126612193882464,1.4781063936995624e-07,3.9606433594854774e-08,6.1936974707320084e-09
LTE-NoCell,urban100,x16,10,20.310991512823282,0.47594951271706315,0.10200707382063878,0.15757664069533348,0.17933572009205817,0.03103248083498329,0.18032967820763587,1.4900291761244994e-07,1.591390286687852e-08,2.453421622384248e-09
LTE-NoCell,urban100,x30,10,18.6290693631218,0.35715874860301133,0.12298804063485255,0.17463974803686141,0.20075737982988356,0.05869345804676414,0.1825312376022339,2.6892431737988405e-07,1.768538069789289e-08,2.749093700355074e-09
LTE-NoCell,urban100,x4,10,26.389516661516904,0.849819857934491,0.0518944380241669,0.08918995931744575,0.09359311684966087,0.008663083473220468,0.1628333069384098,3.7205905910279967e-09,8.868291909967997e-09,2.0731552611250842e-09
LTE-NoCell,urban100,x8,10,22.694995225636767,0.6742889461689083,0.07808584908236263,0.13127215802669526,0.14368077144026756,0.014385681226849556,0.177945389598608,5.3389480997264627e-08,1.4402943962716776e-08,2.2899315275732127e-09
SC-INR-Adaptive,bsd100,x16,10,22.8110670298855,0.5115930552365909,0.07465437461333443,0.11775899082422256,0.13308572843670846,0.020246542314998804,0.1338692545890808,3.818466861044117e-07,4.537325041982165e-08,6.974125232443096e-09
SC-INR-Adaptive,bsd100,x30,10,20.796141927958423,0.4197251262571511,0.09315863837396053,0.135731340944767,0.1567623272538185,0.03814992080442607,0.1370322223752737,9.091243457368435e-07,6.208876473950663e-08,9.473418630094554e-09
SC-INR-Adaptive,bsd100,x4,10,27.672106437344677,0.8195875107014146,0.04380177725939004,0.07487136200070381,0.07862977497279644,0.0081139135392732,0.12548204623162745,1.705789692117588e-08,3.082783164922527e-08,5.720496837400779e-09
SC-INR-Adaptive,bsd100,x8,10,24.98013650469073,0.6650044131303453,0.05890152272833887,0.09863492026925087,0.10747052729129791,0.011305528116645291,0.13092918060719966,1.4739135732489e-07,3.906237142759586e-08,6.189343368590773e-09
SC-INR-Adaptive,urban100,x16,10,20.314851419886132,0.4791496542925325,0.10209395512531376,0.15825232416391372,0.17946377396583557,0.031144943018443883,0.18035311475396157,1.4981026858770156e-07,1.5906905715945537e-08,2.454096903198845e-09
SC-INR-Adaptive,urban100,x30,10,18.636368273294572,0.35949131631713305,0.12291078806305253,0.17509789317846297,0.2010494589805603,0.05815525744110346,0.18254101425409316,2.6908010512182386e-07,1.7687721856828754e-08,2.749030990331646e-09
SC-INR-Adaptive,urban100,x4,10,26.599896397335577,0.854650155594069,0.050726350259365574,0.08688136860728264,0.09088199287652969,0.008598378440365196,0.15961864665150644,3.292880006591431e-09,8.560893424446437e-09,2.004025818487808e-09
SC-INR-Adaptive,urban100,x8,10,22.741061057276386,0.6792783751147171,0.07759999572393958,0.1309141620993614,0.14274877533316613,0.013710160669870675,0.1776249561458826,5.205599519369404e-08,1.429877187333883e-08,2.290063927860747e-09
SC-INR-Fixed,bsd100,x16,10,22.766129611685862,0.5103137807325193,0.0750543876172221,0.11850998252630233,0.1338239975273609,0.02057493992615491,0.13386565819382668,3.8885809648760466e-07,4.5387548497073454e-08,6.973324191407649e-09
SC-INR-Fixed,bsd100,x30,10,20.734934156966002,0.41780801334524975,0.09373835504454106,0.13607737123966218,0.1572349414229393,0.03885083016939461,0.13702921606600285,9.233994952454436e-07,6.20947802665706e-08,9.473033314001655e-09
SC-INR-Fixed,bsd100,x4,10,27.65251450828339,0.8190321537358086,0.04392331326184756,0.07508545108139515,0.07877370268106461,0.00812864166800864,0.12555946968495846,1.7552561942596502e-08,3.100171579328602e-08,5.7179527191119304e-09
SC-INR-Fixed,bsd100,x8,10,24.967268641886687,0.6650687136095781,0.05900714147640174,0.09885698333382606,0.10760976299643517,0.011312559150974266,0.13092059940099715,1.4859641436646685e-07,3.914946407029342e-08,6.184911815100417e-09
SC-INR-Fixed,urban100,x16,10,20.3156923453738,0.47956491453324696,0.10193021856863319,0.15870486721396446,0.17971169352531433,0.029717433638870715,0.18034516498446465,1.477444468961253e-07,1.5906521026685638e-08,2.4539852083044436e-09
SC-INR-Fixed,urban100,x30,10,18.598804443177436,0.35881944738224913,0.1234387068437361,0.1757741779088974,0.20154376626014708,0.05835596723482013,0.18253946229815482,2.7156984750810866e-07,1.7687419080952338e-08,2.749234300893492e-09
SC-INR-Fixed,urban100,x4,10,26.463583414562482,0.8530661922392643,0.05138709058526116,0.08807556927204133,0.09207537733018398,0.00864090935792774,0.1611562717705965,3.498579965625207e-09,8.733678575133992e-09,2.027286379551622e-09
SC-INR-Fixed,urban100,x8,10,22.679404353213034,0.677612164497303,0.07802944092965229,0.13188520446419716,0.1433183416724205,0.013766323332674801,0.1780049607157707,5.215343091034338e-08,1.4485864077788852e-08,2.2910492970256182e-09
